#X,Acoustic Pressure across Frequency_At Node 113
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.002827
30.000000,0.001893
40.000000,0.001429
50.000000,0.001152
60.000000,0.000970
70.000000,0.000841
80.000000,0.000746
90.000000,0.000674
100.000000,0.000617
110.000000,0.000572
120.000000,0.000536
130.000000,0.000506
140.000000,0.000483
150.000000,0.000463
160.000000,0.000448
170.000000,0.000435
180.000000,0.000426
190.000000,0.000419
200.000000,0.000415
210.000000,0.000413
220.000000,0.000413
230.000000,0.000416
240.000000,0.000420
250.000000,0.000428
260.000000,0.000437
270.000000,0.000450
280.000000,0.000467
290.000000,0.000487
300.000000,0.000512
310.000000,0.000543
320.000000,0.000581
330.000000,0.000629
340.000000,0.000689
350.000000,0.000768
360.000000,0.000872
370.000000,0.001015
380.000000,0.001223
390.000000,0.001550
400.000000,0.002135
410.000000,0.003462
420.000000,0.009329
430.000000,0.013226
440.000000,0.003867
450.000000,0.002269
460.000000,0.001610
470.000000,0.001252
480.000000,0.001028
490.000000,0.000875
500.000000,0.000766
510.000000,0.000683
520.000000,0.000619
530.000000,0.000569
540.000000,0.000529
550.000000,0.000497
560.000000,0.000470
570.000000,0.000448
580.000000,0.000431
590.000000,0.000416
600.000000,0.000405
610.000000,0.000396
620.000000,0.000390
630.000000,0.000386
640.000000,0.000384
650.000000,0.000384
660.000000,0.000386
670.000000,0.000390
680.000000,0.000396
690.000000,0.000405
700.000000,0.000416
710.000000,0.000431
720.000000,0.000449
730.000000,0.000471
740.000000,0.000499
750.000000,0.000533
760.000000,0.000575
770.000000,0.000629
780.000000,0.000699
790.000000,0.000791
800.000000,0.000917
810.000000,0.001100
820.000000,0.001384
830.000000,0.001885
840.000000,0.002985
850.000000,0.007334
860.000000,0.015562
870.000000,0.003762
880.000000,0.002140
890.000000,0.001497
900.000000,0.001154
910.000000,0.000942
920.000000,0.000798
930.000000,0.000695
940.000000,0.000618
950.000000,0.000558
960.000000,0.000511
970.000000,0.000473
980.000000,0.000443
990.000000,0.000418
1000.000000,0.000397
1010.000000,0.000380
1020.000000,0.000366
1030.000000,0.000355
1040.000000,0.000346
1050.000000,0.000339
1060.000000,0.000334
1070.000000,0.000330
1080.000000,0.000329
1090.000000,0.000329
1100.000000,0.000331
1110.000000,0.000334
1120.000000,0.000340
1130.000000,0.000347
1140.000000,0.000356
1150.000000,0.000368
1160.000000,0.000384
1170.000000,0.000402
1180.000000,0.000425
1190.000000,0.000453
1200.000000,0.000489
1210.000000,0.000534
1220.000000,0.000591
1230.000000,0.000667
1240.000000,0.000771
1250.000000,0.000921
1260.000000,0.001152
1270.000000,0.001554
1280.000000,0.002419
1290.000000,0.005593
1300.000000,0.016899
1310.000000,0.003340
1320.000000,0.001849
1330.000000,0.001279
1340.000000,0.000978
1350.000000,0.000794
1360.000000,0.000669
1370.000000,0.000580
1380.000000,0.000513
1390.000000,0.000462
1400.000000,0.000421
1410.000000,0.000389
1420.000000,0.000362
1430.000000,0.000340
1440.000000,0.000322
1450.000000,0.000306
1460.000000,0.000294
1470.000000,0.000283
1480.000000,0.000275
1490.000000,0.000268
1500.000000,0.000262
1510.000000,0.000258
1520.000000,0.000256
1530.000000,0.000254
1540.000000,0.000254
1550.000000,0.000255
1560.000000,0.000257
1570.000000,0.000260
1580.000000,0.000265
1590.000000,0.000271
1600.000000,0.000279
1610.000000,0.000289
1620.000000,0.000302
1630.000000,0.000317
1640.000000,0.000336
1650.000000,0.000360
1660.000000,0.000390
1670.000000,0.000427
1680.000000,0.000476
1690.000000,0.000542
1700.000000,0.000633
1710.000000,0.000768
1720.000000,0.000987
1730.000000,0.001399
1740.000000,0.002448
1750.000000,0.010519
1760.000000,0.004464
1770.000000,0.001827
1780.000000,0.001144
1790.000000,0.000832
1800.000000,0.000653
1810.000000,0.000538
1820.000000,0.000458
1830.000000,0.000399
1840.000000,0.000355
1850.000000,0.000320
1860.000000,0.000292
1870.000000,0.000269
1880.000000,0.000250
1890.000000,0.000235
1900.000000,0.000221
1910.000000,0.000210
1920.000000,0.000201
1930.000000,0.000193
1940.000000,0.000187
1950.000000,0.000181
1960.000000,0.000176
1970.000000,0.000173
1980.000000,0.000170
1990.000000,0.000168
2000.000000,0.000166


