#X,Acoustic Pressure across Frequency(6)_At Node 722,Acoustic Pressure across Frequency(6)_At Node 722
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-248.010470,0.000166
30.000000,-256.407810,0.000116
40.000000,-261.323309,0.000089
50.000000,-264.709260,0.000072
60.000000,-267.297187,0.000060
70.000000,-269.417833,0.000052
80.000000,-271.241658,0.000046
90.000000,-272.865253,0.000041
100.000000,-274.347396,0.000037
110.000000,-275.725888,0.000034
120.000000,-277.026132,0.000032
130.000000,-278.265828,0.000030
140.000000,-279.457685,0.000028
150.000000,-280.611071,0.000026
160.000000,-281.733046,0.000025
170.000000,-282.829047,0.000024
180.000000,-283.903328,0.000023
190.000000,-284.959283,0.000022
200.000000,-285.999659,0.000021
210.000000,-287.026713,0.000021
220.000000,-288.042327,0.000020
230.000000,-289.048091,0.000020
240.000000,-290.045365,0.000019
250.000000,-291.035324,0.000019
260.000000,-292.019005,0.000019
270.000000,-292.997316,0.000018
280.000000,-293.971080,0.000018
290.000000,-294.941031,0.000018
300.000000,-295.907847,0.000018
310.000000,-296.872147,0.000018
320.000000,-297.834506,0.000018
330.000000,-298.795464,0.000018
340.000000,-299.755526,0.000018
350.000000,-300.715169,0.000018
360.000000,-301.674854,0.000018
370.000000,-302.635015,0.000019
380.000000,-303.596078,0.000019
390.000000,-304.558457,0.000019
400.000000,-305.522550,0.000019
410.000000,-306.488746,0.000020
420.000000,-307.457443,0.000020
430.000000,-308.429033,0.000021
440.000000,-309.403898,0.000021
450.000000,-310.382447,0.000022
460.000000,-311.365089,0.000023
470.000000,-312.352239,0.000023
480.000000,-313.344362,0.000024
490.000000,-314.341916,0.000025
500.000000,-315.345426,0.000026
510.000000,-316.355456,0.000027
520.000000,-317.372632,0.000029
530.000000,-318.397658,0.000030
540.000000,-319.431352,0.000032
550.000000,-320.474653,0.000034
560.000000,-321.528675,0.000036
570.000000,-322.594749,0.000039
580.000000,-323.674487,0.000042
590.000000,-324.769889,0.000045
600.000000,-325.883431,0.000049
610.000000,-327.018277,0.000053
620.000000,-328.178500,0.000058
630.000000,-329.369477,0.000065
640.000000,-330.598403,0.000072
650.000000,-331.875209,0.000081
660.000000,-333.213935,0.000093
670.000000,-334.635125,0.000107
680.000000,-336.170075,0.000125
690.000000,-337.868923,0.000150
700.000000,-339.817300,0.000184
710.000000,-342.174354,0.000234
720.000000,-345.272523,0.000314
730.000000,-349.936452,0.000454
740.000000,-358.865134,0.000757
750.000000,-26.199176,0.001647
760.000000,-106.938156,0.001909
770.000000,-138.618940,0.000977
780.000000,-148.390322,0.000657
790.000000,-153.378025,0.000516
800.000000,-156.693283,0.000442
810.000000,-159.259405,0.000402
820.000000,-161.451093,0.000384
830.000000,-163.461289,0.000381
840.000000,-165.419315,0.000393
850.000000,-167.448563,0.000424
860.000000,-169.725442,0.000483
870.000000,-172.613268,0.000595
880.000000,-177.181517,0.000836
890.000000,-188.919417,0.001590
900.000000,-282.089057,0.003949
910.000000,-334.912381,0.001097
920.000000,-343.271942,0.000566
930.000000,-347.048853,0.000368
940.000000,-349.507145,0.000266
950.000000,-351.404381,0.000205
960.000000,-353.008793,0.000164
970.000000,-354.439591,0.000136
980.000000,-355.758010,0.000115
990.000000,-356.998873,0.000099
1000.000000,-358.183535,0.000086
1010.000000,-359.325910,0.000076
1020.000000,-0.435578,0.000068
1030.000000,-1.501208,0.000062
1040.000000,-2.580251,0.000056
1050.000000,-3.625154,0.000051
1060.000000,-4.655374,0.000047
1070.000000,-5.673310,0.000044
1080.000000,-6.680850,0.000041
1090.000000,-7.679543,0.000038
1100.000000,-8.670696,0.000036
1110.000000,-9.655422,0.000034
1120.000000,-10.634693,0.000032
1130.000000,-11.609363,0.000030
1140.000000,-12.580196,0.000029
1150.000000,-13.547883,0.000028
1160.000000,-14.513053,0.000026
1170.000000,-15.476286,0.000025
1180.000000,-16.438126,0.000025
1190.000000,-17.399080,0.000024
1200.000000,-18.359624,0.000023
1210.000000,-19.320215,0.000022
1220.000000,-20.281289,0.000022
1230.000000,-21.243264,0.000021
1240.000000,-22.206547,0.000021
1250.000000,-23.171528,0.000021
1260.000000,-24.138596,0.000020
1270.000000,-25.108126,0.000020
1280.000000,-26.080498,0.000020
1290.000000,-27.056082,0.000020
1300.000000,-28.035247,0.000019
1310.000000,-29.018311,0.000019
1320.000000,-30.004305,0.000019
1330.000000,-30.999025,0.000019
1340.000000,-31.996390,0.000019
1350.000000,-32.999606,0.000019
1360.000000,-34.009040,0.000019
1370.000000,-35.025206,0.000020
1380.000000,-36.048682,0.000020
1390.000000,-37.080135,0.000020
1400.000000,-38.120322,0.000021
1410.000000,-39.170094,0.000021
1420.000000,-40.230470,0.000021
1430.000000,-41.302627,0.000022
1440.000000,-42.387981,0.000023
1450.000000,-43.488229,0.000023
1460.000000,-44.605447,0.000024
1470.000000,-45.742198,0.000025
1480.000000,-46.901686,0.000026
1490.000000,-48.087977,0.000028
1500.000000,-49.306308,0.000029
1510.000000,-50.563551,0.000031
1520.000000,-51.868859,0.000033
1530.000000,-53.234758,0.000036
1540.000000,-54.678790,0.000039
1550.000000,-56.226282,0.000043
1560.000000,-57.915203,0.000047
1570.000000,-59.805048,0.000054
1580.000000,-61.994494,0.000062
1590.000000,-64.659508,0.000074
1600.000000,-68.145832,0.000091
1610.000000,-73.230713,0.000119
1620.000000,-82.038139,0.000171
1630.000000,-102.136181,0.000283
1640.000000,-155.102790,0.000406
1650.000000,-201.849155,0.000254
