#X,Acoustic Pressure across Frequency(3)_At Node 721
#Frequency(Hz),General/Unknown()_Magnitude
20.000000,135.585825
30.000000,132.301376
40.000000,129.913002
50.000000,128.053824
60.000000,126.542689
70.000000,125.278485
80.000000,124.199396
90.000000,123.264985
100.000000,122.447410
110.000000,121.726716
120.000000,121.088139
130.000000,120.520476
140.000000,120.015037
150.000000,119.564975
160.000000,119.164815
170.000000,118.810128
180.000000,118.497304
190.000000,118.223382
200.000000,117.985922
210.000000,117.782913
220.000000,117.612703
230.000000,117.473942
240.000000,117.365542
250.000000,117.286646
260.000000,117.236600
270.000000,117.214944
280.000000,117.221387
290.000000,117.255812
300.000000,117.318268
310.000000,117.408967
320.000000,117.528295
330.000000,117.676820
340.000000,117.855306
350.000000,118.064730
360.000000,118.306317
370.000000,118.581571
380.000000,118.892321
390.000000,119.240788
400.000000,119.629661
410.000000,120.062210
420.000000,120.542424
430.000000,121.075214
440.000000,121.666682
450.000000,122.324509
460.000000,123.058509
470.000000,123.881471
480.000000,124.810448
490.000000,125.868840
500.000000,127.089915
510.000000,128.523165
520.000000,130.246665
530.000000,132.393631
540.000000,135.217195
550.000000,139.269991
560.000000,145.610881
570.000000,145.890861
580.000000,139.608052
590.000000,135.626608
600.000000,132.899907
610.000000,130.860825
620.000000,129.250682
630.000000,127.933866
640.000000,126.831124
650.000000,125.892323
660.000000,125.083817
670.000000,124.381974
680.000000,123.769592
690.000000,123.233782
700.000000,122.764660
710.000000,122.354503
720.000000,121.997178
730.000000,121.687756
740.000000,121.422235
750.000000,121.197342
760.000000,121.010388
770.000000,120.859159
780.000000,120.741830
790.000000,120.656911
800.000000,120.603188
810.000000,120.579698
820.000000,120.585692
830.000000,120.620621
840.000000,120.684115
850.000000,120.775974
860.000000,120.896167
870.000000,121.044825
880.000000,121.222243
890.000000,121.428890
900.000000,121.665414
910.000000,121.932662
920.000000,122.231698
930.000000,122.563831
940.000000,122.930652
950.000000,123.334081
960.000000,123.776426
970.000000,124.260469
980.000000,124.789562
990.000000,125.367765
1000.000000,125.999986
1010.000000,126.691227
1020.000000,127.455369
1030.000000,128.293542
1040.000000,129.223024
1050.000000,130.260405
1060.000000,131.428898
1070.000000,132.761455
1080.000000,134.306930
1090.000000,136.142088
1100.000000,138.397330
1110.000000,141.319160
1120.000000,145.443661
1130.000000,151.857414
1140.000000,152.902168
1150.000000,146.652228
1160.000000,142.746397
1170.000000,140.137323
1180.000000,138.258775
1190.000000,136.809571
1200.000000,135.667869
1210.000000,134.751823
1220.000000,134.010852
1230.000000,133.411500
1240.000000,132.930672
1250.000000,132.551952
1260.000000,132.263455
1270.000000,132.056511
1280.000000,131.924832
1290.000000,131.863981
1300.000000,131.871014
1310.000000,131.944279
1320.000000,132.083280
1330.000000,132.288654
1340.000000,132.562195
1350.000000,132.906969
1360.000000,133.327526
1370.000000,133.830234
1380.000000,134.423799
1390.000000,135.120080
1400.000000,135.935368
1410.000000,136.892486
1420.000000,138.024393
1430.000000,139.380791
1440.000000,141.041318
1450.000000,143.145170
1460.000000,145.970040
1470.000000,150.210716
1480.000000,158.764214
1490.000000,161.987091
1500.000000,151.458207
1510.000000,146.909380
1520.000000,144.021794
1530.000000,141.939029
1540.000000,140.339799
1550.000000,139.069212
1560.000000,138.028323
1570.000000,137.193012
1580.000000,136.505304
1590.000000,135.948226
1600.000000,135.506402
1610.000000,135.169319
1620.000000,134.930196
1630.000000,134.785272
1640.000000,134.733421
1650.000000,134.776060
1660.000000,134.917292
1670.000000,135.164327
1680.000000,135.528240
1690.000000,136.024998
1700.000000,136.672512
1710.000000,137.553223
1720.000000,138.648996
1730.000000,140.099016
1740.000000,142.066051
1750.000000,144.892623
1760.000000,149.389662
1770.000000,155.886662
1780.000000,150.483000
1790.000000,144.669757
1800.000000,140.857376
1810.000000,137.721176
1820.000000,136.067450
1830.000000,134.180409
1840.000000,132.603739
1850.000000,131.234938
1860.000000,130.025172
1870.000000,128.943407
1880.000000,127.968238
1890.000000,127.084282
1900.000000,126.280218
1910.000000,125.547605
1920.000000,124.880146
1930.000000,124.273204
1940.000000,123.723480
1950.000000,123.228799
1960.000000,122.787973
1970.000000,122.400712
1980.000000,122.067578
1990.000000,121.789964
2000.000000,121.570094


