#X,Acoustic Pressure across Frequency(2)_At Node 632
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,1.623638E-04
21.000000,1.557958E-04
22.000000,1.496998E-04
23.000000,1.440313E-04
24.000000,1.387508E-04
25.000000,1.338225E-04
26.000000,1.292150E-04
27.000000,1.248997E-04
28.000000,1.208514E-04
29.000000,1.170473E-04
30.000000,1.134670E-04
31.000000,1.100924E-04
32.000000,1.069070E-04
33.000000,1.038959E-04
34.000000,1.010457E-04
35.000000,9.834439E-05
36.000000,9.578099E-05
37.000000,9.334554E-05
38.000000,9.102899E-05
39.000000,8.882314E-05
40.000000,8.672043E-05
41.000000,8.471404E-05
42.000000,8.279764E-05
43.000000,8.096549E-05
44.000000,7.921231E-05
45.000000,7.753321E-05
46.000000,7.592372E-05
47.000000,7.437968E-05
48.000000,7.289730E-05
49.000000,7.147304E-05
50.000000,7.010361E-05
51.000000,6.878600E-05
52.000000,6.751737E-05
53.000000,6.629510E-05
54.000000,6.511677E-05
55.000000,6.398009E-05
56.000000,6.288293E-05
57.000000,6.182333E-05
58.000000,6.079942E-05
59.000000,5.980948E-05
60.000000,5.885187E-05
61.000000,5.792508E-05
62.000000,5.702767E-05
63.000000,5.615830E-05
64.000000,5.531570E-05
65.000000,5.449870E-05
66.000000,5.370615E-05
67.000000,5.293701E-05
68.000000,5.219028E-05
69.000000,5.146502E-05
70.000000,5.076033E-05
71.000000,5.007539E-05
72.000000,4.940938E-05
73.000000,4.876155E-05
74.000000,4.813119E-05
75.000000,4.751762E-05
76.000000,4.692019E-05
77.000000,4.633830E-05
78.000000,4.577135E-05
79.000000,4.521881E-05
80.000000,4.468014E-05
81.000000,4.415484E-05
82.000000,4.364243E-05
83.000000,4.314246E-05
84.000000,4.265450E-05
85.000000,4.217812E-05
86.000000,4.171294E-05
87.000000,4.125858E-05
88.000000,4.081469E-05
89.000000,4.038090E-05
90.000000,3.995689E-05
91.000000,3.954235E-05
92.000000,3.913698E-05
93.000000,3.874048E-05
94.000000,3.835258E-05
95.000000,3.797300E-05
96.000000,3.760151E-05
97.000000,3.723784E-05
98.000000,3.688178E-05
99.000000,3.653308E-05
100.000000,3.619152E-05
101.000000,3.585692E-05
102.000000,3.552906E-05
103.000000,3.520775E-05
104.000000,3.489281E-05
105.000000,3.458405E-05
106.000000,3.428130E-05
107.000000,3.398440E-05
108.000000,3.369319E-05
109.000000,3.340752E-05
110.000000,3.312723E-05
111.000000,3.285219E-05
112.000000,3.258225E-05
113.000000,3.231728E-05
114.000000,3.205716E-05
115.000000,3.180176E-05
116.000000,3.155095E-05
117.000000,3.130463E-05
118.000000,3.106267E-05
119.000000,3.082499E-05
120.000000,3.059145E-05
121.000000,3.036198E-05
122.000000,3.013646E-05
123.000000,2.991481E-05
124.000000,2.969693E-05
125.000000,2.948273E-05
126.000000,2.927213E-05
127.000000,2.906504E-05
128.000000,2.886138E-05
129.000000,2.866108E-05
130.000000,2.846405E-05
131.000000,2.827023E-05
132.000000,2.807954E-05
133.000000,2.789191E-05
134.000000,2.770728E-05
135.000000,2.752558E-05
136.000000,2.734675E-05
137.000000,2.717072E-05
138.000000,2.699744E-05
139.000000,2.682684E-05
140.000000,2.665887E-05
141.000000,2.649348E-05
142.000000,2.633062E-05
143.000000,2.617023E-05
144.000000,2.601225E-05
145.000000,2.585665E-05
146.000000,2.570337E-05
147.000000,2.555236E-05
148.000000,2.540359E-05
149.000000,2.525701E-05
150.000000,2.511258E-05
151.000000,2.497024E-05
152.000000,2.482997E-05
153.000000,2.469173E-05
154.000000,2.455547E-05
155.000000,2.442115E-05
156.000000,2.428875E-05
157.000000,2.415823E-05
158.000000,2.402954E-05
159.000000,2.390267E-05
160.000000,2.377756E-05
161.000000,2.365420E-05
162.000000,2.353256E-05
163.000000,2.341259E-05
164.000000,2.329427E-05
165.000000,2.317757E-05
166.000000,2.306246E-05
167.000000,2.294893E-05
168.000000,2.283693E-05
169.000000,2.272644E-05
170.000000,2.261743E-05
171.000000,2.250989E-05
172.000000,2.240378E-05
173.000000,2.229909E-05
174.000000,2.219578E-05
175.000000,2.209384E-05
176.000000,2.199324E-05
177.000000,2.189397E-05
178.000000,2.179599E-05
179.000000,2.169930E-05
180.000000,2.160386E-05
181.000000,2.150966E-05
182.000000,2.141668E-05
183.000000,2.132490E-05
184.000000,2.123430E-05
185.000000,2.114487E-05
186.000000,2.105658E-05
187.000000,2.096941E-05
188.000000,2.088336E-05
189.000000,2.079840E-05
190.000000,2.071452E-05
191.000000,2.063170E-05
192.000000,2.054992E-05
193.000000,2.046918E-05
194.000000,2.038945E-05
195.000000,2.031072E-05
196.000000,2.023298E-05
197.000000,2.015620E-05
198.000000,2.008039E-05
199.000000,2.000552E-05
200.000000,1.993158E-05
201.000000,1.985856E-05
202.000000,1.978644E-05
203.000000,1.971522E-05
204.000000,1.964488E-05
205.000000,1.957540E-05
206.000000,1.950679E-05
207.000000,1.943901E-05
208.000000,1.937207E-05
209.000000,1.930596E-05
210.000000,1.924066E-05
211.000000,1.917615E-05
212.000000,1.911244E-05
213.000000,1.904951E-05
214.000000,1.898735E-05
215.000000,1.892595E-05
216.000000,1.886530E-05
217.000000,1.880539E-05
218.000000,1.874621E-05
219.000000,1.868776E-05
220.000000,1.863002E-05
221.000000,1.857299E-05
222.000000,1.851665E-05
223.000000,1.846100E-05
224.000000,1.840604E-05
225.000000,1.835174E-05
226.000000,1.829811E-05
227.000000,1.824513E-05
