#X,Acoustic Pressure across Frequency_At Node 821
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.000154
30.000000,0.000102
40.000000,0.000072
50.000000,0.000052
60.000000,0.000038
70.000000,0.000026
80.000000,0.000017
90.000000,0.000009
100.000000,0.000003
110.000000,0.000006
120.000000,0.000012
130.000000,0.000017
140.000000,0.000023
150.000000,0.000028
160.000000,0.000033
170.000000,0.000037
180.000000,0.000042
190.000000,0.000047
200.000000,0.000051
210.000000,0.000055
220.000000,0.000060
230.000000,0.000064
240.000000,0.000068
250.000000,0.000073
260.000000,0.000077
270.000000,0.000081
280.000000,0.000085
290.000000,0.000090
300.000000,0.000094
310.000000,0.000098
320.000000,0.000103
330.000000,0.000107
340.000000,0.000111
350.000000,0.000116
360.000000,0.000120
370.000000,0.000125
380.000000,0.000129
390.000000,0.000134
400.000000,0.000138
410.000000,0.000143
420.000000,0.000148
430.000000,0.000152
440.000000,0.000157
450.000000,0.000162
460.000000,0.000167
470.000000,0.000172
480.000000,0.000177
490.000000,0.000183
500.000000,0.000188
510.000000,0.000194
520.000000,0.000200
530.000000,0.000205
540.000000,0.000211
550.000000,0.000217
560.000000,0.000224
570.000000,0.000229
580.000000,0.000233
590.000000,0.000235
600.000000,0.000240
610.000000,0.000249
620.000000,0.000258
630.000000,0.000267
640.000000,0.000276
650.000000,0.000285
660.000000,0.000295
670.000000,0.000305
680.000000,0.000316
690.000000,0.000328
700.000000,0.000341
710.000000,0.000355
720.000000,0.000372
730.000000,0.000391
740.000000,0.000414
750.000000,0.000444
760.000000,0.000483
770.000000,0.000540
780.000000,0.000634
790.000000,0.000819
800.000000,0.001128
810.000000,0.000584
820.000000,0.000177
830.000000,0.000124
840.000000,0.000176
850.000000,0.000221
860.000000,0.000257
870.000000,0.000285
880.000000,0.000310
890.000000,0.000332
900.000000,0.000352
910.000000,0.000371
920.000000,0.000390
930.000000,0.000407
940.000000,0.000424
950.000000,0.000441
960.000000,0.000458
970.000000,0.000474
980.000000,0.000491
990.000000,0.000508
1000.000000,0.000525
1010.000000,0.000543
1020.000000,0.000561
1030.000000,0.000579
1040.000000,0.000599
1050.000000,0.000619
1060.000000,0.000640
1070.000000,0.000662
1080.000000,0.000685
1090.000000,0.000709
1100.000000,0.000734
1110.000000,0.000760
1120.000000,0.000788
1130.000000,0.000818
1140.000000,0.000849
1150.000000,0.000882
1160.000000,0.000918
1170.000000,0.000956
1180.000000,0.000996
1190.000000,0.001040
1200.000000,0.001087
1210.000000,0.001137
1220.000000,0.001192
1230.000000,0.001252
1240.000000,0.001318
1250.000000,0.001390
1260.000000,0.001470
1270.000000,0.001559
1280.000000,0.001658
1290.000000,0.001770
1300.000000,0.001898
1310.000000,0.002028
1320.000000,0.002212
1330.000000,0.002411
1340.000000,0.002648
1350.000000,0.002935
1360.000000,0.003291
1370.000000,0.003744
1380.000000,0.004341
1390.000000,0.005163
1400.000000,0.006370
1410.000000,0.008316
1420.000000,0.011987
1430.000000,0.021495
1440.000000,0.096109
1450.000000,0.034378
1460.000000,0.014980
1470.000000,0.009513
1480.000000,0.006938
1490.000000,0.005436
1500.000000,0.004449
1510.000000,0.003748
1520.000000,0.003221
1530.000000,0.002808
1540.000000,0.002472
1550.000000,0.002191
1560.000000,0.001948
1570.000000,0.001733
1580.000000,0.001536
1590.000000,0.001349
1600.000000,0.001166
1610.000000,0.000977
1620.000000,0.000773
1630.000000,0.000547
1640.000000,0.000368
1650.000000,0.000679
1660.000000,0.001853
1670.000000,0.005386
1680.000000,0.006066
1690.000000,0.003698
1700.000000,0.002736
1710.000000,0.002265
1720.000000,0.001968
1730.000000,0.001763
1740.000000,0.001612
1750.000000,0.001493
1760.000000,0.001396
1770.000000,0.001315
1780.000000,0.001246
1790.000000,0.001185
1800.000000,0.001131
1810.000000,0.001083
1820.000000,0.001040
1830.000000,0.001000
1840.000000,0.000964
1850.000000,0.000930
1860.000000,0.000899
1870.000000,0.000869
1880.000000,0.000842
1890.000000,0.000816
1900.000000,0.000791
1910.000000,0.000769
1920.000000,0.000746
1930.000000,0.000725
1940.000000,0.000705
1950.000000,0.000685
1960.000000,0.000667
1970.000000,0.000649
1980.000000,0.000631
1990.000000,0.000614
2000.000000,0.000597


