#X,Acoustic Pressure across Frequency_At Node 744
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,4.963179E-05
30.000000,2.802242E-05
40.000000,1.569430E-05
50.000000,7.075631E-06
60.000000,3.084108E-07
70.000000,5.404293E-06
80.000000,1.046152E-05
90.000000,1.508547E-05
100.000000,1.940994E-05
110.000000,2.352051E-05
120.000000,2.747468E-05
130.000000,3.131262E-05
140.000000,3.506343E-05
150.000000,3.874881E-05
160.000000,4.238541E-05
170.000000,4.598631E-05
180.000000,4.956206E-05
190.000000,5.312131E-05
200.000000,5.667138E-05
210.000000,6.021852E-05
220.000000,6.376826E-05
230.000000,6.732551E-05
240.000000,7.089481E-05
250.000000,7.448033E-05
260.000000,7.808607E-05
270.000000,8.171592E-05
280.000000,8.537368E-05
290.000000,8.906319E-05
300.000000,9.278834E-05
310.000000,9.655322E-05
320.000000,1.003621E-04
330.000000,1.042195E-04
340.000000,1.081304E-04
350.000000,1.121002E-04
360.000000,1.161352E-04
370.000000,1.202421E-04
380.000000,1.244291E-04
390.000000,1.287053E-04
400.000000,1.330820E-04
410.000000,1.375724E-04
420.000000,1.421933E-04
430.000000,1.469652E-04
440.000000,1.519151E-04
450.000000,1.570779E-04
460.000000,1.625012E-04
470.000000,1.682512E-04
480.000000,1.744237E-04
490.000000,1.811632E-04
500.000000,1.886997E-04
510.000000,1.974237E-04
520.000000,2.080590E-04
530.000000,2.221179E-04
540.000000,2.433852E-04
550.000000,2.847758E-04
560.000000,4.378498E-04
570.000000,2.726243E-04
580.000000,8.212719E-05
590.000000,1.384745E-04
600.000000,1.642720E-04
610.000000,1.806953E-04
620.000000,1.930713E-04
630.000000,2.033714E-04
640.000000,2.124957E-04
650.000000,2.209158E-04
660.000000,2.289042E-04
670.000000,2.366311E-04
680.000000,2.442050E-04
690.000000,2.517100E-04
700.000000,2.592005E-04
710.000000,2.667208E-04
720.000000,2.743060E-04
730.000000,2.819849E-04
740.000000,2.897828E-04
750.000000,2.977217E-04
760.000000,3.058222E-04
770.000000,3.141037E-04
780.000000,3.225848E-04
790.000000,3.312842E-04
800.000000,3.402208E-04
810.000000,3.494138E-04
820.000000,3.588832E-04
830.000000,3.686502E-04
840.000000,3.787369E-04
850.000000,3.891674E-04
860.000000,3.999674E-04
870.000000,4.111649E-04
880.000000,4.227913E-04
890.000000,4.349207E-04
900.000000,4.474541E-04
910.000000,4.605793E-04
920.000000,4.742883E-04
930.000000,4.886336E-04
940.000000,5.036743E-04
950.000000,5.194772E-04
960.000000,5.361197E-04
970.000000,5.536917E-04
980.000000,5.722990E-04
990.000000,5.920677E-04
1000.000000,6.131502E-04
1010.000000,6.357343E-04
1020.000000,6.600549E-04
1030.000000,6.864140E-04
1040.000000,7.152092E-04
1050.000000,7.469823E-04
1060.000000,7.825008E-04
1070.000000,8.229043E-04
1080.000000,8.699896E-04
1090.000000,9.268111E-04
1100.000000,9.991081E-04
1110.000000,1.099283E-03
1120.000000,1.260581E-03
1130.000000,1.611079E-03
1140.000000,3.771354E-03
1150.000000,5.965040E-04
1160.000000,3.881817E-04
1170.000000,6.690893E-04
1180.000000,8.292214E-04
1190.000000,9.507955E-04
1200.000000,1.058686E-03
1210.000000,1.163795E-03
1220.000000,1.272498E-03
1230.000000,1.389669E-03
1240.000000,1.520017E-03
1250.000000,1.668956E-03
1260.000000,1.843499E-03
1270.000000,2.053583E-03
1280.000000,2.319298E-03
1290.000000,2.645079E-03
1300.000000,3.092907E-03
1310.000000,3.732527E-03
1320.000000,4.737787E-03
1330.000000,6.606803E-03
1340.000000,1.186109E-02
1350.000000,2.842392E-02
1360.000000,2.298859E-02
1370.000000,1.844059E-02
1380.000000,7.623214E-03
1390.000000,4.782129E-03
1400.000000,3.412870E-03
1410.000000,2.586580E-03
1420.000000,2.021352E-03
1430.000000,1.600501E-03
1440.000000,1.266035E-03
1450.000000,9.850757E-04
1460.000000,7.366964E-04
1470.000000,5.058204E-04
1480.000000,2.798095E-04
1490.000000,4.593898E-05
1500.000000,2.113895E-04
1510.000000,5.151801E-04
1520.000000,9.055304E-04
1530.000000,1.465279E-03
1540.000000,2.406805E-03
1550.000000,4.507210E-03
1560.000000,1.485130E-02
1570.000000,1.521799E-02
1580.000000,5.238990E-03
1590.000000,3.263444E-03
1600.000000,2.314697E-03
1610.000000,1.738182E-03
1620.000000,1.317588E-03
1630.000000,9.620403E-04
1640.000000,6.147335E-04
1650.000000,2.156011E-04
1660.000000,3.484732E-04
1670.000000,1.915561E-03
1680.000000,5.090703E-03
1690.000000,1.534137E-02
1700.000000,4.188989E-03
1710.000000,2.759940E-03
1720.000000,2.101656E-03
1730.000000,1.722424E-03
1740.000000,1.457828E-03
1750.000000,1.247801E-03
1760.000000,1.061230E-03
1770.000000,8.743641E-04
1780.000000,6.568761E-04
1790.000000,3.431884E-04
1800.000000,3.090224E-04
1810.000000,4.188749E-03
1820.000000,3.890684E-03
1830.000000,2.044809E-03
1840.000000,1.560381E-03
1850.000000,1.315928E-03
1860.000000,1.156080E-03
1870.000000,1.034798E-03
1880.000000,9.327864E-04
1890.000000,8.395786E-04
1900.000000,7.477094E-04
1910.000000,6.498503E-04
1920.000000,5.360927E-04
1930.000000,3.887630E-04
1940.000000,1.581459E-04
1950.000000,2.116136E-04
1960.000000,1.329633E-03
1970.000000,9.425708E-02
1980.000000,3.129917E-03
1990.000000,1.941932E-03
2000.000000,1.539669E-03


