#X,Acoustic Pressure across Frequency(1)_At Node 745
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,5.116290E-05
30.000000,3.031950E-05
40.000000,1.875786E-05
50.000000,1.090633E-05
60.000000,4.907092E-06
70.000000,3.662520E-08
80.000000,4.323685E-06
90.000000,8.176118E-06
100.000000,1.172755E-05
110.000000,1.506339E-05
120.000000,1.824095E-05
130.000000,2.130022E-05
140.000000,2.427013E-05
150.000000,2.717218E-05
160.000000,3.002285E-05
170.000000,3.283502E-05
180.000000,3.561904E-05
190.000000,3.838337E-05
200.000000,4.113512E-05
210.000000,4.388036E-05
220.000000,4.662437E-05
230.000000,4.937187E-05
240.000000,5.212715E-05
250.000000,5.489418E-05
260.000000,5.767671E-05
270.000000,6.047837E-05
280.000000,6.330274E-05
290.000000,6.615335E-05
300.000000,6.903386E-05
310.000000,7.194805E-05
320.000000,7.489986E-05
330.000000,7.789356E-05
340.000000,8.093375E-05
350.000000,8.402557E-05
360.000000,8.717471E-05
370.000000,9.038771E-05
380.000000,9.367208E-05
390.000000,9.703667E-05
400.000000,1.004920E-04
410.000000,1.040509E-04
420.000000,1.077292E-04
430.000000,1.115468E-04
440.000000,1.155295E-04
450.000000,1.197110E-04
460.000000,1.241373E-04
470.000000,1.288726E-04
480.000000,1.340098E-04
490.000000,1.396891E-04
500.000000,1.461340E-04
510.000000,1.537241E-04
520.000000,1.631637E-04
530.000000,1.759240E-04
540.000000,1.956884E-04
550.000000,2.350262E-04
560.000000,3.830507E-04
570.000000,3.094128E-04
580.000000,3.487360E-05
590.000000,8.871470E-05
600.000000,1.128075E-04
610.000000,1.277610E-04
620.000000,1.387595E-04
630.000000,1.477207E-04
640.000000,1.555202E-04
650.000000,1.626162E-04
660.000000,1.692731E-04
670.000000,1.756564E-04
680.000000,1.818681E-04
690.000000,1.879929E-04
700.000000,1.940810E-04
710.000000,2.001745E-04
720.000000,2.063064E-04
730.000000,2.125041E-04
740.000000,2.187904E-04
750.000000,2.251858E-04
760.000000,2.317088E-04
770.000000,2.383767E-04
780.000000,2.452063E-04
790.000000,2.522141E-04
800.000000,2.594163E-04
810.000000,2.668299E-04
820.000000,2.744722E-04
830.000000,2.823615E-04
840.000000,2.905170E-04
850.000000,2.989593E-04
860.000000,3.077107E-04
870.000000,3.167953E-04
880.000000,3.262404E-04
890.000000,3.361345E-04
900.000000,3.463106E-04
910.000000,3.570182E-04
920.000000,3.682182E-04
930.000000,3.799566E-04
940.000000,3.922842E-04
950.000000,4.052590E-04
960.000000,4.189479E-04
970.000000,4.334287E-04
980.000000,4.487935E-04
990.000000,4.651519E-04
1000.000000,4.826369E-04
1010.000000,5.014124E-04
1020.000000,5.216843E-04
1030.000000,5.437176E-04
1040.000000,5.678622E-04
1050.000000,5.945957E-04
1060.000000,6.245963E-04
1070.000000,6.588730E-04
1080.000000,6.990191E-04
1090.000000,7.477474E-04
1100.000000,8.101611E-04
1110.000000,8.972980E-04
1120.000000,1.038762E-03
1130.000000,1.348527E-03
1140.000000,3.270285E-03
1150.000000,6.229494E-04
1160.000000,2.512611E-04
1170.000000,4.983732E-04
1180.000000,6.376479E-04
1190.000000,7.422760E-04
1200.000000,8.343613E-04
1210.000000,9.235476E-04
1220.000000,1.015428E-03
1230.000000,1.114231E-03
1240.000000,1.224002E-03
1250.000000,1.349358E-03
1260.000000,1.496254E-03
1270.000000,1.673121E-03
1280.000000,1.897282E-03
1290.000000,2.171396E-03
1300.000000,2.549120E-03
1310.000000,3.089024E-03
1320.000000,3.938277E-03
1330.000000,5.518667E-03
1340.000000,9.966346E-03
1350.000000,2.419294E-02
1360.000000,1.931616E-02
1370.000000,1.564966E-02
1380.000000,6.518727E-03
1390.000000,4.121289E-03
1400.000000,2.966893E-03
1410.000000,2.271312E-03
1420.000000,1.796520E-03
1430.000000,1.444016E-03
1440.000000,1.164880E-03
1450.000000,9.314273E-04
1460.000000,7.261009E-04
1470.000000,5.363352E-04
1480.000000,3.517032E-04
1490.000000,1.618357E-04
1500.000000,4.583456E-05
1510.000000,2.896935E-04
1520.000000,6.016465E-04
1530.000000,1.047471E-03
1540.000000,1.795668E-03
1550.000000,3.462636E-03
1560.000000,1.166777E-02
1570.000000,1.218175E-02
1580.000000,4.267341E-03
1590.000000,2.700556E-03
1600.000000,1.949188E-03
1610.000000,1.493676E-03
1620.000000,1.162665E-03
1630.000000,8.844330E-04
1640.000000,6.145906E-04
1650.000000,3.068916E-04
1660.000000,1.248419E-04
1670.000000,1.591671E-03
1680.000000,3.726356E-03
1690.000000,1.176372E-02
1700.000000,3.306221E-03
1710.000000,2.220987E-03
1720.000000,1.721106E-03
1730.000000,1.433154E-03
1740.000000,1.232572E-03
1750.000000,1.073927E-03
1760.000000,9.338259E-04
1770.000000,7.946554E-04
1780.000000,6.342992E-04
1790.000000,4.054136E-04
1800.000000,6.635910E-05
1810.000000,2.858302E-03
1820.000000,2.948815E-03
1830.000000,1.619925E-03
1840.000000,1.270234E-03
1850.000000,1.093390E-03
1860.000000,9.776885E-04
1870.000000,8.900494E-04
1880.000000,8.166463E-04
1890.000000,7.500318E-04
1900.000000,6.849733E-04
1910.000000,6.164347E-04
1920.000000,5.377207E-04
1930.000000,4.369964E-04
1940.000000,2.806512E-04
1950.000000,3.351806E-05
1960.000000,7.114151E-04
1970.000000,6.244857E-02
1980.000000,2.247463E-03
1990.000000,1.456578E-03
2000.000000,1.187804E-03


