#X,Acoustic Pressure across Frequency(2)_At Node 720
#Frequency(Hz),General/Unknown()_Magnitude
20.000000,135.586193
30.000000,132.302173
40.000000,129.914344
50.000000,128.055792
60.000000,126.545332
70.000000,125.281832
80.000000,124.203454
90.000000,123.269757
100.000000,122.452888
110.000000,121.732890
120.000000,121.094997
130.000000,120.528001
140.000000,120.023213
150.000000,119.573781
160.000000,119.174229
170.000000,118.820125
180.000000,118.507856
190.000000,118.234458
200.000000,117.997488
210.000000,117.794932
220.000000,117.625133
230.000000,117.486742
240.000000,117.378665
250.000000,117.300041
260.000000,117.250217
270.000000,117.228727
280.000000,117.235281
290.000000,117.269758
300.000000,117.332202
310.000000,117.422828
320.000000,117.542018
330.000000,117.690340
340.000000,117.868555
350.000000,118.077642
360.000000,118.318824
370.000000,118.593603
380.000000,118.903811
390.000000,119.251669
400.000000,119.639865
410.000000,120.071669
420.000000,120.551075
430.000000,121.082992
440.000000,121.673525
450.000000,122.330355
460.000000,123.063300
470.000000,123.885153
480.000000,124.812966
490.000000,125.870145
500.000000,127.089958
510.000000,128.521905
520.000000,130.244059
530.000000,132.389643
540.000000,135.211793
550.000000,139.263147
560.000000,145.602570
570.000000,145.881064
580.000000,139.596754
590.000000,135.613799
600.000000,132.885582
610.000000,130.844983
620.000000,129.233329
630.000000,127.915011
640.000000,126.810782
650.000000,125.870514
660.000000,125.060567
670.000000,124.357314
680.000000,123.743558
690.000000,123.206414
700.000000,122.736007
710.000000,122.324613
720.000000,121.966108
730.000000,121.655568
740.000000,121.388993
750.000000,121.163117
760.000000,120.975254
770.000000,120.823194
780.000000,120.705117
790.000000,120.619534
800.000000,120.565239
810.000000,120.541270
820.000000,120.546880
830.000000,120.581521
840.000000,120.644829
850.000000,120.736604
860.000000,120.856817
870.000000,121.005599
880.000000,121.183247
890.000000,121.390230
900.000000,121.627196
910.000000,121.894991
920.000000,122.194677
930.000000,122.527564
940.000000,122.895235
950.000000,123.299609
960.000000,123.742986
970.000000,124.228134
980.000000,124.758380
990.000000,125.337718
1000.000000,125.970802
1010.000000,126.659551
1020.000000,127.433809
1030.000000,128.271887
1040.000000,129.202723
1050.000000,130.241776
1060.000000,131.412094
1070.000000,132.746583
1080.000000,134.294075
1090.000000,136.131325
1100.000000,138.388733
1110.000000,141.312804
1120.000000,145.439639
1130.000000,151.855853
1140.000000,152.903292
1150.000000,146.656524
1160.000000,142.755455
1170.000000,140.168037
1180.000000,138.254228
1190.000000,136.814010
1200.000000,135.676101
1210.000000,134.762844
1220.000000,134.024267
1230.000000,133.427087
1240.000000,132.948276
1250.000000,132.571448
1260.000000,132.284727
1270.000000,132.079450
1280.000000,131.949328
1290.000000,131.889923
1300.000000,131.898291
1310.000000,131.972769
1320.000000,132.112867
1330.000000,132.319212
1340.000000,132.593596
1350.000000,132.939081
1360.000000,133.360215
1370.000000,133.863361
1380.000000,134.457222
1390.000000,135.153658
1400.000000,135.968956
1410.000000,136.925936
1420.000000,138.057558
1430.000000,139.413523
1440.000000,141.073470
1450.000000,143.176593
1460.000000,146.000589
1470.000000,150.240249
1480.000000,158.792591
1490.000000,162.014181
1500.000000,151.483887
1510.000000,146.933546
1520.000000,144.044377
1530.000000,141.960042
1540.000000,140.359502
1550.000000,139.089318
1560.000000,138.021546
1570.000000,137.200399
1580.000000,136.511614
1590.000000,135.952420
1600.000000,135.508115
1610.000000,135.168343
1620.000000,134.926384
1630.000000,134.778504
1640.000000,134.723599
1650.000000,134.763098
1660.000000,134.901114
1670.000000,135.144855
1680.000000,135.505380
1690.000000,135.998572
1700.000000,136.641515
1710.000000,137.522996
1720.000000,138.613946
1730.000000,140.060366
1740.000000,142.023987
1750.000000,144.847233
1760.000000,149.341013
1770.000000,155.834813
1780.000000,150.427993
1790.000000,144.611583
1800.000000,140.795758
1810.000000,137.653112
1820.000000,136.004722
1830.000000,134.113894
1840.000000,132.534700
1850.000000,131.163805
1860.000000,129.952261
1870.000000,128.869018
1880.000000,127.892681
1890.000000,127.007888
1900.000000,126.203340
1910.000000,125.470627
1920.000000,124.803484
1930.000000,124.197308
1940.000000,123.648837
1950.000000,123.155933
1960.000000,122.717448
1970.000000,122.333126
1980.000000,122.003563
1990.000000,121.730174
2000.000000,121.515191


