#X,Acoustic Pressure across Frequency_At Node 139
#Frequency(Hz),General/Unknown()_Magnitude
20.000000,146.211227
30.000000,146.230548
40.000000,146.254211
50.000000,146.279975
60.000000,146.305948
70.000000,146.330721
80.000000,146.353330
90.000000,146.373173
100.000000,146.389898
110.000000,146.403336
120.000000,146.413443
130.000000,146.420272
140.000000,146.423961
150.000000,146.424716
160.000000,146.422814
170.000000,146.418586
180.000000,146.412418
190.000000,146.404734
200.000000,146.395990
210.000000,146.386653
220.000000,146.377193
230.000000,146.368065
240.000000,146.359699
250.000000,146.352480
260.000000,146.346744
270.000000,146.342766
280.000000,146.340751
290.000000,146.340827
300.000000,146.343047
310.000000,146.347383
320.000000,146.353730
330.000000,146.361907
340.000000,146.371665
350.000000,146.382692
360.000000,146.394625
370.000000,146.407059
380.000000,146.419564
390.000000,146.431695
400.000000,146.443014
410.000000,146.453097
420.000000,146.461557
430.000000,146.468056
440.000000,146.472317
450.000000,146.474136
460.000000,146.473393
470.000000,146.470050
480.000000,146.464161
490.000000,146.455862
500.000000,146.445368
510.000000,146.432967
520.000000,146.419004
530.000000,146.403871
540.000000,146.387990
550.000000,146.371800
560.000000,146.355738
570.000000,146.340227
580.000000,146.325662
590.000000,146.312398
600.000000,146.300738
610.000000,146.290926
620.000000,146.283138
630.000000,146.277483
640.000000,146.273994
650.000000,146.272633
660.000000,146.273292
670.000000,146.275793
680.000000,146.279900
690.000000,146.285320
700.000000,146.291721
710.000000,146.298736
720.000000,146.305975
730.000000,146.313046
740.000000,146.319558
750.000000,146.325144
760.000000,146.329470
770.000000,146.332244
780.000000,146.333236
790.000000,146.332275
800.000000,146.329263
810.000000,146.324178
820.000000,146.317068
830.000000,146.308053
840.000000,146.297320
850.000000,146.285109
860.000000,146.271711
870.000000,146.257450
880.000000,146.242674
890.000000,146.227740
900.000000,146.213003
910.000000,146.198801
920.000000,146.185450
930.000000,146.173230
940.000000,146.162377
950.000000,146.153077
960.000000,146.145465
970.000000,146.139620
980.000000,146.135563
990.000000,146.133261
1000.000000,146.132630
1010.000000,146.133536
1020.000000,146.135805
1030.000000,146.139228
1040.000000,146.143570
1050.000000,146.148577
1060.000000,146.153989
1070.000000,146.159547
1080.000000,146.165002
1090.000000,146.170127
1100.000000,146.174721
1110.000000,146.178618
1120.000000,146.181692
1130.000000,146.183861
1140.000000,146.185085
1150.000000,146.185372
1160.000000,146.184768
1170.000000,146.183359
1180.000000,146.181262
1190.000000,146.178619
1200.000000,146.175590
1210.000000,146.172341
1220.000000,146.169042
1230.000000,146.165849
1240.000000,146.162907
1250.000000,146.160333
1260.000000,146.158218
1270.000000,146.156617
1280.000000,146.155548
1290.000000,146.154991
1300.000000,146.154886
1310.000000,146.155136
1320.000000,146.155611
1330.000000,146.156153
1340.000000,146.156578
1350.000000,146.156689
1360.000000,146.156282
1370.000000,146.155156
1380.000000,146.153116
1390.000000,146.149993
1400.000000,146.145645
1410.000000,146.139964
1420.000000,146.132888
1430.000000,146.124400
1440.000000,146.114536
1450.000000,146.103380
1460.000000,146.091070
1470.000000,146.077787
1480.000000,146.063757
1490.000000,146.049237
1500.000000,146.034514
1510.000000,146.019889
1520.000000,146.005673
1530.000000,145.992170
1540.000000,145.979676
1550.000000,145.968457
1560.000000,145.958751
1570.000000,145.950751
1580.000000,145.944604
1590.000000,145.940401
1600.000000,145.938172
1610.000000,145.937883
1620.000000,145.939441
1630.000000,145.942683
1640.000000,145.947383
1650.000000,145.953260
1660.000000,145.959978
1670.000000,145.967155
1680.000000,145.974376
1690.000000,145.981200
1700.000000,145.987175
1710.000000,145.991853
1720.000000,145.994804
1730.000000,145.995631
1740.000000,145.993986
1750.000000,145.989584
1760.000000,145.982211
1770.000000,145.971741
1780.000000,145.958137
1790.000000,145.941457
1800.000000,145.921849
1810.000000,145.899558
1820.000000,145.874907
1830.000000,145.848295
1840.000000,145.820182
1850.000000,145.791074
1860.000000,145.761509
1870.000000,145.732042
1880.000000,145.703226
1890.000000,145.675602
1900.000000,145.649680
1910.000000,145.625931
1920.000000,145.604771
1930.000000,145.586555
1940.000000,145.571568
1950.000000,145.560016
1960.000000,145.552028
1970.000000,145.547644
1980.000000,145.546818
1990.000000,145.549419
2000.000000,145.555230


