#X,Acoustic Pressure across Frequency_At Node 155,Acoustic Pressure across Frequency_At Node 155
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000409,-179.510070
30.000000,0.000411,-179.344240
40.000000,0.000413,-179.252512
50.000000,0.000415,-179.235485
60.000000,0.000416,-179.286072
70.000000,0.000418,-179.393762
80.000000,0.000420,-179.547371
90.000000,0.000421,-179.736324
100.000000,0.000422,-179.951002
110.000000,0.000422,-180.182671
120.000000,0.000423,-180.423298
130.000000,0.000423,-180.665411
140.000000,0.000423,-180.902044
150.000000,0.000422,-181.126754
160.000000,0.000422,-181.333709
170.000000,0.000421,-181.517801
180.000000,0.000420,-181.674774
190.000000,0.000418,-181.801347
200.000000,0.000417,-181.895314
210.000000,0.000416,-181.955613
220.000000,0.000415,-181.982364
230.000000,0.000414,-181.976861
240.000000,0.000413,-181.941528
250.000000,0.000412,-181.879832
260.000000,0.000411,-181.796162
270.000000,0.000410,-181.695672
280.000000,0.000410,-181.584096
290.000000,0.000410,-181.467544
300.000000,0.000410,-181.352282
310.000000,0.000410,-181.244502
320.000000,0.000411,-181.150107
330.000000,0.000412,-181.074493
340.000000,0.000413,-181.022357
350.000000,0.000414,-180.997529
360.000000,0.000415,-181.002840
370.000000,0.000416,-181.040019
380.000000,0.000417,-181.109635
390.000000,0.000419,-181.211085
400.000000,0.000420,-181.342613
410.000000,0.000421,-181.501384
420.000000,0.000421,-181.683589
430.000000,0.000422,-181.884583
440.000000,0.000422,-182.099062
450.000000,0.000422,-182.321255
460.000000,0.000422,-182.545140
470.000000,0.000422,-182.764656
480.000000,0.000422,-182.973927
490.000000,0.000421,-183.167468
500.000000,0.000420,-183.340383
510.000000,0.000419,-183.488526
520.000000,0.000418,-183.608647
530.000000,0.000416,-183.698497
540.000000,0.000415,-183.756894
550.000000,0.000414,-183.783759
560.000000,0.000413,-183.780104
570.000000,0.000411,-183.747987
580.000000,0.000410,-183.690431
590.000000,0.000410,-183.611306
600.000000,0.000409,-183.515187
610.000000,0.000409,-183.407186
620.000000,0.000408,-183.292763
630.000000,0.000408,-183.177532
640.000000,0.000409,-183.067059
650.000000,0.000409,-182.966663
660.000000,0.000410,-182.881233
670.000000,0.000410,-182.815059
680.000000,0.000411,-182.771688
