#X,Acoustic Pressure across Frequency_At Node 919,Acoustic Pressure across Frequency_At Node 919
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000146,-269.501752
30.000000,0.000085,-269.147671
40.000000,0.000051,-268.629070
50.000000,0.000027,-267.544816
60.000000,0.000009,-262.678448
70.000000,0.000007,-99.003883
80.000000,0.000020,-92.923719
90.000000,0.000032,-91.774009
100.000000,0.000044,-91.286595
110.000000,0.000054,-91.017585
120.000000,0.000065,-90.847912
130.000000,0.000075,-90.732047
140.000000,0.000085,-90.648766
150.000000,0.000095,-90.586822
160.000000,0.000104,-90.539693
170.000000,0.000114,-90.503338
180.000000,0.000123,-90.475123
190.000000,0.000133,-90.453268
200.000000,0.000142,-90.436531
210.000000,0.000152,-90.424029
220.000000,0.000162,-90.415127
230.000000,0.000172,-90.409367
240.000000,0.000182,-90.406420
250.000000,0.000192,-90.406060
260.000000,0.000202,-90.408136
270.000000,0.000213,-90.412567
280.000000,0.000224,-90.419326
290.000000,0.000235,-90.428439
300.000000,0.000246,-90.439982
310.000000,0.000257,-90.454079
320.000000,0.000269,-90.470905
330.000000,0.000281,-90.490694
340.000000,0.000294,-90.513737
350.000000,0.000307,-90.540400
360.000000,0.000320,-90.571131
370.000000,0.000334,-90.606475
380.000000,0.000348,-90.647096
390.000000,0.000363,-90.693806
400.000000,0.000379,-90.747588
410.000000,0.000395,-90.809652
420.000000,0.000412,-90.881479
430.000000,0.000430,-90.964897
440.000000,0.000448,-91.062178
450.000000,0.000468,-91.176153
460.000000,0.000489,-91.310382
470.000000,0.000510,-91.469364
480.000000,0.000534,-91.658826
490.000000,0.000559,-91.886101
500.000000,0.000585,-92.160636
510.000000,0.000613,-92.494654
520.000000,0.000644,-92.904011
530.000000,0.000676,-93.409255
540.000000,0.000712,-94.036827
550.000000,0.000749,-94.820168
560.000000,0.000790,-95.800072
570.000000,0.000832,-97.022778
580.000000,0.000876,-98.532805
590.000000,0.000918,-100.355658
600.000000,0.000958,-102.465337
610.000000,0.000989,-104.739226
620.000000,0.001011,-106.925496
630.000000,0.001021,-108.674455
640.000000,0.001025,-109.664624
650.000000,0.001029,-109.759001
660.000000,0.001041,-109.063214
670.000000,0.001066,-107.842399
680.000000,0.001105,-106.384362
690.000000,0.001160,-104.908845
700.000000,0.001231,-103.546110
710.000000,0.001319,-102.355441
720.000000,0.001424,-101.352477
730.000000,0.001551,-100.530830
740.000000,0.001703,-99.875615
750.000000,0.001888,-99.370868
760.000000,0.002117,-99.003394
770.000000,0.002408,-98.765107
780.000000,0.002789,-98.655692
790.000000,0.003316,-98.688745
800.000000,0.004100,-98.911974
810.000000,0.005420,-99.492186
820.000000,0.008241,-101.227395
830.000000,0.019575,-112.271633
840.000000,0.018771,-234.995377
850.000000,0.005698,-227.925357
860.000000,0.005190,-200.894404
870.000000,0.006955,-206.662643
880.000000,0.006979,-228.439220
890.000000,0.005704,-244.022327
900.000000,0.004567,-252.529585
910.000000,0.003755,-257.336128
920.000000,0.003176,-260.281352
930.000000,0.002748,-262.219121
940.000000,0.002420,-263.567068
950.000000,0.002162,-264.545981
960.000000,0.001953,-265.281181
970.000000,0.001780,-265.848192
980.000000,0.001635,-266.294848
990.000000,0.001511,-266.652724
1000.000000,0.001404,-266.943391
1010.000000,0.001311,-267.182023
1020.000000,0.001229,-267.379559
1030.000000,0.001156,-267.544050
1040.000000,0.001090,-267.681528
1050.000000,0.001031,-267.796578
1060.000000,0.000978,-267.892730
1070.000000,0.000929,-267.972724
1080.000000,0.000884,-268.038705
1090.000000,0.000843,-268.092354
1100.000000,0.000805,-268.134993
1110.000000,0.000770,-268.167654
1120.000000,0.000737,-268.191135
1130.000000,0.000707,-268.206042
1140.000000,0.000678,-268.212817
1150.000000,0.000651,-268.211766
1160.000000,0.000626,-268.203070
1170.000000,0.000602,-268.186808
1180.000000,0.000579,-268.162962
1190.000000,0.000558,-268.131428
1200.000000,0.000537,-268.092023
1210.000000,0.000518,-268.044495
1220.000000,0.000499,-267.988532
1230.000000,0.000482,-267.923764
1240.000000,0.000465,-267.849787
1250.000000,0.000449,-267.766164
1260.000000,0.000433,-267.672458
1270.000000,0.000418,-267.568246
1280.000000,0.000404,-267.453153
1290.000000,0.000390,-267.326893
1300.000000,0.000377,-267.189308
1310.000000,0.000364,-267.040421
1320.000000,0.000352,-266.880490
