#X,Acoustic Pressure across Frequency(2)_At Node 923,Acoustic Pressure across Frequency(2)_At Node 923
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000144,-250.145973
30.000000,0.000101,-257.102469
40.000000,0.000077,-261.072562
50.000000,0.000063,-263.817581
60.000000,0.000054,-265.974511
70.000000,0.000047,-267.826761
80.000000,0.000042,-269.518965
90.000000,0.000038,-271.132252
100.000000,0.000035,-272.715280
110.000000,0.000033,-274.298697
120.000000,0.000031,-275.902544
130.000000,0.000029,-277.540350
140.000000,0.000028,-279.221538
150.000000,0.000027,-280.952894
160.000000,0.000026,-282.739517
170.000000,0.000025,-284.585438
180.000000,0.000025,-286.494027
190.000000,0.000024,-288.468273
200.000000,0.000024,-290.510987
210.000000,0.000024,-292.624913
220.000000,0.000023,-294.812821
230.000000,0.000023,-297.077562
240.000000,0.000023,-299.422082
250.000000,0.000023,-301.849446
260.000000,0.000023,-304.362821
270.000000,0.000023,-306.965430
280.000000,0.000023,-309.660534
290.000000,0.000024,-312.451346
300.000000,0.000024,-315.340973
310.000000,0.000024,-318.332294
320.000000,0.000024,-321.427845
330.000000,0.000025,-324.629704
340.000000,0.000025,-327.939297
350.000000,0.000025,-331.357269
360.000000,0.000026,-334.883261
370.000000,0.000026,-338.515765
380.000000,0.000026,-342.251947
390.000000,0.000027,-346.087488
400.000000,0.000027,-350.016508
410.000000,0.000027,-354.031503
420.000000,0.000028,-358.123380
430.000000,0.000028,-2.281574
440.000000,0.000029,-6.494238
450.000000,0.000029,-10.748534
460.000000,0.000029,-15.030987
470.000000,0.000029,-19.327888
480.000000,0.000030,-23.625719
490.000000,0.000030,-27.911567
500.000000,0.000030,-32.173510
510.000000,0.000030,-36.400923
520.000000,0.000030,-40.584712
530.000000,0.000031,-44.717483
540.000000,0.000031,-48.793596
550.000000,0.000031,-52.809174
560.000000,0.000031,-56.762027
570.000000,0.000031,-60.651565
580.000000,0.000032,-64.478665
590.000000,0.000032,-68.245547
600.000000,0.000032,-71.955643
610.000000,0.000033,-75.613503
