#X,Acoustic Pressure across Frequency(1)_At Node 3332,Acoustic Pressure across Frequency(1)_At Node 3332
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000158,-239.214802
30.000000,0.000087,-241.788343
40.000000,0.000044,-234.796977
50.000000,0.000017,-189.962890
60.000000,0.000028,-114.814959
70.000000,0.000052,-100.245535
80.000000,0.000074,-95.686207
90.000000,0.000097,-93.634498
100.000000,0.000119,-92.601784
110.000000,0.000140,-91.934040
120.000000,0.000162,-91.538932
130.000000,0.000184,-91.253910
140.000000,0.000207,-91.061282
150.000000,0.000231,-90.917009
160.000000,0.000256,-90.822052
170.000000,0.000281,-90.739663
180.000000,0.000309,-90.694967
190.000000,0.000338,-90.645553
200.000000,0.000369,-90.620585
210.000000,0.000403,-90.601551
220.000000,0.000440,-90.586460
230.000000,0.000480,-90.585706
240.000000,0.000525,-90.586052
250.000000,0.000575,-90.595624
260.000000,0.000632,-90.613009
270.000000,0.000697,-90.635820
280.000000,0.000771,-90.668614
290.000000,0.000859,-90.711176
300.000000,0.000965,-90.766821
310.000000,0.001093,-90.839692
320.000000,0.001255,-90.935606
330.000000,0.001464,-91.065078
340.000000,0.001747,-91.244950
350.000000,0.002153,-91.510140
360.000000,0.002784,-91.929230
370.000000,0.003910,-92.687532
380.000000,0.006486,-94.440961
390.000000,0.018303,-102.601778
400.000000,0.021036,-255.446216
410.000000,0.006894,-265.248371
420.000000,0.004116,-267.139383
430.000000,0.002935,-267.935191
440.000000,0.002280,-268.370961
450.000000,0.001863,-268.642916
460.000000,0.001573,-268.830813
470.000000,0.001360,-268.962282
480.000000,0.001196,-269.062531
490.000000,0.001065,-269.137239
500.000000,0.000959,-269.195639
510.000000,0.000870,-269.241608
520.000000,0.000795,-269.277747
530.000000,0.000730,-269.306191
540.000000,0.000673,-269.328429
550.000000,0.000623,-269.344324
560.000000,0.000579,-269.355779
570.000000,0.000539,-269.363342
580.000000,0.000502,-269.366153
590.000000,0.000469,-269.365702
600.000000,0.000438,-269.362169
610.000000,0.000410,-269.354122
620.000000,0.000384,-269.343009
630.000000,0.000359,-269.326972
640.000000,0.000335,-269.305564
650.000000,0.000313,-269.279978
660.000000,0.000292,-269.249950
670.000000,0.000272,-269.212257
680.000000,0.000253,-269.165278
690.000000,0.000235,-269.106809
700.000000,0.000217,-269.037348
710.000000,0.000199,-268.949388
720.000000,0.000182,-268.841847
730.000000,0.000166,-268.700643
740.000000,0.000149,-268.509079
750.000000,0.000133,-268.245912
760.000000,0.000116,-267.828086
770.000000,0.000099,-267.118153
780.000000,0.000081,-265.595689
790.000000,0.000059,-259.748277
800.000000,0.000065,-208.160772
810.000000,0.000072,-263.179456
820.000000,0.000041,-265.616144
830.000000,0.000021,-262.373152
840.000000,0.000004,-222.228526
850.000000,0.000015,-101.475183
860.000000,0.000033,-95.661953
870.000000,0.000051,-93.896018
880.000000,0.000069,-93.045765
890.000000,0.000088,-92.545674
900.000000,0.000107,-92.219948
910.000000,0.000128,-91.995346
920.000000,0.000149,-91.834563
930.000000,0.000171,-91.717328
940.000000,0.000195,-91.635511
950.000000,0.000220,-91.566769
960.000000,0.000248,-91.526805
970.000000,0.000277,-91.497568
980.000000,0.000308,-91.483411
990.000000,0.000343,-91.483210
1000.000000,0.000381,-91.496778
1010.000000,0.000423,-91.524490
1020.000000,0.000471,-91.566804
1030.000000,0.000524,-91.616876
1040.000000,0.000585,-91.695198
1050.000000,0.000656,-91.784814
1060.000000,0.000739,-91.901802
1070.000000,0.000840,-92.065565
1080.000000,0.000962,-92.261979
1090.000000,0.001116,-92.521726
1100.000000,0.001316,-92.872557
1110.000000,0.001582,-93.332799
1120.000000,0.001970,-94.044130
1130.000000,0.002578,-95.185838
1140.000000,0.003643,-97.170603
1150.000000,0.006112,-101.935560
1160.000000,0.016005,-122.247651
1170.000000,0.016295,-237.501905
1180.000000,0.006274,-258.068872
1190.000000,0.003868,-262.697544
1200.000000,0.002803,-264.713680
1210.000000,0.002204,-265.830880
1220.000000,0.001818,-266.533697
1230.000000,0.001548,-266.998461
1240.000000,0.001349,-267.356066
1250.000000,0.001199,-267.626245
1260.000000,0.001076,-267.819491
1270.000000,0.000975,-267.969357
1280.000000,0.000893,-268.099834
1290.000000,0.000822,-268.189190
1300.000000,0.000760,-268.257430
1310.000000,0.000707,-268.323467
1320.000000,0.000661,-268.374540
1330.000000,0.000618,-268.397381
1340.000000,0.000580,-268.424112
1350.000000,0.000546,-268.439447
1360.000000,0.000515,-268.444912
1370.000000,0.000485,-268.424598
1380.000000,0.000458,-268.410615
1390.000000,0.000433,-268.385481
1400.000000,0.000409,-268.350929
1410.000000,0.000387,-268.302937
1420.000000,0.000366,-268.243555
1430.000000,0.000345,-268.168568
1440.000000,0.000326,-268.101427
1450.000000,0.000307,-267.988751
1460.000000,0.000289,-267.851893
1470.000000,0.000271,-267.680544
1480.000000,0.000254,-267.510649
1490.000000,0.000236,-267.251127
1500.000000,0.000218,-266.914046
1510.000000,0.000201,-266.544488
1520.000000,0.000182,-265.961145
1530.000000,0.000164,-265.243824
1540.000000,0.000144,-264.030689
1550.000000,0.000123,-262.243755
1560.000000,0.000098,-258.570070
1570.000000,0.000070,-250.441008
1580.000000,0.000040,-215.709595
1590.000000,0.000068,-140.359759
1600.000000,0.000241,-124.681020
1610.000000,0.001236,-194.687507
1620.000000,0.000394,-262.290822
1630.000000,0.000228,-267.285597
1640.000000,0.000158,-268.031170
1650.000000,0.000115,-267.589330
1660.000000,0.000082,-266.278052
1670.000000,0.000053,-263.380718
1680.000000,0.000028,-255.303271
1690.000000,0.000009,-196.780327
1700.000000,0.000024,-113.201682
1710.000000,0.000048,-102.949311
1720.000000,0.000073,-99.612232
1730.000000,0.000100,-98.020600
1740.000000,0.000128,-97.129407
1750.000000,0.000158,-96.600879
1760.000000,0.000190,-96.291878
1770.000000,0.000225,-96.067052
1780.000000,0.000264,-96.016918
1790.000000,0.000307,-96.072177
1800.000000,0.000357,-96.216109
1810.000000,0.000414,-96.459134
1820.000000,0.000480,-96.819844
1830.000000,0.000554,-97.172381
1840.000000,0.000648,-97.803130
1850.000000,0.000764,-98.640059
1860.000000,0.000903,-99.554981
1870.000000,0.001094,-101.070012
1880.000000,0.001360,-103.272939
1890.000000,0.001722,-106.113078
1900.000000,0.002324,-111.417498
1910.000000,0.003378,-121.383720
1920.000000,0.005180,-140.752163
1930.000000,0.006713,-184.346876
1940.000000,0.004936,-222.988638
1950.000000,0.003437,-239.861067
1960.000000,0.002514,-248.239433
1970.000000,0.002010,-252.835779
1980.000000,0.001653,-255.669548
1990.000000,0.001424,-257.636582
2000.000000,0.001239,-258.935630


