#X,Acoustic Pressure across Frequency(2)_At Node 3239,Acoustic Pressure across Frequency(2)_At Node 3239
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000134,-248.761285
30.000000,0.000097,-250.250081
40.000000,0.000077,-250.935874
50.000000,0.000064,-250.797176
60.000000,0.000055,-250.504799
70.000000,0.000049,-249.933067
80.000000,0.000045,-249.334409
90.000000,0.000041,-248.622578
100.000000,0.000038,-247.908762
110.000000,0.000036,-247.334136
120.000000,0.000035,-246.475944
130.000000,0.000034,-245.761470
140.000000,0.000033,-244.966209
150.000000,0.000032,-244.121809
160.000000,0.000032,-243.470118
170.000000,0.000032,-242.727389
180.000000,0.000032,-242.064759
190.000000,0.000033,-241.595134
200.000000,0.000033,-241.152255
210.000000,0.000034,-240.821217
220.000000,0.000035,-240.517403
230.000000,0.000037,-240.276792
240.000000,0.000038,-240.274593
250.000000,0.000041,-240.367554
260.000000,0.000043,-240.469600
270.000000,0.000046,-240.870017
280.000000,0.000050,-241.487495
290.000000,0.000055,-242.277158
300.000000,0.000060,-243.413236
310.000000,0.000068,-244.897419
320.000000,0.000077,-246.832235
330.000000,0.000090,-249.327960
340.000000,0.000106,-252.882806
350.000000,0.000131,-258.056670
360.000000,0.000167,-266.066230
370.000000,0.000221,-279.538059
380.000000,0.000286,-302.347162
390.000000,0.000304,-333.914557
400.000000,0.000250,-0.862155
410.000000,0.000191,-17.326718
420.000000,0.000150,-27.195149
430.000000,0.000122,-33.680927
440.000000,0.000103,-38.191152
450.000000,0.000089,-41.627453
460.000000,0.000079,-44.358857
470.000000,0.000071,-46.792602
480.000000,0.000064,-48.727791
490.000000,0.000059,-50.606299
500.000000,0.000055,-52.272458
510.000000,0.000052,-53.955378
520.000000,0.000049,-55.518796
530.000000,0.000046,-56.938771
540.000000,0.000044,-58.428512
550.000000,0.000042,-59.823724
560.000000,0.000041,-61.271931
570.000000,0.000039,-62.619214
580.000000,0.000038,-63.846728
590.000000,0.000037,-65.357113
600.000000,0.000036,-66.758467
610.000000,0.000036,-68.047789
620.000000,0.000035,-69.422996
630.000000,0.000034,-70.864005
640.000000,0.000034,-72.377458
650.000000,0.000034,-73.782760
660.000000,0.000033,-75.238339
670.000000,0.000033,-76.584056
680.000000,0.000033,-77.980291
690.000000,0.000033,-79.455330
700.000000,0.000033,-81.009138
710.000000,0.000033,-82.621926
720.000000,0.000033,-84.072486
730.000000,0.000033,-85.606756
740.000000,0.000033,-87.199180
750.000000,0.000033,-88.596337
760.000000,0.000034,-90.311049
770.000000,0.000034,-91.855536
780.000000,0.000034,-93.463641
790.000000,0.000035,-95.108123
800.000000,0.000035,-96.818658
810.000000,0.000036,-98.349507
820.000000,0.000036,-99.915793
830.000000,0.000037,-101.810220
840.000000,0.000038,-103.488743
850.000000,0.000039,-105.241011
860.000000,0.000040,-106.770235
870.000000,0.000041,-108.645692
880.000000,0.000042,-110.541724
890.000000,0.000043,-112.242462
900.000000,0.000045,-113.992863
910.000000,0.000046,-116.124825
920.000000,0.000048,-117.993054
930.000000,0.000050,-119.959749
940.000000,0.000052,-121.649889
950.000000,0.000054,-123.755860
960.000000,0.000057,-125.910194
970.000000,0.000059,-127.863904
980.000000,0.000063,-130.206918
990.000000,0.000066,-132.357895
1000.000000,0.000070,-134.584355
1010.000000,0.000075,-137.306759
1020.000000,0.000081,-139.827718
1030.000000,0.000087,-142.490579
1040.000000,0.000094,-145.411918
1050.000000,0.000102,-148.553432
1060.000000,0.000112,-151.595106
1070.000000,0.000124,-155.413997
1080.000000,0.000139,-159.812467
1090.000000,0.000156,-164.372322
1100.000000,0.000178,-170.298177
1110.000000,0.000205,-177.031868
1120.000000,0.000239,-185.999870
1130.000000,0.000279,-196.898643
1140.000000,0.000320,-211.414687
1150.000000,0.000350,-228.369802
1160.000000,0.000354,-246.781754
1170.000000,0.000331,-264.075223
1180.000000,0.000295,-278.488424
1190.000000,0.000257,-289.867921
1200.000000,0.000225,-298.804168
1210.000000,0.000198,-305.983736
1220.000000,0.000177,-311.913274
1230.000000,0.000159,-316.976149
1240.000000,0.000145,-321.400971
1250.000000,0.000133,-325.149706
1260.000000,0.000123,-328.765619
1270.000000,0.000115,-332.143295
1280.000000,0.000108,-335.076658
1290.000000,0.000102,-338.078698
1300.000000,0.000097,-340.723072
1310.000000,0.000092,-343.518280
1320.000000,0.000088,-345.956390
1330.000000,0.000085,-348.629057
1340.000000,0.000082,-350.957920
1350.000000,0.000079,-353.265393
1360.000000,0.000077,-355.829809
1370.000000,0.000075,-358.054665
1380.000000,0.000073,-0.244921
1390.000000,0.000071,-2.441324
1400.000000,0.000070,-4.944924
1410.000000,0.000069,-7.138466
1420.000000,0.000068,-9.317383
1430.000000,0.000067,-11.476657
1440.000000,0.000066,-13.625530
1450.000000,0.000065,-15.805922
1460.000000,0.000064,-17.975469
1470.000000,0.000064,-20.136689
1480.000000,0.000064,-22.294670
1490.000000,0.000063,-24.491029
1500.000000,0.000063,-26.685891
1510.000000,0.000063,-28.879978
1520.000000,0.000063,-31.120741
1530.000000,0.000063,-32.907604
1540.000000,0.000063,-35.145968
1550.000000,0.000064,-37.437144
1560.000000,0.000064,-39.686910
1570.000000,0.000065,-41.991003
1580.000000,0.000065,-43.866749
1590.000000,0.000066,-46.184394
1600.000000,0.000067,-48.514174
1610.000000,0.000068,-50.402052
1620.000000,0.000069,-52.804539
1630.000000,0.000070,-54.757821
1640.000000,0.000071,-57.191964
1650.000000,0.000073,-59.649628
1660.000000,0.000074,-61.699089
1670.000000,0.000076,-64.259769
1680.000000,0.000078,-66.292467
1690.000000,0.000080,-68.913374
1700.000000,0.000083,-71.115470
1710.000000,0.000086,-73.817726
1720.000000,0.000088,-76.097068
1730.000000,0.000092,-78.903286
1740.000000,0.000095,-81.284379
1750.000000,0.000099,-83.727468
1760.000000,0.000104,-86.815319
1770.000000,0.000108,-89.485634
1780.000000,0.000114,-92.192532
1790.000000,0.000120,-95.694002
1800.000000,0.000127,-98.740145
1810.000000,0.000135,-101.957366
1820.000000,0.000144,-106.041944
1830.000000,0.000154,-109.737249
1840.000000,0.000166,-113.743048
1850.000000,0.000179,-118.915510
1860.000000,0.000194,-123.796660
1870.000000,0.000211,-129.330674
1880.000000,0.000231,-135.582208
1890.000000,0.000252,-142.704012
1900.000000,0.000274,-151.626819
1910.000000,0.000296,-160.932698
1920.000000,0.000314,-171.275073
1930.000000,0.000327,-182.502388
1940.000000,0.000330,-194.208619
1950.000000,0.000324,-205.772233
