#X,Acoustic Pressure across Frequency(2)_At Node 3333,Acoustic Pressure across Frequency(2)_At Node 3333
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,1.788635E-04,-249.460987
30.000000,1.277292E-04,-257.541140
40.000000,9.849725E-05,-263.128424
50.000000,8.068830E-05,-266.764513
60.000000,6.787569E-05,-270.158760
70.000000,5.889407E-05,-272.912838
80.000000,5.216620E-05,-275.614428
90.000000,4.697087E-05,-277.708847
100.000000,4.270753E-05,-279.853254
110.000000,3.924199E-05,-281.884296
120.000000,3.645706E-05,-283.836672
130.000000,3.410732E-05,-285.738055
140.000000,3.207583E-05,-287.510339
150.000000,3.044715E-05,-289.342181
160.000000,2.906199E-05,-290.978260
170.000000,2.785101E-05,-292.748618
180.000000,2.684544E-05,-294.426527
190.000000,2.603167E-05,-296.004528
200.000000,2.532688E-05,-297.684671
210.000000,2.477606E-05,-299.241629
220.000000,2.434386E-05,-300.865006
230.000000,2.404280E-05,-302.472447
240.000000,2.384951E-05,-304.009814
250.000000,2.379532E-05,-305.570659
260.000000,2.385335E-05,-307.130555
270.000000,2.405019E-05,-308.670242
280.000000,2.439978E-05,-310.206502
290.000000,2.494049E-05,-311.723690
300.000000,2.569583E-05,-313.253165
310.000000,2.672842E-05,-314.772152
320.000000,2.812529E-05,-316.298410
330.000000,3.001537E-05,-317.825003
340.000000,3.262302E-05,-319.361879
350.000000,3.633169E-05,-320.920693
360.000000,4.187027E-05,-322.525393
370.000000,5.087415E-05,-324.231862
380.000000,6.770311E-05,-326.177113
390.000000,1.093741E-04,-328.902511
400.000000,3.744752E-04,-339.016280
410.000000,2.017022E-04,-141.451175
420.000000,7.303945E-05,-146.945412
430.000000,4.179938E-05,-149.196976
440.000000,2.779107E-05,-150.867142
450.000000,1.988316E-05,-152.247858
460.000000,1.479313E-05,-153.475768
470.000000,1.125329E-05,-154.491070
480.000000,8.659099E-06,-155.262318
490.000000,6.667671E-06,-155.870019
500.000000,5.097349E-06,-156.035203
510.000000,3.827359E-06,-155.503111
520.000000,2.777386E-06,-153.968381
530.000000,1.901948E-06,-150.045231
540.000000,1.180809E-06,-140.339940
550.000000,6.700017E-07,-112.335078
560.000000,6.284386E-07,-58.082244
570.000000,9.920469E-07,-29.439271
580.000000,1.435377E-06,-19.431604
590.000000,1.878722E-06,-15.448787
600.000000,2.304766E-06,-13.788303
610.000000,2.718866E-06,-13.286199
620.000000,3.117272E-06,-13.426039
630.000000,3.521079E-06,-13.982797
640.000000,3.927631E-06,-14.811463
650.000000,4.330554E-06,-15.847705
660.000000,4.760882E-06,-16.908111
670.000000,5.196306E-06,-18.226596
680.000000,5.677917E-06,-19.512206
690.000000,6.200499E-06,-20.861731
700.000000,6.778374E-06,-22.306564
710.000000,7.433794E-06,-23.850505
720.000000,8.221418E-06,-25.473846
730.000000,9.166562E-06,-27.007939
740.000000,1.034101E-05,-28.835216
750.000000,1.187350E-05,-30.646725
760.000000,1.407236E-05,-32.989167
770.000000,1.746752E-05,-35.577769
780.000000,2.365707E-05,-39.686880
790.000000,3.849654E-05,-47.295609
800.000000,1.058975E-04,-83.424389
810.000000,5.437664E-05,-189.261766
820.000000,2.188937E-05,-204.594296
830.000000,1.212310E-05,-209.529885
840.000000,7.392115E-06,-211.983032
850.000000,4.546766E-06,-213.000711
860.000000,2.603935E-06,-212.003222
870.000000,1.170088E-06,-204.018213
880.000000,3.640054E-07,-124.467282
890.000000,1.107857E-06,-64.767400
900.000000,1.950412E-06,-58.325659
910.000000,2.727245E-06,-57.075810
920.000000,3.472190E-06,-57.244177
930.000000,4.187714E-06,-57.978476
940.000000,4.892686E-06,-58.988515
950.000000,5.569810E-06,-60.199566
960.000000,6.298140E-06,-61.463843
970.000000,7.058189E-06,-62.806532
980.000000,7.838560E-06,-64.189249
990.000000,8.678103E-06,-65.607630
1000.000000,9.591315E-06,-67.053778
1010.000000,1.056014E-05,-68.511409
1020.000000,1.168470E-05,-69.997759
1030.000000,1.284068E-05,-71.476759
1040.000000,1.422068E-05,-72.986918
1050.000000,1.580232E-05,-74.509059
1060.000000,1.756692E-05,-76.033729
1070.000000,1.964020E-05,-77.575995
1080.000000,2.211304E-05,-79.134822
1090.000000,2.499248E-05,-80.699078
1100.000000,2.852627E-05,-82.284221
1110.000000,3.318301E-05,-83.925335
1120.000000,3.900694E-05,-85.585715
1130.000000,4.658094E-05,-87.287359
1140.000000,5.758371E-05,-89.098723
1150.000000,7.375567E-05,-91.038622
1160.000000,1.006998E-04,-93.273932
1170.000000,1.542830E-04,-96.225005
1180.000000,3.115188E-04,-101.960211
