#X,Acoustic Pressure across Frequency(3)_At Node 3334,Acoustic Pressure across Frequency(3)_At Node 3334
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-249.677069,1.788619E-04
30.000000,-257.865160,1.277267E-04
40.000000,-263.560261,9.849389E-05
50.000000,-267.304018,8.068411E-05
60.000000,-270.805763,6.787078E-05
70.000000,-273.667158,5.888849E-05
80.000000,-276.475878,5.215999E-05
90.000000,-278.677240,4.696409E-05
100.000000,-280.928410,4.270025E-05
110.000000,-283.066039,3.923427E-05
120.000000,-285.124835,3.644892E-05
130.000000,-287.132482,3.409882E-05
140.000000,-289.010885,3.206700E-05
150.000000,-290.948710,3.043800E-05
160.000000,-292.690642,2.905254E-05
170.000000,-294.566733,2.784129E-05
180.000000,-296.350260,2.683545E-05
190.000000,-298.033768,2.602140E-05
200.000000,-299.819315,2.531634E-05
210.000000,-301.481581,2.476524E-05
220.000000,-303.210163,2.433274E-05
230.000000,-304.922716,2.403137E-05
240.000000,-306.565104,2.383774E-05
250.000000,-308.230877,2.378318E-05
260.000000,-309.895609,2.384080E-05
270.000000,-311.540047,2.403717E-05
280.000000,-313.180973,2.438623E-05
290.000000,-314.802747,2.492632E-05
300.000000,-316.436714,2.568094E-05
310.000000,-318.060110,2.671265E-05
320.000000,-319.690703,2.810843E-05
330.000000,-321.321541,2.999714E-05
340.000000,-322.962587,3.260298E-05
350.000000,-324.625492,3.630919E-05
360.000000,-326.334201,4.184416E-05
370.000000,-328.144608,5.084230E-05
380.000000,-330.193719,6.766065E-05
390.000000,-333.022900,1.093055E-04
400.000000,-343.240383,3.742413E-04
410.000000,-145.778925,2.015769E-04
420.000000,-151.376732,7.299447E-05
430.000000,-153.731804,4.177392E-05
440.000000,-155.505412,2.777438E-05
450.000000,-156.989506,1.987142E-05
460.000000,-158.320735,1.478458E-05
470.000000,-159.439297,1.124695E-05
480.000000,-160.313745,8.654356E-06
490.000000,-161.024593,6.664138E-06
500.000000,-161.292875,5.094749E-06
510.000000,-160.863829,3.825491E-06
520.000000,-159.432094,2.776096E-06
530.000000,-155.611900,1.901114E-06
