#X,Acoustic Pressure across Frequency_At Node 3331,Acoustic Pressure across Frequency_At Node 3331
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000162,-245.171651
30.000000,0.000103,-248.010066
40.000000,0.000067,-249.760891
50.000000,0.000040,-245.147402
60.000000,0.000020,-231.404765
70.000000,0.000010,-169.229649
80.000000,0.000019,-114.161096
90.000000,0.000032,-101.913089
100.000000,0.000045,-97.339598
110.000000,0.000058,-94.548065
120.000000,0.000069,-93.440033
130.000000,0.000081,-92.703167
140.000000,0.000093,-92.280243
150.000000,0.000104,-92.071101
160.000000,0.000115,-91.665828
170.000000,0.000126,-91.499030
180.000000,0.000137,-91.347042
190.000000,0.000148,-91.228280
200.000000,0.000159,-91.150033
210.000000,0.000171,-91.067794
220.000000,0.000182,-91.028701
230.000000,0.000193,-90.987152
240.000000,0.000205,-90.942091
250.000000,0.000217,-90.888377
260.000000,0.000230,-90.855345
270.000000,0.000242,-90.854945
280.000000,0.000255,-90.828513
290.000000,0.000268,-90.804879
300.000000,0.000282,-90.803701
310.000000,0.000296,-90.773862
320.000000,0.000310,-90.783950
330.000000,0.000325,-90.762899
340.000000,0.000341,-90.776190
350.000000,0.000357,-90.779468
360.000000,0.000374,-90.773550
370.000000,0.000391,-90.778026
380.000000,0.000410,-90.787447
390.000000,0.000429,-90.787669
400.000000,0.000449,-90.796116
410.000000,0.000470,-90.809144
420.000000,0.000493,-90.828617
430.000000,0.000516,-90.842730
440.000000,0.000542,-90.861532
450.000000,0.000568,-90.883076
460.000000,0.000597,-90.907328
470.000000,0.000627,-90.937245
480.000000,0.000660,-90.967122
490.000000,0.000696,-91.003923
500.000000,0.000734,-91.044029
510.000000,0.000776,-91.092787
520.000000,0.000822,-91.147133
530.000000,0.000873,-91.206209
540.000000,0.000929,-91.277959
550.000000,0.000992,-91.357836
560.000000,0.001062,-91.454590
570.000000,0.001142,-91.563331
580.000000,0.001232,-91.685259
590.000000,0.001340,-91.850600
600.000000,0.001466,-92.044168
610.000000,0.001614,-92.270846
620.000000,0.001796,-92.566390
630.000000,0.002027,-92.958479
640.000000,0.002329,-93.502403
650.000000,0.002730,-94.230980
660.000000,0.003307,-95.331755
670.000000,0.004180,-97.020206
680.000000,0.005713,-100.123812
690.000000,0.009107,-107.418338
700.000000,0.020277,-136.459682
710.000000,0.017494,-225.899876
720.000000,0.007955,-249.183608
730.000000,0.004809,-255.538057
740.000000,0.003308,-257.974185
750.000000,0.002472,-258.853408
760.000000,0.001846,-258.449793
770.000000,0.001404,-256.909075
780.000000,0.001034,-253.125533
790.000000,0.000708,-243.871634
800.000000,0.000447,-215.875929
810.000000,0.000493,-162.519278
820.000000,0.001013,-135.619110
830.000000,0.002267,-132.622638
840.000000,0.005194,-152.940823
850.000000,0.007086,-216.031076
860.000000,0.004392,-247.965510
870.000000,0.003034,-258.183428
880.000000,0.002363,-262.335342
890.000000,0.001971,-264.418735
900.000000,0.001704,-265.658283
910.000000,0.001506,-266.466446
920.000000,0.001357,-267.009045
930.000000,0.001238,-267.398739
940.000000,0.001141,-267.691512
950.000000,0.001058,-267.913450
960.000000,0.000986,-268.086215
970.000000,0.000924,-268.226142
980.000000,0.000869,-268.338366
990.000000,0.000820,-268.433079
1000.000000,0.000776,-268.511806
1010.000000,0.000736,-268.571366
1020.000000,0.000699,-268.626059
1030.000000,0.000666,-268.671674
1040.000000,0.000635,-268.709443
1050.000000,0.000606,-268.741133
1060.000000,0.000579,-268.772850
1070.000000,0.000554,-268.793643
1080.000000,0.000530,-268.809185
1090.000000,0.000508,-268.827578
1100.000000,0.000487,-268.835588
1110.000000,0.000467,-268.846405
1120.000000,0.000448,-268.847660
1130.000000,0.000430,-268.851881
1140.000000,0.000412,-268.846189
1150.000000,0.000396,-268.844517
1160.000000,0.000380,-268.839864
1170.000000,0.000365,-268.832208
1180.000000,0.000350,-268.822002
1190.000000,0.000336,-268.808174
1200.000000,0.000322,-268.791455
1210.000000,0.000309,-268.770805
1220.000000,0.000296,-268.746842
1230.000000,0.000283,-268.718433
1240.000000,0.000271,-268.686058
1250.000000,0.000260,-268.660580
1260.000000,0.000248,-268.611010
1270.000000,0.000236,-268.570207
1280.000000,0.000225,-268.529243
1290.000000,0.000214,-268.468130
1300.000000,0.000204,-268.414988
1310.000000,0.000193,-268.336362
1320.000000,0.000183,-268.265781
1330.000000,0.000172,-268.163483
1340.000000,0.000162,-268.068823
1350.000000,0.000152,-267.958032
1360.000000,0.000142,-267.801035
1370.000000,0.000132,-267.648610
1380.000000,0.000123,-267.468530
1390.000000,0.000113,-267.253233
1400.000000,0.000103,-266.939042
1410.000000,0.000093,-266.607221
1420.000000,0.000083,-266.183972
1430.000000,0.000073,-265.645798
1440.000000,0.000064,-264.919518
1450.000000,0.000054,-263.889402
1460.000000,0.000044,-262.358180
1470.000000,0.000034,-259.847387
1480.000000,0.000023,-254.999569
1490.000000,0.000013,-242.299049
1500.000000,0.000007,-187.343712
1510.000000,0.000013,-122.417733
1520.000000,0.000024,-107.402893
1530.000000,0.000035,-102.392525
1540.000000,0.000048,-99.641304
1550.000000,0.000063,-98.162766
1560.000000,0.000080,-97.405803
1570.000000,0.000100,-97.192109
1580.000000,0.000122,-97.488464
1590.000000,0.000156,-98.916948
1600.000000,0.000216,-103.141974
1610.000000,0.000340,-116.975531
1620.000000,0.000417,-189.068027
1630.000000,0.000116,-218.720283
1640.000000,0.000036,-164.994759
1650.000000,0.000058,-110.819723
1660.000000,0.000084,-100.601668
1670.000000,0.000109,-96.948087
1680.000000,0.000128,-95.345103
1690.000000,0.000148,-94.417546
1700.000000,0.000165,-93.858039
1710.000000,0.000185,-93.489403
1720.000000,0.000202,-93.227793
1730.000000,0.000221,-93.051055
1740.000000,0.000239,-92.907402
1750.000000,0.000257,-92.804960
1760.000000,0.000279,-92.757158
1770.000000,0.000299,-92.705373
1780.000000,0.000319,-92.671202
1790.000000,0.000346,-92.695642
1800.000000,0.000370,-92.702194
1810.000000,0.000395,-92.718304
1820.000000,0.000429,-92.817754
1830.000000,0.000459,-92.882979
1840.000000,0.000492,-92.962742
1850.000000,0.000538,-93.175125
1860.000000,0.000579,-93.312418
1870.000000,0.000626,-93.503912
1880.000000,0.000679,-93.745303
1890.000000,0.000740,-94.052975
1900.000000,0.000837,-94.681227
1910.000000,0.000930,-95.273392
1920.000000,0.001041,-96.008393
1930.000000,0.001181,-97.005471
1940.000000,0.001369,-98.478307
1950.000000,0.001627,-100.643901
1960.000000,0.002004,-104.131191
1970.000000,0.002936,-115.091425
1980.000000,0.004153,-132.376506
1990.000000,0.005239,-167.470310
2000.000000,0.004134,-205.060210


