#X,Acoustic Pressure across Frequency_At Node 2636,Acoustic Pressure across Frequency_At Node 2636
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000180,-271.847365
30.000000,0.000102,-269.892808
40.000000,0.000061,-267.181804
50.000000,0.000034,-269.382855
60.000000,0.000009,-266.453430
70.000000,0.000008,-96.899863
80.000000,0.000025,-93.642373
90.000000,0.000040,-92.548060
100.000000,0.000054,-91.616784
110.000000,0.000068,-91.669835
120.000000,0.000080,-91.248275
130.000000,0.000093,-91.298081
140.000000,0.000105,-91.097739
150.000000,0.000117,-91.100597
160.000000,0.000130,-91.057585
170.000000,0.000142,-91.015506
180.000000,0.000154,-90.980238
190.000000,0.000166,-90.934547
200.000000,0.000179,-90.949023
210.000000,0.000191,-90.906461
220.000000,0.000204,-90.887583
230.000000,0.000217,-90.886853
240.000000,0.000231,-90.860390
250.000000,0.000245,-90.863245
260.000000,0.000259,-90.861703
270.000000,0.000273,-90.855177
280.000000,0.000288,-90.862966
290.000000,0.000304,-90.864664
300.000000,0.000320,-90.859826
310.000000,0.000337,-90.866124
320.000000,0.000354,-90.877470
330.000000,0.000373,-90.886768
340.000000,0.000391,-90.896631
350.000000,0.000412,-90.910417
360.000000,0.000432,-90.924793
370.000000,0.000455,-90.941284
380.000000,0.000478,-90.961979
390.000000,0.000503,-90.982849
400.000000,0.000529,-91.008186
410.000000,0.000557,-91.033244
420.000000,0.000588,-91.066176
430.000000,0.000620,-91.098861
440.000000,0.000655,-91.137381
450.000000,0.000693,-91.178992
460.000000,0.000734,-91.227827
470.000000,0.000780,-91.280426
480.000000,0.000830,-91.342298
490.000000,0.000886,-91.415422
500.000000,0.000948,-91.495615
510.000000,0.001018,-91.583002
520.000000,0.001097,-91.686913
530.000000,0.001189,-91.812405
540.000000,0.001298,-91.965688
550.000000,0.001424,-92.141784
560.000000,0.001578,-92.364033
570.000000,0.001770,-92.651334
580.000000,0.002010,-93.010179
590.000000,0.002331,-93.510765
600.000000,0.002788,-94.262002
610.000000,0.003500,-95.525790
620.000000,0.004829,-98.154313
630.000000,0.008103,-105.662731
640.000000,0.021551,-167.883892
650.000000,0.004949,-238.407063
660.000000,0.001190,-190.190479
670.000000,0.003215,-123.094041
680.000000,0.010475,-136.507581
690.000000,0.014455,-225.215052
700.000000,0.006814,-253.693289
710.000000,0.004400,-260.428073
720.000000,0.003262,-263.230850
730.000000,0.002605,-264.744007
740.000000,0.002145,-265.682244
750.000000,0.001819,-266.324470
760.000000,0.001552,-266.771040
770.000000,0.001341,-267.108447
780.000000,0.001156,-267.347894
790.000000,0.000983,-267.483611
800.000000,0.000809,-267.460123
810.000000,0.000610,-267.007985
820.000000,0.000359,-264.442904
830.000000,0.000146,-117.622405
840.000000,0.001967,-105.202225
850.000000,0.005325,-249.843515
860.000000,0.002095,-264.046733
870.000000,0.001495,-266.216240
880.000000,0.001235,-267.010853
890.000000,0.001078,-267.428443
900.000000,0.000969,-267.684570
910.000000,0.000885,-267.858261
920.000000,0.000818,-267.982694
930.000000,0.000762,-268.075710
940.000000,0.000714,-268.146857
950.000000,0.000671,-268.201484
960.000000,0.000634,-268.251782
970.000000,0.000600,-268.284126
980.000000,0.000569,-268.307642
990.000000,0.000541,-268.333090
1000.000000,0.000514,-268.342738
1010.000000,0.000490,-268.356492
1020.000000,0.000468,-268.365174
1030.000000,0.000446,-268.358203
1040.000000,0.000426,-268.357231
1050.000000,0.000407,-268.351770
1060.000000,0.000388,-268.329338
1070.000000,0.000371,-268.314288
1080.000000,0.000354,-268.294650
1090.000000,0.000339,-268.270106
1100.000000,0.000323,-268.240498
1110.000000,0.000308,-268.205213
1120.000000,0.000294,-268.164377
1130.000000,0.000280,-268.116699
1140.000000,0.000267,-268.062068
1150.000000,0.000254,-267.999404
1160.000000,0.000241,-267.928451
1170.000000,0.000229,-267.846142
1180.000000,0.000217,-267.779736
1190.000000,0.000205,-267.675246
1200.000000,0.000193,-267.555438
1210.000000,0.000182,-267.418359
1220.000000,0.000171,-267.296896
1230.000000,0.000160,-267.115710
1240.000000,0.000150,-266.953125
1250.000000,0.000138,-266.708957
1260.000000,0.000127,-266.417527
1270.000000,0.000117,-266.138367
