#X,Acoustic Pressure across Frequency_At Node 2636,Acoustic Pressure across Frequency_At Node 2636
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-269.376224,0.000173
30.000000,-270.123555,0.000105
40.000000,-268.803785,0.000065
50.000000,-268.642475,0.000037
60.000000,-268.086768,0.000015
70.000000,-97.538239,0.000003
80.000000,-91.556166,0.000018
90.000000,-90.934999,0.000032
100.000000,-91.053016,0.000046
110.000000,-91.112602,0.000058
120.000000,-90.791011,0.000070
130.000000,-90.720362,0.000082
140.000000,-90.607495,0.000093
150.000000,-90.647880,0.000104
160.000000,-90.561349,0.000115
170.000000,-90.628466,0.000126
180.000000,-90.556142,0.000137
190.000000,-90.553627,0.000148
200.000000,-90.512581,0.000159
210.000000,-90.513602,0.000170
220.000000,-90.499165,0.000182
230.000000,-90.483314,0.000193
240.000000,-90.492886,0.000205
250.000000,-90.477312,0.000217
260.000000,-90.479796,0.000229
270.000000,-90.471307,0.000241
280.000000,-90.486861,0.000254
290.000000,-90.486995,0.000267
300.000000,-90.485661,0.000281
310.000000,-90.473433,0.000295
320.000000,-90.484101,0.000309
330.000000,-90.471394,0.000324
340.000000,-90.486500,0.000339
350.000000,-90.489889,0.000355
360.000000,-90.494121,0.000372
370.000000,-90.497783,0.000390
380.000000,-90.496001,0.000408
390.000000,-90.504497,0.000427
400.000000,-90.520518,0.000447
410.000000,-90.525002,0.000468
420.000000,-90.535145,0.000490
430.000000,-90.546194,0.000513
440.000000,-90.559123,0.000538
450.000000,-90.571163,0.000565
460.000000,-90.582565,0.000593
470.000000,-90.611807,0.000623
480.000000,-90.615848,0.000656
490.000000,-90.636217,0.000691
500.000000,-90.678319,0.000729
510.000000,-90.682965,0.000771
520.000000,-90.735473,0.000816
530.000000,-90.746186,0.000867
540.000000,-90.814817,0.000923
550.000000,-90.829902,0.000986
560.000000,-90.913507,0.001057
570.000000,-90.980788,0.001138
580.000000,-91.016079,0.001232
590.000000,-91.085219,0.001343
600.000000,-91.202791,0.001475
610.000000,-91.384265,0.001634
620.000000,-91.525646,0.001841
630.000000,-91.790900,0.002115
640.000000,-91.965028,0.002493
650.000000,-92.706886,0.003070
660.000000,-93.799810,0.004163
670.000000,-97.067435,0.006878
680.000000,-145.384091,0.032856
690.000000,-257.644225,0.005605
700.000000,-254.771097,0.001422
710.000000,-136.311638,0.000353
720.000000,-101.525301,0.001560
730.000000,-100.242211,0.003288
