#X,Acoustic Pressure across Frequency(1)_At Node 2637,Acoustic Pressure across Frequency(1)_At Node 2637
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000182,-271.831713
30.000000,0.000104,-269.895190
40.000000,0.000064,-267.317332
50.000000,0.000038,-269.445580
60.000000,0.000014,-267.621359
70.000000,0.000003,-109.289108
80.000000,0.000019,-94.822320
90.000000,0.000033,-93.085955
100.000000,0.000046,-91.886024
110.000000,0.000059,-91.908940
120.000000,0.000071,-91.410689
130.000000,0.000083,-91.454882
140.000000,0.000094,-91.223260
150.000000,0.000106,-91.220802
160.000000,0.000117,-91.168698
170.000000,0.000128,-91.118913
180.000000,0.000140,-91.077287
190.000000,0.000151,-91.024796
200.000000,0.000163,-91.038525
210.000000,0.000175,-90.990193
220.000000,0.000187,-90.967898
230.000000,0.000199,-90.965574
240.000000,0.000212,-90.935356
250.000000,0.000225,-90.937082
260.000000,0.000238,-90.934066
270.000000,0.000252,-90.925699
280.000000,0.000266,-90.932827
290.000000,0.000281,-90.933360
300.000000,0.000296,-90.926846
310.000000,0.000312,-90.932338
320.000000,0.000328,-90.943238
330.000000,0.000346,-90.951882
340.000000,0.000364,-90.961103
350.000000,0.000383,-90.974440
360.000000,0.000403,-90.988367
370.000000,0.000424,-91.004479
380.000000,0.000446,-91.024956
390.000000,0.000470,-91.045558
400.000000,0.000496,-91.070771
410.000000,0.000522,-91.095610
420.000000,0.000552,-91.128590
430.000000,0.000583,-91.161201
440.000000,0.000617,-91.199777
450.000000,0.000653,-91.241430
460.000000,0.000694,-91.290437
470.000000,0.000738,-91.343168
480.000000,0.000786,-91.405305
490.000000,0.000841,-91.478836
500.000000,0.000902,-91.559381
510.000000,0.000969,-91.647033
520.000000,0.001047,-91.751331
530.000000,0.001137,-91.877360
540.000000,0.001243,-92.031335
550.000000,0.001367,-92.208031
560.000000,0.001518,-92.431072
570.000000,0.001706,-92.719404
580.000000,0.001942,-93.079246
590.000000,0.002258,-93.581245
600.000000,0.002707,-94.334544
610.000000,0.003408,-95.601680
620.000000,0.004717,-98.236409
630.000000,0.007944,-105.757002
640.000000,0.021234,-168.013644
650.000000,0.004919,-238.711874
660.000000,0.001182,-192.610091
670.000000,0.003122,-123.609865
680.000000,0.010271,-136.719012
690.000000,0.014254,-225.365157
700.000000,0.006750,-253.821458
710.000000,0.004377,-260.546788
720.000000,0.003258,-263.345493
730.000000,0.002612,-264.856671
740.000000,0.002161,-265.795698
750.000000,0.001841,-266.439413
760.000000,0.001579,-266.890314
770.000000,0.001372,-267.233010
780.000000,0.001192,-267.481164
790.000000,0.001023,-267.632809
800.000000,0.000852,-267.643109
810.000000,0.000659,-267.290364
820.000000,0.000413,-265.288545
830.000000,0.000091,-136.639159
840.000000,0.001857,-105.723869
850.000000,0.005253,-250.088713
860.000000,0.002107,-264.232880
870.000000,0.001522,-266.382069
880.000000,0.001269,-267.169803
890.000000,0.001117,-267.585645
900.000000,0.001010,-267.842772
910.000000,0.000930,-268.019086
920.000000,0.000865,-268.147340
930.000000,0.000810,-268.245090
940.000000,0.000764,-268.321768
950.000000,0.000723,-268.382713
960.000000,0.000688,-268.438924
970.000000,0.000655,-268.478992
980.000000,0.000625,-268.511073
990.000000,0.000599,-268.544449
1000.000000,0.000573,-268.564370
1010.000000,0.000551,-268.587635
1020.000000,0.000529,-268.606675
1030.000000,0.000508,-268.613097
1040.000000,0.000490,-268.624613
1050.000000,0.000472,-268.632808
1060.000000,0.000454,-268.628083
1070.000000,0.000438,-268.629714
1080.000000,0.000423,-268.628395
1090.000000,0.000408,-268.624077
1100.000000,0.000394,-268.616840
1110.000000,0.000380,-268.606397
1120.000000,0.000367,-268.593145
1130.000000,0.000355,-268.576398
1140.000000,0.000342,-268.556409
1150.000000,0.000330,-268.532782
1160.000000,0.000319,-268.505813
1170.000000,0.000307,-268.473918
1180.000000,0.000297,-268.454883
1190.000000,0.000286,-268.415059
1200.000000,0.000276,-268.370114
1210.000000,0.000265,-268.319965
1220.000000,0.000256,-268.283676
1230.000000,0.000246,-268.220946
1240.000000,0.000236,-268.175304
1250.000000,0.000227,-268.097536
1260.000000,0.000217,-268.009877
1270.000000,0.000208,-267.941198
1280.000000,0.000198,-267.832159
1290.000000,0.000190,-267.743706
1300.000000,0.000180,-267.605039
1310.000000,0.000171,-267.488319
1320.000000,0.000162,-267.310315
1330.000000,0.000153,-267.156286
1340.000000,0.000145,-266.979468
1350.000000,0.000135,-266.705201
1360.000000,0.000126,-266.461253
1370.000000,0.000118,-266.169328
1380.000000,0.000108,-265.718462
1390.000000,0.000099,-265.287622
1400.000000,0.000090,-264.755144
1410.000000,0.000080,-263.891039
1420.000000,0.000070,-262.980627
1430.000000,0.000061,-261.756924
1440.000000,0.000052,-260.044759
1450.000000,0.000042,-257.474491
1460.000000,0.000031,-252.049770
1470.000000,0.000021,-242.640600
1480.000000,0.000013,-219.031691
1490.000000,0.000011,-163.460467
1500.000000,0.000018,-125.928824
1510.000000,0.000029,-112.300428
1520.000000,0.000041,-106.062671
1530.000000,0.000054,-102.540716
1540.000000,0.000068,-100.309444
1550.000000,0.000083,-98.735516
1560.000000,0.000100,-97.558712
1570.000000,0.000118,-96.594228
1580.000000,0.000140,-95.733802
1590.000000,0.000168,-94.857077
1600.000000,0.000210,-93.751486
1610.000000,0.000317,-91.923387
1620.000000,0.000458,-255.107251
1630.000000,0.000094,-110.708185
1640.000000,0.000161,-100.898842
1650.000000,0.000203,-98.882142
1660.000000,0.000238,-98.063161
1670.000000,0.000273,-97.680054
1680.000000,0.000309,-97.526748
1690.000000,0.000348,-97.533011
1700.000000,0.000392,-97.674523
1710.000000,0.000426,-97.657989
1720.000000,0.000479,-98.023868
1730.000000,0.000543,-98.582422
1740.000000,0.000621,-99.386620
1750.000000,0.000718,-100.553044
1760.000000,0.000844,-102.300571
1770.000000,0.000944,-103.406261
1780.000000,0.001157,-107.016495
1790.000000,0.001481,-113.670315
1800.000000,0.001984,-127.749986
1810.000000,0.002347,-141.972807
1820.000000,0.002187,-179.371911
1830.000000,0.001214,-199.161631
1840.000000,0.000675,-184.927939
1850.000000,0.000618,-162.372460
1860.000000,0.000882,-132.868317
1870.000000,0.001487,-126.299896
1880.000000,0.002670,-134.951668
1890.000000,0.004110,-154.594483
1900.000000,0.004702,-208.085850
1910.000000,0.002997,-238.754593
1920.000000,0.002301,-247.678660
1930.000000,0.001678,-254.027290
1940.000000,0.001303,-257.326306
1950.000000,0.001142,-258.833400
1960.000000,0.000943,-260.117287
1970.000000,0.000795,-260.828576
1980.000000,0.000719,-261.224779
1990.000000,0.000611,-261.293433
2000.000000,0.000557,-261.315655


