#X,Acoustic Pressure across Frequency(3)_At Node 2639,Acoustic Pressure across Frequency(3)_At Node 2639
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000190,-269.550884
30.000000,0.000131,-270.309070
40.000000,0.000100,-269.539273
50.000000,0.000080,-269.823658
60.000000,0.000067,-270.165706
70.000000,0.000058,-270.408418
80.000000,0.000052,-270.363566
90.000000,0.000046,-270.426891
100.000000,0.000042,-270.124885
110.000000,0.000039,-269.804663
120.000000,0.000036,-270.122183
130.000000,0.000034,-270.123745
140.000000,0.000032,-270.301909
150.000000,0.000031,-270.074506
160.000000,0.000029,-270.281023
170.000000,0.000028,-269.912661
180.000000,0.000028,-270.141993
190.000000,0.000027,-270.073872
200.000000,0.000026,-270.227038
210.000000,0.000026,-270.164226
220.000000,0.000025,-270.202829
230.000000,0.000025,-270.265829
240.000000,0.000025,-270.168322
250.000000,0.000025,-270.251041
260.000000,0.000025,-270.215076
270.000000,0.000025,-270.265382
280.000000,0.000025,-270.155051
290.000000,0.000025,-270.161366
300.000000,0.000026,-270.188183
310.000000,0.000026,-270.283864
320.000000,0.000027,-270.247466
330.000000,0.000027,-270.344079
340.000000,0.000028,-270.307232
350.000000,0.000029,-270.330311
360.000000,0.000030,-270.354873
370.000000,0.000031,-270.386421
380.000000,0.000032,-270.421984
390.000000,0.000033,-270.440150
400.000000,0.000035,-270.471528
410.000000,0.000037,-270.501020
420.000000,0.000039,-270.530841
430.000000,0.000041,-270.560317
440.000000,0.000044,-270.599560
450.000000,0.000047,-270.627863
460.000000,0.000050,-270.645229
470.000000,0.000054,-270.752648
480.000000,0.000059,-270.712605
490.000000,0.000064,-270.755119
500.000000,0.000070,-270.926879
510.000000,0.000077,-270.846565
520.000000,0.000086,-271.059889
530.000000,0.000096,-270.986240
540.000000,0.000109,-271.260991
550.000000,0.000124,-271.175560
560.000000,0.000142,-271.477462
570.000000,0.000166,-271.639408
580.000000,0.000195,-271.588223
590.000000,0.000235,-271.679555
600.000000,0.000286,-271.949542
610.000000,0.000354,-272.411748
620.000000,0.000455,-272.586485
630.000000,0.000607,-273.070914
640.000000,0.000842,-273.122360
650.000000,0.001249,-274.432741
660.000000,0.002134,-275.807871
670.000000,0.004599,-279.633452
680.000000,0.031306,-329.213565
690.000000,0.008568,-82.868147
700.000000,0.005005,-87.935032
710.000000,0.004267,-90.561608
720.000000,0.004405,-92.638287
730.000000,0.005405,-95.485541
740.000000,0.008739,-101.941172
750.000000,0.029595,-147.780041
760.000000,0.010441,-250.521962
770.000000,0.004785,-260.615453
780.000000,0.003092,-263.786029
790.000000,0.002326,-265.399477
