#X,Acoustic Pressure across Frequency_At Node 3330,Acoustic Pressure across Frequency_At Node 3330
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-208.213798,0.000366
21.000000,-210.135630,0.000361
22.000000,-212.155221,0.000354
23.000000,-214.283697,0.000346
24.000000,-216.533364,0.000338
25.000000,-218.917747,0.000328
26.000000,-221.451635,0.000317
27.000000,-224.150997,0.000305
28.000000,-227.032829,0.000291
29.000000,-230.114808,0.000276
30.000000,-233.414710,0.000258
31.000000,-236.949559,0.000238
32.000000,-240.734327,0.000216
33.000000,-244.780247,0.000191
34.000000,-249.092641,0.000163
35.000000,-253.668473,0.000133
36.000000,-258.493859,0.000100
37.000000,-263.542032,0.000064
38.000000,-268.772475,0.000027
39.000000,-94.130582,0.000012
40.000000,-99.554343,0.000051
41.000000,-104.972841,0.000090
42.000000,-110.317065,0.000128
43.000000,-115.523691,0.000164
44.000000,-120.539896,0.000197
45.000000,-125.326030,0.000227
46.000000,-129.856251,0.000255
47.000000,-134.117469,0.000280
48.000000,-138.107263,0.000302
49.000000,-141.831385,0.000321
50.000000,-145.301315,0.000337
51.000000,-148.532132,0.000352
52.000000,-151.540838,0.000365
53.000000,-154.345116,0.000376
54.000000,-156.962479,0.000386
55.000000,-159.409708,0.000394
56.000000,-161.702544,0.000402
57.000000,-163.855508,0.000408
58.000000,-165.881857,0.000414
59.000000,-167.793605,0.000419
60.000000,-169.601574,0.000423


