#X,Acoustic Velocity across Frequency_At Node 3330,Acoustic Velocity across Frequency_At Node 3330
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,987.909877,-180.382361
21.000000,987.611305,-180.391960
22.000000,987.294902,-180.399232
23.000000,986.962679,-180.403776
24.000000,986.617804,-180.405137
25.000000,986.265279,-180.402807
26.000000,985.912675,-180.396236
27.000000,985.570390,-180.384855
28.000000,985.252940,-180.368119
29.000000,984.979342,-180.345579
30.000000,984.773737,-180.316980
31.000000,984.665342,-180.282404
32.000000,984.687037,-180.242434
33.000000,984.872965,-180.198321
34.000000,985.254082,-180.152097
35.000000,985.851559,-180.106571
36.000000,986.671048,-180.065129
37.000000,987.697230,-180.031326
38.000000,988.892833,-180.008332
39.000000,990.202759,-179.998394
40.000000,991.562684,-180.002472
41.000000,992.908753,-180.020190
42.000000,994.187208,-180.050071
43.000000,995.358892,-180.089942
44.000000,996.401118,-180.137370
45.000000,997.305167,-180.190007
46.000000,998.073272,-180.245807
47.000000,998.714843,-180.303120
48.000000,999.242885,-180.360703
49.000000,999.672191,-180.417667
50.000000,1000.017109,-180.473424
51.000000,1000.291067,-180.527607
52.000000,1000.506039,-180.580020
53.000000,1000.672359,-180.630584
54.000000,1000.798854,-180.679301
55.000000,1000.892715,-180.726222
56.000000,1000.960111,-180.771434
57.000000,1001.006062,-180.815039
58.000000,1001.034683,-180.857147
59.000000,1001.049305,-180.897870
60.000000,1001.052713,-180.937317


