#X,Acoustic Velocity across Frequency_At Node 3330,Acoustic Velocity across Frequency_At Node 3330
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-28.337613,888.912431
21.000000,-30.264500,874.431365
22.000000,-32.288832,858.168190
23.000000,-34.421673,839.880130
24.000000,-36.675245,819.287351
25.000000,-39.062979,796.068552
26.000000,-41.599529,769.857311
27.000000,-44.300690,740.239875
28.000000,-47.183219,706.755319
29.000000,-50.264453,668.900467
30.000000,-53.561690,626.141152
31.000000,-57.091200,577.934486
32.000000,-60.866775,523.764010
33.000000,-64.897628,463.192713
34.000000,-69.185353,395.933846
35.000000,-73.719128,321.937914
36.000000,-78.465710,241.485576
37.000000,-83.333125,155.268303
38.000000,-87.836862,64.434420
39.000000,-277.177141,29.508327
40.000000,-280.522458,124.529038
41.000000,-285.666578,218.673482
42.000000,-290.906300,309.932662
43.000000,-296.060064,396.580230
44.000000,-301.045854,477.300203
45.000000,-305.813325,551.250110
46.000000,-310.331788,618.045581
47.000000,-314.585636,677.689414
48.000000,-318.571020,730.473310
49.000000,-322.292816,776.877988
50.000000,-325.761928,817.486855
51.000000,-328.993059,852.920309
52.000000,-332.002936,883.790209
53.000000,-334.809057,910.672279
54.000000,-337.428786,934.090547
55.000000,-339.878798,954.512089
56.000000,-342.174749,972.346613
57.000000,-344.331095,987.949693
58.000000,-346.361048,1001.627735
59.000000,-348.276572,1013.643514
60.000000,-350.088460,1024.221716


