#X,Acoustic Velocity across Frequency(1)_At Node 3331,Acoustic Velocity across Frequency(1)_At Node 3331
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-204.257227,908.771947
21.000000,-206.114981,896.551602
22.000000,-208.099534,882.499036
23.000000,-210.226044,866.309355
24.000000,-212.511252,847.624564
25.000000,-214.973439,826.027586
26.000000,-217.632304,801.037194
27.000000,-220.508633,772.106889
28.000000,-223.623683,738.629806
29.000000,-226.998189,699.954094
30.000000,-230.650878,655.413614
31.000000,-234.596432,604.380097
32.000000,-238.842905,546.340765
33.000000,-243.388875,481.001531
34.000000,-248.221005,408.407051
35.000000,-253.313587,329.055292
36.000000,-258.634532,243.972892
37.000000,-264.178782,154.712645
38.000000,-270.283170,63.251501
39.000000,-91.935392,28.274924
40.000000,-99.175028,117.599951
41.000000,-104.531390,202.928870
42.000000,-109.491101,282.812837
43.000000,-114.127270,356.332222
44.000000,-118.445993,423.057293
45.000000,-122.450376,482.962595
46.000000,-126.149226,536.316759
47.000000,-129.557077,583.575561
48.000000,-132.692464,625.293028
49.000000,-135.576073,662.056404
50.000000,-138.229279,694.442521
51.000000,-140.673105,722.992073
52.000000,-142.927563,748.196350
53.000000,-145.011257,770.492478
54.000000,-146.941227,790.264121
55.000000,-148.732896,807.844678
56.000000,-150.400127,823.521893
57.000000,-151.955315,837.543570
58.000000,-153.409506,850.122380
59.000000,-154.772521,861.440792
60.000000,-156.053095,871.655504


