#X,Acoustic Velocity across Frequency(1)_At Node 3331,Acoustic Velocity across Frequency(1)_At Node 3331
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,956.189722,-4.503434
21.000000,953.213999,-4.588706
22.000000,950.149592,-4.643390
23.000000,947.035960,-4.663175
24.000000,943.927674,-4.643329
25.000000,940.899098,-4.578772
26.000000,938.049385,-4.464252
27.000000,935.508670,-4.294639
28.000000,933.444308,-4.065430
29.000000,932.066947,-3.773476
30.000000,931.634454,-3.418041
31.000000,932.451370,-3.002168
32.000000,934.860951,-2.534295
33.000000,939.224517,-2.029903
34.000000,945.886055,-1.512735
35.000000,955.119584,-1.014970
36.000000,967.064371,-0.575642
37.000000,981.660736,-0.236916
38.000000,998.604595,-0.038472
39.000000,1017.343647,-0.011182
40.000000,1037.126247,-0.171855
41.000000,1057.096516,-0.520740
42.000000,1076.415471,-1.042478
43.000000,1094.369432,-1.709988
44.000000,1110.442714,-2.489818
45.000000,1124.341711,-3.347362
46.000000,1135.976034,-4.250841
47.000000,1145.415064,-5.173626
48.000000,1152.834524,-6.095079
49.000000,1158.468650,-7.000340
50.000000,1162.572003,-7.879532
51.000000,1165.394279,-8.726745
52.000000,1167.164749,-9.539044
53.000000,1168.085036,-10.315604
54.000000,1168.327640,-11.057014
55.000000,1168.036122,-11.764764
56.000000,1167.328753,-12.440861
57.000000,1166.301248,-13.087569
58.000000,1165.030697,-13.707228
59.000000,1163.578561,-14.302152
60.000000,1161.993578,-14.874547


