#X,Acoustic Pressure across Frequency(2)_At Node 921,Acoustic Pressure across Frequency(2)_At Node 921
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000348,-206.934727
30.000000,0.000297,-216.389891
40.000000,0.000249,-223.142226
50.000000,0.000207,-227.709570
60.000000,0.000171,-230.533019
70.000000,0.000140,-231.873273
80.000000,0.000114,-231.789836
90.000000,0.000091,-230.102952
100.000000,0.000071,-226.276179
110.000000,0.000054,-219.139894
120.000000,0.000041,-206.438817
130.000000,0.000032,-185.336077
140.000000,0.000031,-158.256607
150.000000,0.000036,-135.600933
160.000000,0.000045,-121.275119
170.000000,0.000056,-112.643367
180.000000,0.000067,-107.213258
190.000000,0.000079,-103.602396
200.000000,0.000091,-101.082284
210.000000,0.000102,-99.253169
220.000000,0.000114,-97.883259
230.000000,0.000126,-96.831000
240.000000,0.000138,-96.005967
250.000000,0.000150,-95.348147
260.000000,0.000162,-94.816402
270.000000,0.000174,-94.381746
280.000000,0.000186,-94.023270
290.000000,0.000198,-93.725591
300.000000,0.000211,-93.477197
310.000000,0.000224,-93.269350
320.000000,0.000237,-93.095335
330.000000,0.000251,-92.949954
340.000000,0.000265,-92.829149
350.000000,0.000279,-92.729748
360.000000,0.000294,-92.649274
370.000000,0.000309,-92.585806
380.000000,0.000325,-92.537883
390.000000,0.000341,-92.504424
400.000000,0.000358,-92.484682
410.000000,0.000376,-92.478209
420.000000,0.000395,-92.484831
430.000000,0.000414,-92.504644
440.000000,0.000435,-92.538013
450.000000,0.000457,-92.585591
460.000000,0.000480,-92.648345
470.000000,0.000505,-92.727599
480.000000,0.000531,-92.825093
490.000000,0.000559,-92.943070
500.000000,0.000590,-93.084393
510.000000,0.000623,-93.252695
520.000000,0.000658,-93.452599
530.000000,0.000698,-93.690010
540.000000,0.000741,-93.972523
550.000000,0.000789,-94.309998
560.000000,0.000843,-94.715393
570.000000,0.000904,-95.205969
580.000000,0.000973,-95.805102
590.000000,0.001054,-96.545043
600.000000,0.001148,-97.471280
610.000000,0.001260,-98.649579
620.000000,0.001396,-100.177823
630.000000,0.001564,-102.206530
640.000000,0.001776,-104.975799
650.000000,0.002051,-108.883444
660.000000,0.002413,-114.609718
670.000000,0.002882,-123.315204
680.000000,0.003427,-136.735146
690.000000,0.003814,-156.054038
700.000000,0.003655,-178.239189
710.000000,0.003027,-196.672446
720.000000,0.002359,-208.738621
730.000000,0.001830,-215.706811
740.000000,0.001436,-219.167315
750.000000,0.001143,-220.063066
760.000000,0.000921,-218.789952
770.000000,0.000749,-215.363760
780.000000,0.000617,-209.532436
790.000000,0.000521,-200.929469
800.000000,0.000458,-189.446608
810.000000,0.000431,-175.862610
820.000000,0.000439,-162.046645
830.000000,0.000480,-149.939872
840.000000,0.000547,-140.425462
850.000000,0.000638,-133.402539
860.000000,0.000750,-128.403645
870.000000,0.000887,-124.974943
880.000000,0.001052,-122.791414
890.000000,0.001256,-121.666878
900.000000,0.001513,-121.548263
910.000000,0.001848,-122.530682
920.000000,0.002304,-124.921151
930.000000,0.002950,-129.404763
940.000000,0.003904,-137.433758
950.000000,0.005276,-151.931797
960.000000,0.006664,-176.571524
970.000000,0.006600,-206.652608
980.000000,0.005310,-229.024145
990.000000,0.004127,-242.069561
1000.000000,0.003302,-249.698949
1010.000000,0.002733,-254.465865
1020.000000,0.002328,-257.640150
1030.000000,0.002027,-259.864868
1040.000000,0.001795,-261.487718
1050.000000,0.001611,-262.709378
1060.000000,0.001462,-263.652386
1070.000000,0.001338,-264.395180
1080.000000,0.001233,-264.989974
1090.000000,0.001143,-265.472687
1100.000000,0.001066,-265.868722
1110.000000,0.000997,-266.196467
1120.000000,0.000937,-266.469505
1130.000000,0.000883,-266.698036
1140.000000,0.000834,-266.889829
1150.000000,0.000790,-267.050874
1160.000000,0.000749,-267.185827
1170.000000,0.000712,-267.298334
1180.000000,0.000678,-267.391255
1190.000000,0.000647,-267.466835
1200.000000,0.000617,-267.526824
1210.000000,0.000590,-267.572562
1220.000000,0.000564,-267.605054
1230.000000,0.000539,-267.625006
1240.000000,0.000516,-267.632863
1250.000000,0.000495,-267.628828
1260.000000,0.000474,-267.612874
1270.000000,0.000454,-267.584741
1280.000000,0.000435,-267.543926
1290.000000,0.000417,-267.489671
1300.000000,0.000400,-267.420922
1310.000000,0.000383,-267.336296
1320.000000,0.000367,-267.234013
1330.000000,0.000351,-267.111818
1340.000000,0.000336,-266.966874
1350.000000,0.000321,-266.795617
1360.000000,0.000306,-266.593565
1370.000000,0.000292,-266.355056
1380.000000,0.000278,-266.072901
1390.000000,0.000265,-265.737905
1400.000000,0.000251,-265.338211
1410.000000,0.000238,-264.858392
1420.000000,0.000224,-264.278171
1430.000000,0.000211,-263.570643
1440.000000,0.000198,-262.699755
1450.000000,0.000185,-261.616776
1460.000000,0.000172,-260.255349
1470.000000,0.000159,-258.524605
1480.000000,0.000146,-256.299340
1490.000000,0.000133,-253.404750
1500.000000,0.000120,-249.588272
1510.000000,0.000108,-244.461136
1520.000000,0.000097,-237.393117
1530.000000,0.000087,-227.442781
1540.000000,0.000082,-213.783863
1550.000000,0.000084,-197.339085
1560.000000,0.000097,-181.863798
1570.000000,0.000122,-170.904501
1580.000000,0.000159,-165.248709
1590.000000,0.000207,-164.309441
1600.000000,0.000266,-167.566275
1610.000000,0.000331,-174.767603
1620.000000,0.000391,-185.433697
1630.000000,0.000427,-198.167209
1640.000000,0.000431,-210.768601
1650.000000,0.000408,-221.481035
1660.000000,0.000374,-229.756772
1670.000000,0.000338,-235.866867
1680.000000,0.000305,-240.317083
1690.000000,0.000276,-243.576972
1700.000000,0.000251,-246.023400
1710.000000,0.000229,-247.948639
1720.000000,0.000209,-249.563980
1730.000000,0.000191,-250.988528
1740.000000,0.000174,-252.249052
1750.000000,0.000157,-253.312140
1760.000000,0.000141,-254.130612
1770.000000,0.000126,-254.670914
1780.000000,0.000112,-254.912875
1790.000000,0.000099,-254.833868
1800.000000,0.000085,-254.388806
1810.000000,0.000073,-253.487251
1820.000000,0.000061,-251.955948
1830.000000,0.000050,-249.456433
1840.000000,0.000039,-245.276626
1850.000000,0.000028,-237.731831
1860.000000,0.000019,-222.292506
1870.000000,0.000014,-188.869322
1880.000000,0.000016,-146.195328
1890.000000,0.000023,-122.684523
1900.000000,0.000032,-111.788719
1910.000000,0.000042,-105.995676
1920.000000,0.000052,-102.507043
1930.000000,0.000063,-100.215473
1940.000000,0.000074,-98.615989
