#X,Acoustic Pressure across Frequency(6)_At Node 924,Acoustic Pressure across Frequency(6)_At Node 924
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000234,-237.323766
30.000000,0.000172,-248.360623
40.000000,0.000135,-255.149969
50.000000,0.000111,-259.858827
60.000000,0.000094,-263.424726
70.000000,0.000081,-266.302665
80.000000,0.000072,-268.736661
90.000000,0.000064,-270.868351
100.000000,0.000059,-272.785233
110.000000,0.000054,-274.544128
120.000000,0.000050,-276.183474
130.000000,0.000047,-277.730178
140.000000,0.000044,-279.203634
150.000000,0.000041,-280.618181
160.000000,0.000039,-281.984661
170.000000,0.000038,-283.311440
180.000000,0.000036,-284.605092
190.000000,0.000035,-285.870879
200.000000,0.000034,-287.113061
210.000000,0.000033,-288.335158
220.000000,0.000032,-289.540109
230.000000,0.000031,-290.730394
240.000000,0.000030,-291.908149
250.000000,0.000030,-293.075218
260.000000,0.000029,-294.233216
270.000000,0.000029,-295.383578
280.000000,0.000029,-296.527582
290.000000,0.000029,-297.666382
300.000000,0.000029,-298.801029
310.000000,0.000028,-299.932492
320.000000,0.000028,-301.061646
330.000000,0.000029,-302.189329
340.000000,0.000029,-303.316315
350.000000,0.000029,-304.443328
360.000000,0.000029,-305.571061
370.000000,0.000029,-306.700177
380.000000,0.000030,-307.831301
390.000000,0.000030,-308.965061
400.000000,0.000031,-310.102037
410.000000,0.000032,-311.242824
420.000000,0.000032,-312.388010
430.000000,0.000033,-313.538172
440.000000,0.000034,-314.693905
450.000000,0.000035,-315.855823
460.000000,0.000036,-317.024569
470.000000,0.000038,-318.200815
480.000000,0.000039,-319.385296
490.000000,0.000041,-320.578807
500.000000,0.000042,-321.782260
510.000000,0.000044,-322.996648
520.000000,0.000047,-324.223149
530.000000,0.000049,-325.463125
540.000000,0.000052,-326.718194
550.000000,0.000056,-327.990304
560.000000,0.000059,-329.281821
570.000000,0.000064,-330.595677
580.000000,0.000069,-331.935544
590.000000,0.000075,-333.306084
600.000000,0.000081,-334.713313
610.000000,0.000089,-336.165131
620.000000,0.000099,-337.672124
630.000000,0.000111,-339.248764
640.000000,0.000125,-340.915381
650.000000,0.000143,-342.701420
660.000000,0.000165,-344.651145
670.000000,0.000195,-346.834175
680.000000,0.000236,-349.366500
690.000000,0.000294,-352.456169
700.000000,0.000381,-356.514850
710.000000,0.000526,-2.475078
720.000000,0.000798,-12.890544
730.000000,0.001365,-36.426629
740.000000,0.001815,-89.282370
750.000000,0.001222,-129.686816
760.000000,0.000831,-145.882690
770.000000,0.000637,-153.966773
780.000000,0.000530,-159.039367
790.000000,0.000466,-162.734476
800.000000,0.000426,-165.708149
810.000000,0.000404,-168.275412
820.000000,0.000393,-170.612189
830.000000,0.000393,-172.833468
840.000000,0.000403,-175.030766
850.000000,0.000425,-177.297154
860.000000,0.000464,-179.755271
870.000000,0.000528,-182.608686
880.000000,0.000637,-186.272574
890.000000,0.000842,-191.810035
900.000000,0.001315,-203.008387
910.000000,0.002668,-242.018865
920.000000,0.001881,-320.140114
930.000000,0.000911,-342.851520
940.000000,0.000567,-350.977721
950.000000,0.000401,-355.458919
960.000000,0.000305,-358.538963
970.000000,0.000243,-0.936654
980.000000,0.000201,-2.950413
990.000000,0.000170,-4.726160
1000.000000,0.000146,-6.343773
1010.000000,0.000128,-7.850770
1020.000000,0.000113,-9.277277
1030.000000,0.000101,-10.643401
1040.000000,0.000091,-11.963133
1050.000000,0.000083,-13.246555
1060.000000,0.000076,-14.501150
1070.000000,0.000071,-15.732622
1080.000000,0.000065,-16.945412
1090.000000,0.000061,-18.143053
1100.000000,0.000057,-19.328400
1110.000000,0.000054,-20.503800
1120.000000,0.000051,-21.671204
1130.000000,0.000048,-22.832252
1140.000000,0.000046,-23.988349
1150.000000,0.000044,-25.140694
1160.000000,0.000042,-26.290328
1170.000000,0.000041,-27.438163
1180.000000,0.000039,-28.584988
1190.000000,0.000038,-29.731511
1200.000000,0.000037,-30.878365
1210.000000,0.000036,-32.026102
1220.000000,0.000035,-33.175224
1230.000000,0.000034,-34.326199
1240.000000,0.000033,-35.479467
1250.000000,0.000033,-36.635515
1260.000000,0.000032,-37.796360
1270.000000,0.000032,-38.956521
1280.000000,0.000032,-40.121976
1290.000000,0.000031,-41.291840
1300.000000,0.000031,-42.466074
1310.000000,0.000031,-43.645024
1320.000000,0.000031,-44.829075
1330.000000,0.000031,-46.018637
1340.000000,0.000031,-47.214192
1350.000000,0.000031,-48.416276
1360.000000,0.000031,-49.625515
1370.000000,0.000032,-50.842635
1380.000000,0.000032,-52.068504
1390.000000,0.000033,-53.304152
1400.000000,0.000033,-54.550804
1410.000000,0.000034,-55.809946
1420.000000,0.000035,-57.083377
1430.000000,0.000036,-58.373300
1440.000000,0.000037,-59.682405
1450.000000,0.000038,-61.014045
1460.000000,0.000040,-62.372382
1470.000000,0.000041,-63.762674
1480.000000,0.000043,-65.191636
1490.000000,0.000046,-66.667933
1500.000000,0.000049,-68.203033
1510.000000,0.000052,-69.814937
1520.000000,0.000056,-71.510576
1530.000000,0.000061,-73.337879
1540.000000,0.000066,-75.327976
1550.000000,0.000074,-77.543120
1560.000000,0.000083,-80.078191
1570.000000,0.000096,-83.087608
1580.000000,0.000113,-86.839421
1590.000000,0.000138,-91.837337
1600.000000,0.000176,-99.124711
1610.000000,0.000238,-111.097914
1620.000000,0.000331,-133.250663
1630.000000,0.000385,-170.243145
1640.000000,0.000305,-204.194697
1650.000000,0.000217,-223.170792
1660.000000,0.000162,-233.652075
1670.000000,0.000127,-240.225503
1680.000000,0.000105,-244.836610
1690.000000,0.000089,-248.352282
1700.000000,0.000077,-251.201726
1710.000000,0.000068,-253.618244
1720.000000,0.000061,-255.738557
1730.000000,0.000055,-257.647804
1740.000000,0.000051,-259.401659
1750.000000,0.000047,-261.038049
1760.000000,0.000044,-262.583696
1770.000000,0.000041,-264.057994
1780.000000,0.000039,-265.475364
1790.000000,0.000037,-266.846777
1800.000000,0.000035,-268.180736
1810.000000,0.000033,-269.483949
1820.000000,0.000032,-270.761791
1830.000000,0.000031,-272.018628
1840.000000,0.000030,-273.258050
1850.000000,0.000029,-274.483048
1860.000000,0.000028,-275.696134
1870.000000,0.000027,-276.899443
1880.000000,0.000027,-278.094798
1890.000000,0.000026,-279.283778
1900.000000,0.000026,-280.467750
1910.000000,0.000025,-281.647913
1920.000000,0.000025,-282.825317
1930.000000,0.000025,-284.000891
1940.000000,0.000025,-285.175461
1950.000000,0.000024,-286.349764
1960.000000,0.000024,-287.524455
1970.000000,0.000024,-288.700133
1980.000000,0.000024,-289.877330
1990.000000,0.000024,-291.056538
2000.000000,0.000024,-292.238200


