#X,Acoustic Pressure across Frequency(2)_At Node 1421,Acoustic Pressure across Frequency(2)_At Node 1421
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-248.011270,1.626920E-04
30.000000,-258.173687,1.155023E-04
40.000000,-264.625782,8.921996E-05
50.000000,-269.413899,7.285430E-05
60.000000,-273.324009,6.183417E-05
70.000000,-276.715743,5.399924E-05
80.000000,-279.775908,4.821240E-05
90.000000,-282.611124,4.382346E-05
100.000000,-285.286820,4.043635E-05
110.000000,-287.845529,3.779801E-05
120.000000,-290.316237,3.574101E-05
130.000000,-292.719536,3.415212E-05
140.000000,-295.070593,3.295427E-05
150.000000,-297.381011,3.209590E-05
160.000000,-299.660007,3.154466E-05
170.000000,-301.915212,3.128387E-05
180.000000,-304.153300,3.131111E-05
190.000000,-306.380427,3.163838E-05
200.000000,-308.602717,3.229431E-05
210.000000,-310.826723,3.332872E-05
220.000000,-313.060106,3.482110E-05
230.000000,-315.312588,3.689576E-05
240.000000,-317.597614,3.974951E-05
250.000000,-319.935449,4.370513E-05
260.000000,-322.359487,4.932255E-05
270.000000,-324.930837,5.765558E-05
280.000000,-327.777111,7.093674E-05
290.000000,-331.220997,9.483755E-05
300.000000,-336.389351,1.490911E-04
310.000000,-351.617688,3.740540E-04
320.000000,-125.176560,4.616987E-04
330.000000,-145.768524,1.499759E-04
340.000000,-151.444796,8.675942E-05
350.000000,-155.036537,6.024082E-05
360.000000,-157.949638,4.577400E-05
370.000000,-160.559896,3.672820E-05
380.000000,-163.010150,3.058035E-05
390.000000,-165.366535,2.616291E-05
400.000000,-167.663848,2.286239E-05
410.000000,-169.922103,2.032638E-05
420.000000,-172.153573,1.833884E-05
430.000000,-174.366147,1.676080E-05
440.000000,-176.565073,1.549982E-05
450.000000,-178.753915,1.449322E-05
460.000000,-180.935125,1.369853E-05
470.000000,-183.110391,1.308804E-05
480.000000,-185.280858,1.264592E-05
490.000000,-187.447284,1.236723E-05
500.000000,-189.610137,1.225891E-05
510.000000,-191.769675,1.234330E-05
520.000000,-193.926005,1.266633E-05
530.000000,-196.079133,1.331536E-05
540.000000,-198.229002,1.446071E-05
550.000000,-200.375590,1.646550E-05
560.000000,-202.519055,2.024053E-05
570.000000,-204.660453,2.885390E-05
580.000000,-206.808332,6.297890E-05
590.000000,-28.854582,1.305823E-04
600.000000,-31.022460,2.715619E-05
610.000000,-33.146890,1.376002E-05
620.000000,-35.262534,8.584169E-06
630.000000,-37.371685,5.887211E-06
640.000000,-39.474840,4.260227E-06
650.000000,-41.572150,3.189260E-06
660.000000,-43.663715,2.442411E-06
670.000000,-45.749609,1.899895E-06
680.000000,-47.829957,1.493732E-06
690.000000,-49.904923,1.182571E-06
700.000000,-51.974705,9.398773E-07
710.000000,-54.039557,7.478933E-07
720.000000,-56.099779,5.943226E-07
730.000000,-58.155703,4.704090E-07
740.000000,-60.207726,3.697699E-07
750.000000,-62.256264,2.876621E-07
760.000000,-64.301778,2.205021E-07
770.000000,-66.344764,1.655464E-07
780.000000,-68.385741,1.206714E-07
790.000000,-70.425257,8.422025E-08
800.000000,-72.463879,5.489320E-08
810.000000,-74.502193,3.166976E-08
820.000000,-76.540806,1.375187E-08
830.000000,-78.580970,5.233737E-10
840.000000,-260.621230,8.478282E-09
850.000000,-262.664377,1.358021E-08
860.000000,-264.710258,1.498280E-08
870.000000,-266.759509,1.275808E-08
880.000000,-268.812754,6.834300E-09
890.000000,-90.870624,3.041946E-09
900.000000,-92.933788,1.738701E-08
910.000000,-95.002933,3.715963E-08
920.000000,-97.078862,6.420434E-08
930.000000,-99.162638,1.025775E-07
940.000000,-101.256220,1.639778E-07
950.000000,-103.367335,3.099032E-07
960.000000,-285.235456,1.759634E-06
970.000000,-107.549885,1.748054E-08
980.000000,-109.690171,1.659842E-07
990.000000,-111.844518,3.671932E-07
1000.000000,-114.004440,4.001768E-07
1010.000000,-116.194020,5.662311E-07
1020.000000,-118.419084,8.006491E-07
1030.000000,-120.704242,1.168541E-06
1040.000000,-123.113545,1.836766E-06
1050.000000,-125.886794,3.429981E-06
1060.000000,-131.387717,1.209941E-05
1070.000000,-304.791550,1.077040E-05
1080.000000,-309.521641,4.160435E-06
1090.000000,-312.271586,2.735494E-06
1100.000000,-314.723680,2.118719E-06
1110.000000,-317.083104,1.778345E-06
1120.000000,-319.408326,1.565844E-06
1130.000000,-321.723392,1.423513E-06
1140.000000,-324.041092,1.324379E-06
1150.000000,-326.369997,1.254276E-06
1160.000000,-328.717186,1.205191E-06
1170.000000,-331.089661,1.172419E-06
1180.000000,-333.495253,1.153215E-06
1190.000000,-335.943442,1.146124E-06
1200.000000,-338.446358,1.150666E-06
1210.000000,-341.020096,1.167213E-06
1220.000000,-343.686742,1.197040E-06
1230.000000,-346.477582,1.242536E-06
1240.000000,-349.438511,1.307657E-06
1250.000000,-352.639665,1.398794E-06
1260.000000,-356.193687,1.526423E-06
1270.000000,-0.292965,1.708422E-06
1280.000000,-5.292972,1.977162E-06
1290.000000,-11.920970,2.395757E-06
1300.000000,-21.871447,3.095721E-06
1310.000000,-39.643859,4.322080E-06
1320.000000,-75.085816,5.797428E-06
1330.000000,-119.622779,4.933709E-06
1340.000000,-145.401606,3.245118E-06
1350.000000,-158.595921,2.251778E-06
1360.000000,-166.642451,1.688014E-06
1370.000000,-172.349458,1.341874E-06
1380.000000,-176.834946,1.114668E-06
1390.000000,-180.610928,9.584692E-07
1400.000000,-183.941005,8.479640E-07
1410.000000,-186.973744,7.687570E-07
1420.000000,-189.798993,7.121665E-07
1430.000000,-192.474229,6.727214E-07
1440.000000,-195.037917,6.468682E-07
1450.000000,-197.516805,6.322625E-07
1460.000000,-199.930076,6.273641E-07
1470.000000,-202.291869,6.311957E-07
1480.000000,-204.612847,6.431979E-07
1490.000000,-206.901209,6.631429E-07
1500.000000,-209.163375,6.910866E-07
1510.000000,-211.404431,7.273481E-07
1520.000000,-213.628478,7.725125E-07
1530.000000,-215.838850,8.274555E-07
1540.000000,-218.038286,8.933937E-07
1550.000000,-220.229066,9.719676E-07
1560.000000,-222.413115,1.065377E-06
1570.000000,-224.592095,1.176598E-06
1580.000000,-226.767501,1.309763E-06
1590.000000,-228.940790,1.470864E-06
1600.000000,-231.113597,1.669239E-06
1610.000000,-233.288274,1.921336E-06
1620.000000,-235.469651,2.263202E-06
1630.000000,-237.673723,2.808488E-06
1640.000000,-240.049213,4.596721E-06
1650.000000,-241.648815,1.065573E-06
1660.000000,-243.992575,2.730458E-06
1670.000000,-246.225871,3.390538E-06
1680.000000,-247.907916,8.852825E-06
1690.000000,-250.496076,7.032689E-06
1700.000000,-252.699862,9.109277E-06
1710.000000,-254.893393,1.080018E-05
1720.000000,-257.106119,1.846202E-05
1730.000000,-259.340682,3.230550E-05
1740.000000,-261.646282,8.054106E-05
1750.000000,-82.954821,9.601738E-04
1760.000000,-86.381933,1.219734E-04
1770.000000,-90.712867,1.593060E-04
1780.000000,-266.409090,8.456369E-05
1790.000000,-270.729432,1.445763E-05
1800.000000,-273.314458,3.277385E-06
1810.000000,-95.651502,5.109304E-07
1820.000000,-97.906319,2.183145E-06
1830.000000,-100.124562,3.038621E-06
1840.000000,-102.324148,3.524278E-06
1850.000000,-104.513780,3.825726E-06
1860.000000,-106.698390,4.030228E-06
1870.000000,-108.881156,4.182647E-06
1880.000000,-111.064367,4.307705E-06
1890.000000,-113.249834,4.419834E-06
1900.000000,-115.439113,4.527916E-06
1910.000000,-117.633617,4.637722E-06
1920.000000,-119.834702,4.753227E-06
1930.000000,-122.043688,4.877364E-06
1940.000000,-124.261913,5.012470E-06
1950.000000,-126.490737,5.160566E-06
1960.000000,-128.731569,5.323540E-06
1970.000000,-130.985876,5.503279E-06
1980.000000,-133.255184,5.701767E-06
1990.000000,-135.541092,5.921174E-06
2000.000000,-137.845313,6.163933E-06


