#X,Acoustic Pressure across Frequency_At Node 586,Acoustic Pressure across Frequency_At Node 586
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000144,-242.802655
30.000000,0.000083,-247.277843
40.000000,0.000045,-245.469915
50.000000,0.000019,-228.803231
60.000000,0.000012,-135.885959
70.000000,0.000029,-102.944015
80.000000,0.000046,-96.203115
90.000000,0.000062,-93.642685
100.000000,0.000078,-92.380944
110.000000,0.000093,-91.665465
120.000000,0.000108,-91.221922
130.000000,0.000123,-90.929254
140.000000,0.000137,-90.726937
150.000000,0.000152,-90.581906
160.000000,0.000167,-90.474855
170.000000,0.000182,-90.393906
180.000000,0.000197,-90.331437
190.000000,0.000213,-90.282386
200.000000,0.000229,-90.243287
210.000000,0.000246,-90.211710
220.000000,0.000263,-90.185912
230.000000,0.000280,-90.164620
240.000000,0.000299,-90.146886
250.000000,0.000318,-90.131997
260.000000,0.000337,-90.119406
270.000000,0.000358,-90.108691
280.000000,0.000380,-90.099522
290.000000,0.000403,-90.091637
300.000000,0.000428,-90.084830
310.000000,0.000454,-90.078933
320.000000,0.000481,-90.073812
330.000000,0.000511,-90.069359
340.000000,0.000543,-90.065485
350.000000,0.000577,-90.062117
360.000000,0.000614,-90.059199
370.000000,0.000655,-90.056683
380.000000,0.000699,-90.054533
390.000000,0.000749,-90.052720
400.000000,0.000803,-90.051226
410.000000,0.000864,-90.050039
420.000000,0.000934,-90.049156
430.000000,0.001012,-90.048585
440.000000,0.001103,-90.048342
450.000000,0.001209,-90.048462
460.000000,0.001335,-90.048999
470.000000,0.001487,-90.050038
480.000000,0.001674,-90.051710
490.000000,0.001911,-90.054227
500.000000,0.002220,-90.057938
510.000000,0.002643,-90.063458
520.000000,0.003257,-90.071971
530.000000,0.004231,-90.086066
540.000000,0.006018,-90.112686
550.000000,0.010378,-90.178821
560.000000,0.037316,-90.591312
570.000000,0.023458,-269.658491
580.000000,0.008925,-269.880780
590.000000,0.005508,-269.932619
600.000000,0.003979,-269.955523
610.000000,0.003111,-269.968323
620.000000,0.002550,-269.976436
630.000000,0.002158,-269.981999
640.000000,0.001867,-269.986027
650.000000,0.001642,-269.989062
660.000000,0.001463,-269.991423
670.000000,0.001317,-269.993303
680.000000,0.001194,-269.994832
690.000000,0.001090,-269.996096
700.000000,0.001000,-269.997153
710.000000,0.000920,-269.998042
720.000000,0.000850,-269.998784
730.000000,0.000785,-269.999384
740.000000,0.000726,-269.999815
750.000000,0.000670,-270.000000
760.000000,0.000615,-269.999730
770.000000,0.000559,-269.998430
780.000000,0.000496,-269.994197
790.000000,0.000412,-269.978195
800.000000,0.000256,-269.855205
810.000000,0.000648,-91.128482
820.000000,0.001083,-269.798193
830.000000,0.000704,-269.944099
840.000000,0.000592,-269.971614
850.000000,0.000530,-269.982100
860.000000,0.000486,-269.987411
870.000000,0.000451,-269.990565
880.000000,0.000422,-269.992638
890.000000,0.000396,-269.994101
900.000000,0.000373,-269.995188
910.000000,0.000351,-269.996030
920.000000,0.000332,-269.996701
930.000000,0.000313,-269.997250
940.000000,0.000296,-269.997709
950.000000,0.000279,-269.998097
960.000000,0.000263,-269.998430
970.000000,0.000248,-269.998715
