#X,Acoustic Pressure across Frequency(3)_At Node 588,Acoustic Pressure across Frequency(3)_At Node 588
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,1.641807E-04,-250.477022
30.000000,1.148054E-04,-259.908467
40.000000,8.774052E-05,-265.878271
50.000000,7.090891E-05,-270.326399
60.000000,5.950528E-05,-273.978121
70.000000,5.130203E-05,-277.161340
80.000000,4.513725E-05,-280.045318
90.000000,4.034863E-05,-282.726234
100.000000,3.653207E-05,-285.262834
110.000000,3.342743E-05,-287.693063
120.000000,3.085988E-05,-290.042553
130.000000,2.870773E-05,-292.329285
140.000000,2.688372E-05,-294.566267
150.000000,2.532373E-05,-296.763202
160.000000,2.397962E-05,-298.927498
170.000000,2.281463E-05,-301.064955
180.000000,2.180019E-05,-303.180211
190.000000,2.091387E-05,-305.277053
200.000000,2.013780E-05,-307.358631
210.000000,1.945764E-05,-309.427609
220.000000,1.886180E-05,-311.486268
230.000000,1.834087E-05,-313.536591
240.000000,1.788715E-05,-315.580307
250.000000,1.749439E-05,-317.618950
260.000000,1.715752E-05,-319.653872
270.000000,1.687245E-05,-321.686278
280.000000,1.663599E-05,-323.717229
290.000000,1.644567E-05,-325.747671
300.000000,1.629976E-05,-327.778417
310.000000,1.619716E-05,-329.810187
320.000000,1.613743E-05,-331.843585
330.000000,1.612078E-05,-333.879119
340.000000,1.614810E-05,-335.917186
350.000000,1.622104E-05,-337.958101
360.000000,1.634210E-05,-340.002079
370.000000,1.651475E-05,-342.049241
380.000000,1.674372E-05,-344.099625
390.000000,1.703516E-05,-346.153183
400.000000,1.739718E-05,-348.209788
410.000000,1.784028E-05,-350.269240
420.000000,1.837826E-05,-352.331268
430.000000,1.902934E-05,-354.395544
440.000000,1.981795E-05,-356.461687
450.000000,2.077735E-05,-358.529278
460.000000,2.195392E-05,-0.597869
470.000000,2.341406E-05,-2.667006
480.000000,2.525612E-05,-4.736252
490.000000,2.763193E-05,-6.805229
500.000000,3.078873E-05,-8.873684
510.000000,3.515758E-05,-10.941629
520.000000,4.156296E-05,-13.009652
530.000000,5.180357E-05,-15.079764
540.000000,7.069398E-05,-17.158349
550.000000,1.169452E-04,-19.271873
560.000000,4.032274E-04,-21.726686
570.000000,2.429496E-04,-202.830693
580.000000,8.853736E-05,-205.083921
590.000000,5.228223E-05,-207.160479
600.000000,3.609996E-05,-209.201614
610.000000,2.693438E-05,-211.225954
620.000000,2.103105E-05,-213.238769
630.000000,1.690548E-05,-215.242133
640.000000,1.385232E-05,-217.237054
650.000000,1.149292E-05,-219.224142
660.000000,9.605160E-06,-221.203849
670.000000,8.049410E-06,-223.176574
680.000000,6.732563E-06,-225.142712
690.000000,5.589019E-06,-227.102685
700.000000,4.569752E-06,-229.056957
710.000000,3.635418E-06,-231.006040
720.000000,2.751381E-06,-232.950507
730.000000,1.883261E-06,-234.891007
740.000000,9.916748E-07,-236.828306
750.000000,2.399983E-08,-238.763317
760.000000,1.101544E-06,-60.697270
770.000000,2.532595E-06,-62.631986
780.000000,4.584274E-06,-64.570800
790.000000,8.100798E-06,-66.521713
800.000000,1.644080E-05,-68.514947
810.000000,7.299431E-05,-70.934286
820.000000,3.989881E-05,-251.857896
830.000000,1.692622E-05,-253.982810
840.000000,1.105862E-05,-255.958498
850.000000,8.303868E-06,-257.909019
860.000000,6.666499E-06,-259.852432
870.000000,5.559211E-06,-261.794329
880.000000,4.746557E-06,-263.737148
890.000000,4.115506E-06,-265.682197
900.000000,3.604858E-06,-267.630282
910.000000,3.178474E-06,-269.581929
920.000000,2.813560E-06,-271.537497
930.000000,2.494975E-06,-273.497216
940.000000,2.212232E-06,-275.461224
950.000000,1.957831E-06,-277.429575
960.000000,1.726356E-06,-279.402274
970.000000,1.515175E-06,-281.379466
980.000000,1.310890E-06,-283.359322
990.000000,1.126912E-06,-285.344421
1000.000000,9.520080E-07,-287.332824
1010.000000,7.856200E-07,-289.324463
1020.000000,6.264521E-07,-291.319014
1030.000000,4.733298E-07,-293.316097
1040.000000,3.252276E-07,-295.315300
1050.000000,1.812479E-07,-297.316188
1060.000000,4.059661E-08,-299.318304
1070.000000,9.743744E-08,-121.321197
1080.000000,2.334998E-07,-123.324394
1090.000000,3.681845E-07,-125.327439
1100.000000,5.020465E-07,-127.329887
1110.000000,6.356109E-07,-129.331307
1120.000000,7.693825E-07,-131.331298
1130.000000,9.038528E-07,-133.329478
1140.000000,1.039507E-06,-135.325514
1150.000000,1.176831E-06,-137.319107
1160.000000,1.316316E-06,-139.310003
1170.000000,1.458466E-06,-141.297991
1180.000000,1.603802E-06,-143.282921
1190.000000,1.752870E-06,-145.264677
1200.000000,1.906248E-06,-147.243218
1210.000000,2.064554E-06,-149.218548
1220.000000,2.228458E-06,-151.190725
1230.000000,2.398714E-06,-153.159869
1240.000000,2.576216E-06,-155.126157
1250.000000,2.762283E-06,-157.089831
1260.000000,2.961256E-06,-159.051346
1270.000000,3.132527E-06,-161.008887
1280.000000,3.362944E-06,-162.967237
1290.000000,3.590600E-06,-164.923560
1300.000000,3.830098E-06,-166.879008
1310.000000,4.083835E-06,-168.834133
1320.000000,4.353678E-06,-170.789491
1330.000000,4.641557E-06,-172.745681
1340.000000,4.949594E-06,-174.703336
1350.000000,5.280176E-06,-176.663137
1360.000000,5.636015E-06,-178.625814
1370.000000,6.020219E-06,-180.592148
1380.000000,6.436365E-06,-182.562989
1390.000000,6.888600E-06,-184.539256
1400.000000,7.381763E-06,-186.521961
1410.000000,7.921532E-06,-188.512227
1420.000000,8.514625E-06,-190.511317
1430.000000,9.169041E-06,-192.520669
1440.000000,9.894385E-06,-194.541952
1450.000000,1.070230E-05,-196.577120
1460.000000,1.160702E-05,-198.628516
1470.000000,1.262615E-05,-200.698986
1480.000000,1.378171E-05,-202.792048
1490.000000,1.510158E-05,-204.912119
1500.000000,1.662164E-05,-207.064859
1510.000000,1.838876E-05,-209.257654
1520.000000,2.046538E-05,-211.500325
1530.000000,2.293643E-05,-213.806257
1540.000000,2.592039E-05,-216.194127
1550.000000,2.958747E-05,-218.690826
1560.000000,3.419082E-05,-221.336414
1570.000000,4.012318E-05,-224.193213
1580.000000,4.802635E-05,-227.363498
1590.000000,5.901982E-05,-231.026903
