#X,Acoustic Pressure across Frequency_At Node 2412,Acoustic Pressure across Frequency_At Node 2412
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000161,-239.063754
30.000000,0.000099,-244.832603
40.000000,0.000059,-244.994193
50.000000,0.000031,-237.610734
60.000000,0.000012,-196.394210
70.000000,0.000018,-118.729111
80.000000,0.000034,-101.559463
90.000000,0.000050,-96.342575
100.000000,0.000065,-94.020555
110.000000,0.000079,-92.773131
120.000000,0.000094,-92.024152
130.000000,0.000107,-91.539818
140.000000,0.000121,-91.209414
150.000000,0.000135,-90.974670
160.000000,0.000149,-90.802458
170.000000,0.000163,-90.672794
180.000000,0.000177,-90.573044
190.000000,0.000191,-90.494911
200.000000,0.000205,-90.432767
210.000000,0.000220,-90.382693
220.000000,0.000235,-90.341895
230.000000,0.000251,-90.308341
240.000000,0.000267,-90.280527
250.000000,0.000284,-90.257325
260.000000,0.000301,-90.237874
270.000000,0.000319,-90.221513
280.000000,0.000337,-90.207728
290.000000,0.000357,-90.196116
300.000000,0.000377,-90.186361
310.000000,0.000399,-90.178214
320.000000,0.000421,-90.171477
330.000000,0.000445,-90.165997
340.000000,0.000470,-90.161656
350.000000,0.000497,-90.158364
360.000000,0.000526,-90.156061
370.000000,0.000557,-90.154707
380.000000,0.000590,-90.154285
390.000000,0.000626,-90.154802
400.000000,0.000665,-90.156286
410.000000,0.000707,-90.158792
420.000000,0.000754,-90.162403
430.000000,0.000806,-90.167237
440.000000,0.000864,-90.173458
450.000000,0.000928,-90.181282
460.000000,0.001001,-90.191004
470.000000,0.001085,-90.203015
480.000000,0.001181,-90.217851
490.000000,0.001294,-90.236251
500.000000,0.001428,-90.259254
510.000000,0.001590,-90.288368
520.000000,0.001790,-90.325844
530.000000,0.002043,-90.375199
540.000000,0.002376,-90.442215
550.000000,0.002832,-90.537089
560.000000,0.003500,-90.679581
570.000000,0.004569,-90.913542
580.000000,0.006566,-91.359387
590.000000,0.011634,-92.509247
600.000000,0.050094,-101.395321
610.000000,0.021289,-264.917470
620.000000,0.008817,-267.765857
630.000000,0.005547,-268.495394
640.000000,0.004038,-268.817803
650.000000,0.003167,-268.990080
660.000000,0.002599,-269.088412
670.000000,0.002199,-269.142718
680.000000,0.001899,-269.166340
690.000000,0.001667,-269.165102
700.000000,0.001480,-269.140517
710.000000,0.001325,-269.090772
720.000000,0.001194,-269.010489
730.000000,0.001080,-268.889282
740.000000,0.000979,-268.708345
750.000000,0.000887,-268.432855
760.000000,0.000799,-267.993893
770.000000,0.000713,-267.240002
780.000000,0.000621,-265.782496
790.000000,0.000516,-262.354297
800.000000,0.000382,-250.814628
810.000000,0.000350,-197.238342
820.000000,0.001490,-193.413318
830.000000,0.001418,-252.316683
840.000000,0.001026,-263.974076
850.000000,0.000852,-267.094036
860.000000,0.000750,-268.327255
870.000000,0.000680,-268.929091
880.000000,0.000626,-269.263688
890.000000,0.000582,-269.466972
900.000000,0.000545,-269.598696
910.000000,0.000512,-269.688338
920.000000,0.000483,-269.751738
930.000000,0.000457,-269.797996
940.000000,0.000433,-269.832622
950.000000,0.000410,-269.859103
960.000000,0.000389,-269.879725
970.000000,0.000370,-269.896035
980.000000,0.000351,-269.909104
990.000000,0.000334,-269.919696
1000.000000,0.000317,-269.928405
1010.000000,0.000301,-269.935521
1020.000000,0.000285,-269.941456
1030.000000,0.000271,-269.946407
1040.000000,0.000256,-269.950551
1050.000000,0.000243,-269.954022
1060.000000,0.000229,-269.956927
1070.000000,0.000216,-269.959345
1080.000000,0.000203,-269.961340
1090.000000,0.000191,-269.962960
1100.000000,0.000179,-269.964237
1110.000000,0.000167,-269.965195
1120.000000,0.000155,-269.965846
1130.000000,0.000144,-269.966190
1140.000000,0.000133,-269.966214
1150.000000,0.000122,-269.965891
1160.000000,0.000111,-269.965171
1170.000000,0.000100,-269.963976
1180.000000,0.000089,-269.962179
1190.000000,0.000078,-269.959580
1200.000000,0.000067,-269.955840
1210.000000,0.000057,-269.950363
1220.000000,0.000046,-269.941995
1230.000000,0.000036,-269.928187
1240.000000,0.000025,-269.902022
1250.000000,0.000014,-269.835891
1260.000000,0.000004,-269.375379
1270.000000,0.000007,-90.307277
1280.000000,0.000018,-90.118542
1290.000000,0.000029,-90.071809
1300.000000,0.000040,-90.050804
1310.000000,0.000051,-90.038959
1320.000000,0.000062,-90.031413
1330.000000,0.000074,-90.026226
1340.000000,0.000085,-90.022470
1350.000000,0.000097,-90.019647
1360.000000,0.000109,-90.017467
1370.000000,0.000122,-90.015748
1380.000000,0.000134,-90.014371
1390.000000,0.000147,-90.013257
1400.000000,0.000161,-90.012349
1410.000000,0.000174,-90.011606
1420.000000,0.000188,-90.010999
1430.000000,0.000203,-90.010506
1440.000000,0.000218,-90.010111
1450.000000,0.000234,-90.009803
1460.000000,0.000250,-90.009574
1470.000000,0.000267,-90.009418
1480.000000,0.000285,-90.009332
1490.000000,0.000303,-90.009317
1500.000000,0.000322,-90.009376
1510.000000,0.000343,-90.009515
1520.000000,0.000364,-90.009745
1530.000000,0.000387,-90.010086
1540.000000,0.000412,-90.010565
1550.000000,0.000438,-90.011232
1560.000000,0.000465,-90.012168
1570.000000,0.000495,-90.013528
1580.000000,0.000528,-90.015629
1590.000000,0.000564,-90.019254
1600.000000,0.000605,-90.026910
1610.000000,0.000658,-90.052408
1620.000000,0.000848,-90.821812
1630.000000,0.000683,-90.013742
1640.000000,0.000758,-90.000015
1650.000000,0.000824,-90.001662
1660.000000,0.000895,-90.003660
1670.000000,0.000973,-90.005507
1680.000000,0.001062,-90.007297
1690.000000,0.001166,-90.009153
1700.000000,0.001287,-90.011202
1710.000000,0.001432,-90.013568
1720.000000,0.001610,-90.016427
1730.000000,0.001832,-90.020018
1740.000000,0.002118,-90.024711
1750.000000,0.002503,-90.031122
1760.000000,0.003047,-90.040386
1770.000000,0.003880,-90.054838
1780.000000,0.005313,-90.080204
1790.000000,0.008372,-90.135245
1800.000000,0.019497,-90.337797
1810.000000,0.061158,-268.860481
1820.000000,0.011964,-269.759605
1830.000000,0.006643,-269.855592
1840.000000,0.004602,-269.891416
1850.000000,0.003521,-269.909503
1860.000000,0.002851,-269.919892
1870.000000,0.002395,-269.926170
1880.000000,0.002063,-269.929927
1890.000000,0.001811,-269.931939
1900.000000,0.001612,-269.932691
1910.000000,0.001452,-269.932373
1920.000000,0.001319,-269.931130
1930.000000,0.001207,-269.929008
1940.000000,0.001111,-269.926012
1950.000000,0.001028,-269.922099
1960.000000,0.000955,-269.917187
1970.000000,0.000890,-269.911153
1980.000000,0.000833,-269.903827
1990.000000,0.000781,-269.894985
2000.000000,0.000733,-269.884335


