#X,Acoustic Pressure across Frequency(1)_At Node 2413,Acoustic Pressure across Frequency(1)_At Node 2413
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000163,-239.342630
30.000000,0.000101,-245.390877
40.000000,0.000062,-246.201621
50.000000,0.000034,-241.084186
60.000000,0.000014,-214.581931
70.000000,0.000014,-129.597073
80.000000,0.000028,-104.078136
90.000000,0.000043,-97.364329
100.000000,0.000057,-94.561390
110.000000,0.000071,-93.104088
120.000000,0.000084,-92.245913
130.000000,0.000097,-91.697953
140.000000,0.000110,-91.327432
150.000000,0.000123,-91.065880
160.000000,0.000136,-90.874935
170.000000,0.000149,-90.731711
180.000000,0.000163,-90.621859
190.000000,0.000176,-90.536019
200.000000,0.000190,-90.467877
210.000000,0.000204,-90.413054
220.000000,0.000218,-90.368441
230.000000,0.000233,-90.331782
240.000000,0.000248,-90.301415
250.000000,0.000264,-90.276091
260.000000,0.000280,-90.254862
270.000000,0.000297,-90.237001
280.000000,0.000315,-90.221941
290.000000,0.000333,-90.209240
300.000000,0.000353,-90.198550
310.000000,0.000373,-90.189597
320.000000,0.000395,-90.182163
330.000000,0.000418,-90.176080
340.000000,0.000442,-90.171216
350.000000,0.000468,-90.167471
360.000000,0.000495,-90.164775
370.000000,0.000525,-90.163082
380.000000,0.000557,-90.162369
390.000000,0.000592,-90.162637
400.000000,0.000630,-90.163911
410.000000,0.000671,-90.166243
420.000000,0.000716,-90.169712
430.000000,0.000767,-90.174437
440.000000,0.000823,-90.180577
450.000000,0.000886,-90.188350
460.000000,0.000957,-90.198048
470.000000,0.001039,-90.210064
480.000000,0.001133,-90.224933
490.000000,0.001243,-90.243393
500.000000,0.001375,-90.266488
510.000000,0.001533,-90.295725
520.000000,0.001729,-90.333358
530.000000,0.001978,-90.382907
540.000000,0.002305,-90.450157
550.000000,0.002754,-90.545310
560.000000,0.003411,-90.688133
570.000000,0.004463,-90.922482
580.000000,0.006429,-91.368783
590.000000,0.011420,-92.519175
600.000000,0.049295,-101.405874
610.000000,0.021005,-264.928759
620.000000,0.008723,-267.778014
630.000000,0.005503,-268.508579
640.000000,0.004018,-268.832216
650.000000,0.003161,-269.005972
660.000000,0.002603,-269.106100
670.000000,0.002209,-269.162614
680.000000,0.001915,-269.188984
690.000000,0.001687,-269.191224
700.000000,0.001503,-269.171122
710.000000,0.001352,-269.127285
720.000000,0.001223,-269.055004
730.000000,0.001112,-268.944998
740.000000,0.001013,-268.780410
750.000000,0.000923,-268.530101
760.000000,0.000838,-268.132809
770.000000,0.000754,-267.455164
780.000000,0.000665,-266.159747
790.000000,0.000562,-263.172064
800.000000,0.000430,-253.491432
810.000000,0.000364,-206.569544
820.000000,0.001464,-195.795533
830.000000,0.001438,-253.082689
840.000000,0.001059,-264.337713
850.000000,0.000891,-267.305297
860.000000,0.000793,-268.465564
870.000000,0.000725,-269.027048
880.000000,0.000673,-269.337046
890.000000,0.000631,-269.524255
900.000000,0.000595,-269.644913
910.000000,0.000564,-269.726623
920.000000,0.000536,-269.784155
930.000000,0.000511,-269.825959
940.000000,0.000488,-269.857133
950.000000,0.000467,-269.880895
960.000000,0.000447,-269.899345
970.000000,0.000429,-269.913902
980.000000,0.000412,-269.925547
990.000000,0.000395,-269.934977
1000.000000,0.000380,-269.942728
1010.000000,0.000365,-269.949077
1020.000000,0.000351,-269.954386
1030.000000,0.000337,-269.958841
1040.000000,0.000324,-269.962601
1050.000000,0.000311,-269.965791
1060.000000,0.000299,-269.968510
1070.000000,0.000287,-269.970834
1080.000000,0.000275,-269.972825
1090.000000,0.000264,-269.974533
1100.000000,0.000253,-269.975998
1110.000000,0.000243,-269.977250
1120.000000,0.000232,-269.978316
1130.000000,0.000222,-269.979217
1140.000000,0.000212,-269.979968
1150.000000,0.000202,-269.980582
1160.000000,0.000192,-269.981068
1170.000000,0.000182,-269.981433
1180.000000,0.000173,-269.981679
1190.000000,0.000163,-269.981807
1200.000000,0.000154,-269.981813
