#X,Acoustic Pressure across Frequency(1)_At Node 3327,Acoustic Pressure across Frequency(1)_At Node 3327
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-208.320779,0.000366
21.000000,-210.247955,0.000361
22.000000,-212.272895,0.000354
23.000000,-214.406718,0.000346
24.000000,-216.661725,0.000338
25.000000,-219.051454,0.000328
26.000000,-221.590688,0.000317
27.000000,-224.295394,0.000305
28.000000,-227.182569,0.000291
29.000000,-230.269887,0.000276
30.000000,-233.575130,0.000258
31.000000,-237.115320,0.000238
32.000000,-240.905429,0.000216
33.000000,-244.956684,0.000191
34.000000,-249.274414,0.000163
35.000000,-253.855576,0.000133
36.000000,-258.686287,0.000100
37.000000,-263.739772,0.000064
38.000000,-268.975442,0.000027
39.000000,-94.339472,0.000012
40.000000,-99.768259,0.000051
41.000000,-105.192048,0.000090
42.000000,-110.541591,0.000128
43.000000,-115.753537,0.000164
44.000000,-120.775071,0.000197
45.000000,-125.566531,0.000227
46.000000,-130.102082,0.000255
47.000000,-134.368625,0.000280
48.000000,-138.363744,0.000301
49.000000,-142.093192,0.000321
50.000000,-145.568445,0.000337
51.000000,-148.804586,0.000352
52.000000,-151.818613,0.000365
53.000000,-154.628218,0.000376
54.000000,-157.250900,0.000386
55.000000,-159.703453,0.000394
56.000000,-162.001606,0.000402
57.000000,-164.159888,0.000408
58.000000,-166.191554,0.000414
59.000000,-168.108618,0.000419
60.000000,-169.921903,0.000423


