#X,Acoustic Pressure across Frequency(3)_At Node 990,Acoustic Pressure across Frequency(3)_At Node 990
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-218.303667,0.000347
21.000000,-221.169297,0.000337
22.000000,-224.207363,0.000325
23.000000,-227.431734,0.000312
24.000000,-230.855327,0.000298
25.000000,-234.489156,0.000281
26.000000,-238.341121,0.000262
27.000000,-242.414517,0.000241
28.000000,-246.706420,0.000218
29.000000,-251.206051,0.000192
30.000000,-255.893452,0.000164
31.000000,-260.738810,0.000134
32.000000,-265.702778,0.000102
33.000000,-270.738001,0.000069
34.000000,-275.791862,0.000035
35.000000,-280.810080,0.000002
36.000000,-105.740617,0.000031
37.000000,-110.537165,0.000063
38.000000,-115.161728,0.000093
39.000000,-119.585946,0.000122
40.000000,-123.791245,0.000148
41.000000,-127.768028,0.000172
42.000000,-131.514286,0.000194
43.000000,-135.033945,0.000214
44.000000,-138.335253,0.000232
45.000000,-141.429360,0.000249
46.000000,-144.329098,0.000263
47.000000,-147.048107,0.000276
48.000000,-149.600159,0.000288
49.000000,-151.998699,0.000299
50.000000,-154.256547,0.000308
51.000000,-156.385738,0.000317
52.000000,-158.397428,0.000324
53.000000,-160.301862,0.000331
54.000000,-162.108407,0.000338
55.000000,-163.825572,0.000344
56.000000,-165.461070,0.000349
57.000000,-167.021884,0.000354
58.000000,-168.514314,0.000358
59.000000,-169.944053,0.000362
60.000000,-171.316243,0.000366


