#X,Acoustic Velocity across Frequency_At Node 3327,Acoustic Velocity across Frequency_At Node 3327
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,989.777296,-180.267110
21.000000,989.571695,-180.273452
22.000000,989.354672,-180.278108
23.000000,989.127906,-180.280798
24.000000,988.893807,-180.281203
25.000000,988.656372,-180.278971
26.000000,988.421131,-180.273726
27.000000,988.196062,-180.265082
28.000000,987.991602,-180.252681
29.000000,987.821507,-180.236238
30.000000,987.703283,-180.215616
31.000000,987.657583,-180.190927
32.000000,987.707593,-180.162644
33.000000,987.876939,-180.131715
34.000000,988.186553,-180.099635
35.000000,988.650058,-180.068436
36.000000,989.269779,-180.040528
37.000000,990.032888,-180.018410
38.000000,990.911197,-180.004274
39.000000,991.864258,-179.999626
40.000000,992.845646,-180.005046
41.000000,993.810120,-180.020168
42.000000,994.719835,-180.043853
43.000000,995.548144,-180.074492
44.000000,996.279923,-180.110314
45.000000,996.910077,-180.149629
46.000000,997.441515,-180.190980
47.000000,997.881618,-180.233205
48.000000,998.240416,-180.275433
49.000000,998.528899,-180.317056
50.000000,998.757681,-180.357673
51.000000,998.936522,-180.397046
52.000000,999.074089,-180.435053
53.000000,999.177897,-180.471656
54.000000,999.254128,-180.506870
55.000000,999.308054,-180.540745
56.000000,999.343920,-180.573351
57.000000,999.365302,-180.604772
58.000000,999.375175,-180.635093
59.000000,999.375662,-180.664400
60.000000,999.368828,-180.692776


