#X,Acoustic Velocity across Frequency_At Node 6529,Acoustic Velocity across Frequency_At Node 6529
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,989.415642,-180.187592
21.000000,989.273154,-180.183750
22.000000,989.148033,-180.178180
23.000000,989.044623,-180.170919
24.000000,988.967151,-180.162043
25.000000,988.920213,-180.151670
26.000000,988.908224,-180.139959
27.000000,988.935112,-180.127119
28.000000,989.004684,-180.113400
29.000000,989.120010,-180.099095
30.000000,989.283364,-180.084534
31.000000,989.496345,-180.070071
32.000000,989.759385,-180.056082
33.000000,990.072055,-180.042945
34.000000,990.432885,-180.031032
35.000000,990.839969,-180.020697
36.000000,991.291771,-180.012269
37.000000,991.793402,-180.006083
38.000000,992.516726,-180.003927
39.000000,992.711731,-180.000037
40.000000,993.311402,-180.001466
41.000000,993.892522,-180.005443
42.000000,994.474815,-180.012068
43.000000,995.057076,-180.021305
44.000000,995.635603,-180.033066
45.000000,996.206576,-180.047224
46.000000,996.766362,-180.063626
47.000000,997.311876,-180.082101
48.000000,997.840646,-180.102468
49.000000,998.350564,-180.124541
50.000000,998.840130,-180.148135
51.000000,999.308453,-180.173071
52.000000,999.754820,-180.199177
53.000000,1000.178882,-180.226291
54.000000,1000.580775,-180.254263
55.000000,1000.960632,-180.282957
56.000000,1001.319130,-180.312248
57.000000,1001.656640,-180.342023
58.000000,1001.973898,-180.372184
59.000000,1002.271819,-180.402642
60.000000,1002.551132,-180.433319


