#X,Acoustic Velocity across Frequency_At Node 6575,Acoustic Velocity across Frequency_At Node 6575
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-180.227540,991.827584
21.000000,-180.223772,991.661005
22.000000,-180.218073,991.513773
23.000000,-180.210483,991.390357
24.000000,-180.201074,991.295594
25.000000,-180.189962,991.234147
26.000000,-180.177302,991.210923
27.000000,-180.163293,991.230466
28.000000,-180.148181,991.297199
29.000000,-180.132252,991.415300
30.000000,-180.115836,991.588391
31.000000,-180.099296,991.819910
32.000000,-180.083030,992.113224
33.000000,-180.067468,992.472246
34.000000,-180.053081,992.904052
35.000000,-180.040453,993.425419
36.000000,-180.030621,994.094014
37.000000,-180.028800,995.271732
38.000000,-180.014889,990.514133
39.000000,-179.999975,994.553589
40.000000,-180.000248,995.536072
41.000000,-180.002528,996.332459
42.000000,-180.007549,997.086679
43.000000,-180.015540,997.827246
44.000000,-180.026558,998.560654
45.000000,-180.040571,999.286689
46.000000,-180.057491,1000.002762
47.000000,-180.077189,1000.705681
48.000000,-180.099505,1001.392318
49.000000,-180.124258,1002.059669
50.000000,-180.151254,1002.705032
51.000000,-180.180291,1003.326256
52.000000,-180.211166,1003.921674
53.000000,-180.243678,1004.490042
54.000000,-180.277633,1005.030659
55.000000,-180.312846,1005.542822
56.000000,-180.349142,1006.026735
57.000000,-180.386358,1006.482233
58.000000,-180.424343,1006.909817
59.000000,-180.462961,1007.310105
60.000000,-180.502086,1007.683710


