#X,Acoustic Velocity across Frequency_At Node 3327,Acoustic Velocity across Frequency_At Node 3327
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,889.220170,-28.456492
21.000000,874.748014,-30.390685
22.000000,858.492540,-32.422554
23.000000,840.210812,-34.563200
24.000000,819.622732,-36.824883
25.000000,796.406859,-39.221091
26.000000,770.196486,-41.766552
27.000000,740.577628,-44.477168
28.000000,707.089074,-47.369832
29.000000,669.227190,-50.462085
30.000000,626.457638,-53.771514
31.000000,578.236920,-57.314839
32.000000,524.048435,-61.106583
33.000000,463.454604,-65.157176
34.000000,396.168395,-69.470482
35.000000,322.140085,-74.040434
36.000000,241.650088,-78.845594
37.000000,155.389474,-83.833782
38.000000,64.502369,-88.791499
39.000000,29.448043,-275.715195
40.000000,124.541775,-280.336466
41.000000,218.741675,-285.658260
42.000000,310.054546,-290.972055
43.000000,396.754133,-296.168369
44.000000,477.523815,-301.182986
45.000000,551.520455,-305.972088
46.000000,618.359376,-310.507932
47.000000,678.043138,-314.776448
48.000000,730.863401,-318.774657
49.000000,777.301052,-322.507974
50.000000,817.939742,-325.987647
51.000000,853.400046,-329.228609
52.000000,884.294237,-332.247759
53.000000,911.198087,-335.062698
54.000000,934.636014,-337.690889
55.000000,955.075414,-340.149070
56.000000,972.926102,-342.452943
57.000000,988.543865,-344.617008
58.000000,1002.235309,-346.654503
59.000000,1014.263368,-348.577424
60.000000,1024.852866,-350.396580


