#X,Acoustic Velocity across Frequency_At Node 6529,Acoustic Velocity across Frequency_At Node 6529
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-43.307576,757.267260
21.000000,-45.775403,730.767498
22.000000,-48.281944,702.582180
23.000000,-50.827250,672.696318
24.000000,-53.411029,641.106199
25.000000,-56.032567,607.821132
26.000000,-58.690753,572.865263
27.000000,-61.384027,536.279663
28.000000,-64.110420,498.123637
29.000000,-66.867543,458.476487
30.000000,-69.652679,417.438629
31.000000,-72.462885,375.133434
32.000000,-75.295200,331.709184
33.000000,-78.147114,287.344314
34.000000,-81.017606,242.260654
35.000000,-83.909969,196.763773
36.000000,-86.842006,151.399315
37.000000,-89.904427,107.885236
38.000000,-94.774981,94.501540
39.000000,-274.010210,6.261392
40.000000,-277.438423,46.002872
41.000000,-280.345445,90.305600
42.000000,-283.142041,134.998585
43.000000,-285.875041,179.278595
44.000000,-288.555520,222.806427
45.000000,-291.186082,265.377507
46.000000,-293.766693,306.847190
47.000000,-296.296477,347.107258
48.000000,-298.774393,386.076296
49.000000,-301.199504,423.694936
50.000000,-303.571108,459.922725
51.000000,-305.888770,494.735796
52.000000,-308.152360,528.124662
53.000000,-310.362005,560.092379
54.000000,-312.518104,590.652514
55.000000,-314.621266,619.827658
56.000000,-316.672306,647.647747
57.000000,-318.672206,674.148527
58.000000,-320.622086,699.370342
59.000000,-322.523190,723.356963
60.000000,-324.376825,746.154442


