#X,Acoustic Velocity across Frequency(1)_At Node 3328,Acoustic Velocity across Frequency(1)_At Node 3328
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-209.297739,913.714412
21.000000,-211.406854,901.456247
22.000000,-213.642545,887.355807
23.000000,-216.019919,871.106241
24.000000,-218.555645,852.347147
25.000000,-221.267906,830.658772
26.000000,-224.176293,805.556762
27.000000,-227.301426,776.490820
28.000000,-230.664343,742.850218
29.000000,-234.285468,703.978517
30.000000,-238.183069,659.204903
31.000000,-242.371135,607.896456
32.000000,-246.856625,549.536514
33.000000,-251.636223,483.828127
34.000000,-256.693095,410.814979
35.000000,-261.994258,330.996946
36.000000,-267.489510,245.405656
37.000000,-273.112817,155.601882
38.000000,-278.786537,63.569531
39.000000,-104.428054,28.487725
40.000000,-109.957536,118.402273
41.000000,-115.305046,204.284985
42.000000,-120.415544,284.694557
43.000000,-125.251089,358.705936
44.000000,-129.790373,425.886137
45.000000,-134.026462,486.208643
46.000000,-137.963632,539.943028
47.000000,-141.614064,587.547103
48.000000,-144.994931,629.577797
49.000000,-148.126113,666.625527
50.000000,-151.028447,699.270264
51.000000,-153.722601,728.055726
52.000000,-156.228331,753.475997
53.000000,-158.564068,775.970811
54.000000,-160.746710,795.926046
55.000000,-162.791586,813.676806
56.000000,-164.712477,829.512830
57.000000,-166.521723,843.683261
58.000000,-168.230314,856.401955
59.000000,-169.848041,867.852519
60.000000,-171.383602,878.192566


