#X,Acoustic Velocity across Frequency(1)_At Node 6576,Acoustic Velocity across Frequency(1)_At Node 6576
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-223.607825,768.248275
21.000000,-226.120177,742.494180
22.000000,-228.675112,715.044015
23.000000,-231.272688,685.880503
24.000000,-233.912570,654.999275
25.000000,-236.593995,622.411436
26.000000,-239.315764,588.145926
27.000000,-242.076259,552.252421
28.000000,-244.873495,514.804052
29.000000,-247.705224,475.900947
30.000000,-250.569154,435.674452
31.000000,-253.463336,394.294804
32.000000,-256.386998,351.985588
33.000000,-259.342351,309.056485
34.000000,-262.339280,265.990498
35.000000,-265.410197,223.722468
36.000000,-268.675961,184.864590
37.000000,-272.931456,164.311800
38.000000,-83.446339,93.606831
39.000000,-95.871305,4.148809
40.000000,-98.514349,36.574053
41.000000,-101.453173,76.785132
42.000000,-104.300522,118.675345
43.000000,-107.073765,160.705886
44.000000,-109.782837,202.247417
45.000000,-112.431710,242.963866
46.000000,-115.021692,282.646157
47.000000,-117.553014,321.153853
48.000000,-120.025532,358.390446
49.000000,-122.439065,394.291080
50.000000,-124.793595,428.815242
51.000000,-127.089299,461.942089
52.000000,-129.326597,493.666949
53.000000,-131.506141,523.998216
54.000000,-133.628807,552.955251
55.000000,-135.695638,580.565934
56.000000,-137.707869,606.865136
57.000000,-139.666848,631.892815
58.000000,-141.574041,655.692927
59.000000,-143.430982,678.312099
60.000000,-145.239277,699.798604


