#X,Acoustic Velocity across Frequency(1)_At Node 3328,Acoustic Velocity across Frequency(1)_At Node 3328
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,988.110717,-0.310019
21.000000,987.921065,-0.315068
22.000000,987.728956,-0.317977
23.000000,987.537595,-0.318483
24.000000,987.351288,-0.316302
25.000000,987.175505,-0.311135
26.000000,987.017496,-0.302682
27.000000,986.886600,-0.290653
28.000000,986.794431,-0.274803
29.000000,986.755315,-0.254966
30.000000,986.786593,-0.231119
31.000000,986.908627,-0.203450
32.000000,987.144120,-0.172459
33.000000,987.517068,-0.139049
34.000000,988.050476,-0.104631
35.000000,988.763336,-0.071168
36.000000,989.665844,-0.041156
37.000000,990.755539,-0.017473
38.000000,992.013246,-0.003089
39.000000,993.401611,-0.000658
40.000000,994.867637,-0.012079
41.000000,996.348854,-0.038142
42.000000,997.781269,-0.078398
43.000000,999.108701,-0.131264
44.000000,1000.289263,-0.194352
45.000000,1001.297566,-0.264893
46.000000,1002.125140,-0.340127
47.000000,1002.776573,-0.417596
48.000000,1003.265819,-0.495303
49.000000,1003.611676,-0.571752
50.000000,1003.835332,-0.645914
51.000000,1003.957488,-0.717153
52.000000,1003.997033,-0.785132
53.000000,1003.970640,-0.849740
54.000000,1003.892706,-0.911015
55.000000,1003.774801,-0.969090
56.000000,1003.626701,-1.024157
57.000000,1003.455957,-1.076437
58.000000,1003.268679,-1.126160
59.000000,1003.069653,-1.173552
60.000000,1002.862643,-1.218830


