#X,Acoustic Velocity across Frequency(1)_At Node 6576,Acoustic Velocity across Frequency(1)_At Node 6576
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-0.175848,991.090483
21.000000,-0.172823,990.963981
22.000000,-0.168298,990.852785
23.000000,-0.162307,990.760384
24.000000,-0.154908,990.690572
25.000000,-0.146193,990.646963
26.000000,-0.136284,990.633235
27.000000,-0.125340,990.653127
28.000000,-0.113553,990.709831
29.000000,-0.101148,990.806598
30.000000,-0.088382,990.946003
31.000000,-0.075540,991.130622
32.000000,-0.062931,991.362781
33.000000,-0.050887,991.645044
34.000000,-0.039772,991.981867
35.000000,-0.030022,992.383925
36.000000,-0.022393,992.888443
37.000000,-0.020525,993.730899
38.000000,-0.010046,990.700150
39.000000,-359.999989,993.424072
40.000000,-0.000347,994.153137
41.000000,-0.002366,994.763368
42.000000,-0.006573,995.348029
43.000000,-0.013129,995.925014
44.000000,-0.022071,996.497755
45.000000,-0.033370,997.065416
46.000000,-0.046954,997.625579
47.000000,-0.062721,998.175647
48.000000,-0.080543,998.712840
49.000000,-0.100278,999.234807
50.000000,-0.121773,999.739563
51.000000,-0.144867,1000.225304
52.000000,-0.169403,1000.690653
53.000000,-0.195220,1001.134717
54.000000,-0.222167,1001.556785
55.000000,-0.250098,1001.956567
56.000000,-0.278875,1002.334077
57.000000,-0.308369,1002.689205
58.000000,-0.338463,1003.022261
59.000000,-0.369049,1003.333984
60.000000,-0.400028,1003.624559


