#X,Acoustic Pressure across Frequency_At Node 5991,Acoustic Pressure across Frequency_At Node 5991
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000334,-217.168935
21.000000,0.000326,-219.327498
22.000000,0.000316,-221.534423
23.000000,0.000306,-223.793252
24.000000,0.000296,-226.107814
25.000000,0.000284,-228.482298
26.000000,0.000272,-230.921341
27.000000,0.000259,-233.430198
28.000000,0.000245,-236.014918
29.000000,0.000230,-238.682689
30.000000,0.000213,-241.442247
31.000000,0.000196,-244.304598
32.000000,0.000177,-247.284044
33.000000,0.000158,-250.399864
34.000000,0.000136,-253.679021
35.000000,0.000112,-257.160756
36.000000,0.000087,-260.904727
37.000000,0.000058,-265.006248
38.000000,0.000025,-269.626979
39.000000,0.000014,-95.061359
40.000000,0.000064,-101.903503
41.000000,0.000132,-111.501888
42.000000,0.000236,-127.407249
43.000000,0.000384,-158.814709
44.000000,0.000389,-206.438842
45.000000,0.000246,-238.038909
46.000000,0.000142,-254.045720
47.000000,0.000074,-263.706369
48.000000,0.000024,-270.601327
49.000000,0.000016,-96.089501
50.000000,0.000050,-100.765325
51.000000,0.000081,-104.924513
52.000000,0.000108,-108.727714
53.000000,0.000133,-112.268932
54.000000,0.000156,-115.606331
55.000000,0.000178,-118.777597
56.000000,0.000199,-121.808135
57.000000,0.000218,-124.715720
58.000000,0.000236,-127.513239
59.000000,0.000253,-130.210361
60.000000,0.000269,-132.814632


