#X,Acoustic Velocity across Frequency_At Node 5992,Acoustic Velocity across Frequency_At Node 5992
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,988.431127,-180.264519
21.000000,988.212257,-180.264572
22.000000,988.000536,-180.262423
23.000000,987.800722,-180.257956
24.000000,987.618247,-180.251071
25.000000,987.459409,-180.241704
26.000000,987.331307,-180.229828
27.000000,987.241722,-180.215471
28.000000,987.199480,-180.198726
29.000000,987.213843,-180.179767
30.000000,987.294994,-180.158859
31.000000,987.453603,-180.136375
32.000000,987.700889,-180.112810
33.000000,988.048794,-180.088798
34.000000,988.510343,-180.065132
35.000000,989.100252,-180.042810
36.000000,989.836750,-180.023114
37.000000,990.744577,-180.007800
38.000000,991.860657,-179.999520
39.000000,993.244264,-180.002894
40.000000,994.993949,-180.027417
41.000000,997.252876,-180.096404
42.000000,999.982875,-180.276971
43.000000,1000.402619,-180.732788
44.000000,988.173016,-181.029938
45.000000,982.516309,-180.462833
46.000000,985.148191,-180.153558
47.000000,987.935042,-180.043829
48.000000,990.124945,-180.006484
49.000000,991.877747,-179.999443
50.000000,993.338266,-180.007709
51.000000,994.594516,-180.024969
52.000000,995.699204,-180.048124
53.000000,996.685068,-180.075432
54.000000,997.573356,-180.105799
55.000000,998.378892,-180.138471
56.000000,999.112520,-180.172895
57.000000,999.782630,-180.208645
58.000000,1000.396015,-180.245382
59.000000,1000.958119,-180.282836
60.000000,1001.473887,-180.320784


