#X,Acoustic Velocity across Frequency_At Node 5992,Acoustic Velocity across Frequency_At Node 5992
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,811.555844,-37.028186
21.000000,790.547738,-39.180419
22.000000,767.955409,-41.381181
23.000000,743.690136,-43.634044
24.000000,717.656419,-45.942895
25.000000,689.751459,-48.311972
26.000000,659.863408,-50.745997
27.000000,627.869858,-53.250337
28.000000,593.634581,-55.831199
29.000000,557.003031,-58.495993
30.000000,517.795336,-61.253792
31.000000,475.794966,-64.116117
32.000000,430.731339,-67.098110
33.000000,382.251168,-70.220495
34.000000,329.871815,-73.512952
35.000000,272.901381,-77.020452
36.000000,210.298215,-80.817087
37.000000,140.409983,-85.047618
38.000000,60.462078,-90.223951
39.000000,34.571142,-272.880749
40.000000,154.317745,-281.065594
41.000000,319.268138,-290.844742
42.000000,572.419312,-306.809525
43.000000,930.746188,-338.235396
44.000000,944.416038,-25.854606
45.000000,597.193435,-57.427908
46.000000,345.529780,-73.373987
47.000000,179.726145,-82.886588
48.000000,58.141322,-89.107802
49.000000,39.352177,-277.083394
50.000000,122.247955,-280.754843
51.000000,195.484665,-284.734450
52.000000,261.761185,-288.460072
53.000000,322.665158,-291.956244
54.000000,379.179247,-295.262936
55.000000,431.941468,-298.410994
56.000000,481.386125,-301.422706
57.000000,527.824026,-304.314214
58.000000,571.489463,-307.097477
59.000000,612.568948,-309.781608
60.000000,651.218584,-312.373780


