#X,Acoustic Velocity across Frequency(1)_At Node 5993,Acoustic Velocity across Frequency(1)_At Node 5993
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-218.654450,843.565239
21.000000,-221.072380,823.891575
22.000000,-223.567041,802.337277
23.000000,-226.143066,778.758907
24.000000,-228.805091,753.007211
25.000000,-231.557736,724.928435
26.000000,-234.405638,694.365969
27.000000,-237.353462,661.161578
28.000000,-240.405997,625.156497
29.000000,-243.568347,586.191640
30.000000,-246.846232,544.105535
31.000000,-250.246532,498.728601
32.000000,-253.778174,449.872156
33.000000,-257.453580,397.306798
34.000000,-261.291069,340.724534
35.000000,-265.318893,279.672391
36.000000,-269.582286,213.434978
37.000000,-274.156384,140.820026
38.000000,-279.171524,59.747938
39.000000,-104.867040,33.590223
40.000000,-111.718273,146.598031
41.000000,-120.777426,294.689860
42.000000,-134.720386,510.838576
43.000000,-160.894940,833.564130
44.000000,-207.034113,974.747893
45.000000,-245.004505,640.581683
46.000000,-264.214477,358.374342
47.000000,-275.173406,180.332694
48.000000,-282.645544,56.793035
49.000000,-108.383817,37.485638
50.000000,-113.128822,114.277239
51.000000,-117.239017,179.540589
52.000000,-120.907538,236.570742
53.000000,-124.247631,287.338281
54.000000,-127.330441,333.105100
55.000000,-130.203363,374.729410
56.000000,-132.899596,412.826999
57.000000,-135.443454,447.860664
58.000000,-137.853464,480.192692
59.000000,-140.144214,510.116170
60.000000,-142.327546,537.874897


