#X,Acoustic Velocity across Frequency(1)_At Node 5993,Acoustic Velocity across Frequency(1)_At Node 5993
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,992.446866,-0.222359
21.000000,992.310094,-0.221578
22.000000,992.185110,-0.219081
23.000000,992.075454,-0.214820
24.000000,991.985039,-0.208762
25.000000,991.918451,-0.200894
26.000000,991.880341,-0.191226
27.000000,991.875977,-0.179795
28.000000,991.911118,-0.166671
29.000000,991.992076,-0.151967
30.000000,992.125530,-0.135838
31.000000,992.319078,-0.118497
32.000000,992.580925,-0.100221
33.000000,992.920496,-0.081370
34.000000,993.348856,-0.062408
35.000000,993.879382,-0.043945
36.000000,994.529650,-0.026823
37.000000,995.324242,-0.012278
38.000000,996.300111,-0.002334
39.000000,997.516663,-0.000784
40.000000,999.072610,-0.015987
41.000000,1001.108230,-0.069993
42.000000,1003.505334,-0.229929
43.000000,1002.741808,-0.622869
44.000000,993.049020,-0.662654
45.000000,991.435687,-0.271446
46.000000,993.650165,-0.092695
47.000000,995.811867,-0.025575
48.000000,997.646547,-0.002731
49.000000,999.243164,-0.001269
50.000000,1000.676538,-0.012511
51.000000,1001.990580,-0.032600
52.000000,1003.210014,-0.059536
53.000000,1004.348161,-0.092109
54.000000,1005.412174,-0.129474
55.000000,1006.405909,-0.170968
56.000000,1007.331379,-0.216027
57.000000,1008.189913,-0.264145
58.000000,1008.982520,-0.314862
59.000000,1009.710129,-0.367748
60.000000,1010.374199,-0.422409


