#X,Acoustic Velocity across Frequency_At Node 10824,Acoustic Velocity across Frequency_At Node 10824
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-180.137709,990.454338
21.000000,-180.131508,990.390670
22.000000,-180.124572,990.349753
23.000000,-180.117024,990.332388
24.000000,-180.108983,990.339438
25.000000,-180.100565,990.371582
26.000000,-180.091884,990.429008
27.000000,-180.083047,990.512210
28.000000,-180.074160,990.621557
29.000000,-180.065322,990.757297
30.000000,-180.056628,990.919918
31.000000,-180.048168,991.109969
32.000000,-180.040033,991.328611
33.000000,-180.032311,991.577550
34.000000,-180.025096,991.859836
35.000000,-180.018503,992.181326
36.000000,-180.012693,992.555261
37.000000,-180.008038,993.026682
38.000000,-180.010964,994.367511
39.000000,-179.999983,993.528259
40.000000,-180.001314,994.345703
41.000000,-180.009281,995.293409
42.000000,-180.040610,996.759955
43.000000,-180.210892,999.318598
44.000000,-180.533331,990.490787
45.000000,-180.106860,990.333082
46.000000,-180.029832,992.226209
47.000000,-180.009463,993.394789
48.000000,-180.043529,995.438276
49.000000,-180.000089,994.793518
50.000000,-180.001570,995.425232
51.000000,-180.004720,995.992191
52.000000,-180.009215,996.526624
53.000000,-180.014856,997.041232
54.000000,-180.021525,997.542856
55.000000,-180.029150,998.035530
56.000000,-180.037680,998.521761
57.000000,-180.047081,999.003206
58.000000,-180.057323,999.480847
59.000000,-180.068384,999.955302
60.000000,-180.080243,1000.426945


