#X,Acoustic Velocity across Frequency_At Node 10824,Acoustic Velocity across Frequency_At Node 10824
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-54.576216,616.528864
21.000000,-56.831742,587.488386
22.000000,-59.044691,558.254195
23.000000,-61.217349,528.876867
24.000000,-63.352265,499.395848
25.000000,-65.452263,469.839493
26.000000,-67.520498,440.224808
27.000000,-69.560522,410.556900
28.000000,-71.576384,380.827790
29.000000,-73.572800,351.015047
30.000000,-75.555391,321.078898
31.000000,-77.531070,290.958629
32.000000,-79.508637,260.567156
33.000000,-81.499807,229.784428
34.000000,-83.521049,198.451487
35.000000,-85.597479,166.379948
36.000000,-87.773571,133.459345
37.000000,-90.165663,100.571534
38.000000,-94.618192,100.585231
39.000000,-275.393068,7.254076
40.000000,-278.497708,57.905914
41.000000,-283.276748,136.899367
42.000000,-291.597238,276.776392
43.000000,-314.309575,629.175337
44.000000,-33.961262,899.046034
45.000000,-73.310302,400.919343
46.000000,-84.652846,217.039805
47.000000,-90.649498,128.848183
48.000000,-115.370981,417.127918
49.000000,-274.689573,7.860762
50.000000,-277.928395,40.016300
51.000000,-280.211820,72.065242
52.000000,-282.195175,102.046504
53.000000,-284.008115,130.219595
54.000000,-285.707118,156.948378
55.000000,-287.323603,182.522417
56.000000,-288.877248,207.156544
57.000000,-290.381281,231.009574
58.000000,-291.845045,254.200198
59.000000,-293.275397,276.818488
60.000000,-294.677517,298.933950


