#X,Acoustic Velocity across Frequency(1)_At Node 10825,Acoustic Velocity across Frequency(1)_At Node 10825
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-236.108345,628.260415
21.000000,-238.537653,598.839486
22.000000,-240.929524,569.101417
23.000000,-243.285370,539.110361
24.000000,-245.606899,508.920781
25.000000,-247.896130,478.577075
26.000000,-250.155451,448.112992
27.000000,-252.387698,417.550848
28.000000,-254.596270,386.900105
29.000000,-256.785291,356.155739
30.000000,-258.959890,325.295453
31.000000,-261.126601,294.276046
32.000000,-263.294039,263.028266
33.000000,-265.474048,231.450448
34.000000,-267.683875,199.403272
35.000000,-269.950959,166.720337
36.000000,-272.326640,133.316293
37.000000,-274.953003,100.092824
38.000000,-279.872963,99.373350
39.000000,-99.267341,7.164682
40.000000,-103.208386,56.853458
41.000000,-108.127880,133.301531
42.000000,-116.293880,265.933849
43.000000,-137.451652,590.814747
44.000000,-214.669257,920.573295
45.000000,-257.901033,409.150652
46.000000,-270.001896,217.692978
47.000000,-276.228918,127.827159
48.000000,-299.915566,396.846613
49.000000,-101.486927,7.723662
50.000000,-104.353417,39.065962
51.000000,-106.650926,69.988870
52.000000,-108.686495,98.633367
53.000000,-110.557678,125.291201
54.000000,-112.313054,150.341034
55.000000,-113.981277,174.080645
56.000000,-115.580844,196.730423
57.000000,-117.124423,218.453320
58.000000,-118.621071,239.371691
59.000000,-120.077478,259.579090
60.000000,-121.498743,279.148477


