#X,Acoustic Velocity across Frequency(1)_At Node 10825,Acoustic Velocity across Frequency(1)_At Node 10825
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-0.154728,989.816475
21.000000,-0.147523,989.783554
22.000000,-0.139550,989.778448
23.000000,-0.130939,989.802145
24.000000,-0.121817,989.855326
25.000000,-0.112307,989.938669
26.000000,-0.102528,990.052611
27.000000,-0.092590,990.197765
28.000000,-0.082603,990.374564
29.000000,-0.072668,990.583682
30.000000,-0.062883,990.825914
31.000000,-0.053345,991.102297
32.000000,-0.044150,991.414540
33.000000,-0.035396,991.765082
34.000000,-0.027191,992.157888
35.000000,-0.019666,992.599363
36.000000,-0.013009,993.102137
37.000000,-0.007589,993.700997
38.000000,-0.007790,994.876169
39.000000,-0.000041,994.804626
40.000000,-0.002712,995.853212
41.000000,-0.015521,997.205786
42.000000,-0.064853,999.384368
43.000000,-0.341837,1003.157685
44.000000,-0.724277,989.250302
45.000000,-0.147188,990.010774
46.000000,-0.043975,992.673754
47.000000,-0.015806,994.387855
48.000000,-0.167969,1000.877165
49.000000,-0.000061,996.081116
50.000000,-0.001619,997.070923
51.000000,-0.005350,997.920598
52.000000,-0.010929,998.716144
53.000000,-0.018125,999.483509
54.000000,-0.026807,1000.235217
55.000000,-0.036900,1000.977869
56.000000,-0.048362,1001.715994
57.000000,-0.061171,1002.451987
58.000000,-0.075316,1003.187695
59.000000,-0.090792,1003.923868
60.000000,-0.107598,1004.661195


