#X,Acoustic Pressure across Frequency(3)_At Node 480
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,1.614781E-04
30.000000,1.128487E-04
40.000000,8.630333E-05
50.000000,6.984192E-05
60.000000,5.871783E-05
70.000000,5.073634E-05
80.000000,4.475446E-05
90.000000,4.012146E-05
100.000000,3.644072E-05
110.000000,3.345720E-05
120.000000,3.099970E-05
130.000000,2.894912E-05
140.000000,2.722015E-05
150.000000,2.575017E-05
160.000000,2.449220E-05
170.000000,2.341037E-05
180.000000,2.247686E-05
190.000000,2.166982E-05
200.000000,2.097187E-05
210.000000,2.036908E-05
220.000000,1.985019E-05
230.000000,1.940605E-05
240.000000,1.902918E-05
250.000000,1.871350E-05
260.000000,1.845401E-05
270.000000,1.824668E-05
280.000000,1.808825E-05
290.000000,1.797616E-05
300.000000,1.790842E-05
310.000000,1.788357E-05
320.000000,1.790065E-05
330.000000,1.795911E-05
340.000000,1.805885E-05
350.000000,1.820015E-05
360.000000,1.838371E-05
370.000000,1.861063E-05
380.000000,1.888242E-05
390.000000,1.920106E-05
400.000000,1.956900E-05
410.000000,1.998921E-05
420.000000,2.046524E-05
430.000000,2.100131E-05
440.000000,2.160237E-05
450.000000,2.227424E-05
460.000000,2.302372E-05
470.000000,2.385880E-05
480.000000,2.478881E-05
490.000000,2.582474E-05
500.000000,2.697954E-05
510.000000,2.826851E-05
520.000000,2.970985E-05
530.000000,3.132530E-05
540.000000,3.314100E-05
550.000000,3.518857E-05
560.000000,3.750660E-05
570.000000,4.014253E-05
580.000000,4.315530E-05
590.000000,4.661888E-05
600.000000,5.062722E-05
610.000000,5.530131E-05
620.000000,6.079931E-05
630.000000,6.733164E-05
640.000000,7.518393E-05
650.000000,8.475305E-05
660.000000,9.660585E-05
670.000000,1.115790E-04
680.000000,1.309579E-04
690.000000,1.568174E-04
700.000000,1.927258E-04
710.000000,2.453513E-04
720.000000,3.286639E-04
730.000000,4.772043E-04
740.000000,8.010112E-04
750.000000,1.754969E-03
760.000000,1.886231E-03
770.000000,9.755540E-04
780.000000,6.603406E-04
790.000000,5.192258E-04
800.000000,4.452716E-04
810.000000,4.052267E-04
820.000000,3.865641E-04
830.000000,3.849054E-04
840.000000,4.008605E-04
850.000000,4.409972E-04
860.000000,5.253010E-04
870.000000,7.229924E-04
880.000000,1.468815E-03
890.000000,2.653141E-03
900.000000,6.012150E-04
910.000000,2.798230E-04
920.000000,1.513673E-04
930.000000,8.060840E-05
940.000000,3.365063E-05
950.000000,2.301833E-06
960.000000,3.361689E-05
970.000000,6.451613E-05
980.000000,9.898724E-05
990.000000,1.424643E-04
1000.000000,2.049188E-04
1010.000000,3.097030E-04
1020.000000,5.243504E-04
1030.000000,9.996673E-04
1040.000000,8.750203E-04
1050.000000,5.111558E-04
1060.000000,3.518053E-04
1070.000000,2.702230E-04
1080.000000,2.216154E-04
1090.000000,1.896799E-04
1100.000000,1.673104E-04
1110.000000,1.509561E-04
1120.000000,1.386577E-04
1130.000000,1.292533E-04
1140.000000,1.220162E-04
1150.000000,1.164756E-04
1160.000000,1.123215E-04
1170.000000,1.093508E-04
1180.000000,1.074382E-04
1190.000000,1.065191E-04
1200.000000,1.065829E-04
1210.000000,1.076734E-04
1220.000000,1.098976E-04
1230.000000,1.134441E-04
1240.000000,1.186194E-04
1250.000000,1.259135E-04
1260.000000,1.361242E-04
1270.000000,1.506050E-04
1280.000000,1.717990E-04
1290.000000,2.045057E-04
1300.000000,2.591963E-04
1310.000000,3.606119E-04
1320.000000,5.393659E-04
1330.000000,5.325748E-04
1340.000000,3.203420E-04
1350.000000,2.023654E-04
1360.000000,1.405338E-04
1370.000000,1.039241E-04
1380.000000,8.001582E-05
1390.000000,6.324623E-05
1400.000000,5.083548E-05
1410.000000,4.125429E-05
1420.000000,3.359485E-05
1430.000000,2.728399E-05
1440.000000,2.194044E-05
1450.000000,1.729855E-05
1460.000000,1.316478E-05
1470.000000,9.391550E-06
1480.000000,5.860479E-06
1490.000000,2.471000E-06
1500.000000,8.681774E-07
1510.000000,4.246235E-06
1520.000000,7.757254E-06
1530.000000,1.150823E-05
1540.000000,1.562963E-05
1550.000000,2.029084E-05
1560.000000,2.572479E-05
1570.000000,3.227007E-05
1580.000000,4.044793E-05
1590.000000,5.111454E-05
1600.000000,6.578988E-05
1610.000000,8.745286E-05
1620.000000,1.227490E-04
1630.000000,1.890527E-04
1640.000000,3.304565E-04
1650.000000,4.103817E-04
1660.000000,2.446752E-04
1670.000000,1.511372E-04
1680.000000,9.875611E-05
1690.000000,5.706265E-05
1700.000000,9.326857E-07
1710.000000,1.885757E-04
1720.000000,3.071496E-04
1730.000000,1.736916E-04
1740.000000,1.349883E-04
1750.000000,1.166750E-04
1760.000000,1.061362E-04
1770.000000,9.956928E-05
1780.000000,9.543411E-05
1790.000000,9.299789E-05
1800.000000,9.188488E-05
1810.000000,9.190710E-05
1820.000000,9.299405E-05
1830.000000,9.516538E-05
1840.000000,9.852774E-05
1850.000000,1.032922E-04
1860.000000,1.098192E-04
1870.000000,1.187134E-04
1880.000000,1.310297E-04
1890.000000,1.487686E-04
1900.000000,1.762832E-04
1910.000000,2.253850E-04
1920.000000,3.394127E-04
1930.000000,3.190078E-04
1940.000000,1.363981E-05
1950.000000,1.500598E-04
1960.000000,2.808768E-04
1970.000000,4.047347E-04
1980.000000,3.747049E-04
1990.000000,2.747970E-04
2000.000000,2.055332E-04


