#X,Acoustic Pressure across Frequency(3)_At Node 604
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,5.838466E-07
30.000000,4.080206E-07
40.000000,3.121263E-07
50.000000,2.526857E-07
60.000000,2.125289E-07
70.000000,1.837244E-07
80.000000,1.621434E-07
90.000000,1.454359E-07
100.000000,1.321696E-07
110.000000,1.214236E-07
120.000000,1.125793E-07
130.000000,1.052065E-07
140.000000,9.899719E-08
150.000000,9.372496E-08
160.000000,8.922017E-08
170.000000,8.535331E-08
180.000000,8.202397E-08
190.000000,7.915332E-08
200.000000,7.667878E-08
210.000000,7.455020E-08
220.000000,7.272714E-08
230.000000,7.117680E-08
240.000000,6.987249E-08
250.000000,6.879251E-08
260.000000,6.791925E-08
270.000000,6.723852E-08
280.000000,6.673903E-08
290.000000,6.641199E-08
300.000000,6.625081E-08
310.000000,6.625088E-08
320.000000,6.640935E-08
330.000000,6.672509E-08
340.000000,6.719853E-08
350.000000,6.783170E-08
360.000000,6.862818E-08
370.000000,6.959314E-08
380.000000,7.073345E-08
390.000000,7.205775E-08
400.000000,7.357659E-08
410.000000,7.530267E-08
420.000000,7.725104E-08
430.000000,7.943943E-08
440.000000,8.188862E-08
450.000000,8.462290E-08
460.000000,8.767064E-08
470.000000,9.106501E-08
480.000000,9.484480E-08
490.000000,9.905557E-08
500.000000,1.037509E-07
510.000000,1.089943E-07
520.000000,1.148608E-07
530.000000,1.214405E-07
540.000000,1.288412E-07
550.000000,1.371936E-07
560.000000,1.466567E-07
570.000000,1.574263E-07
580.000000,1.697450E-07
590.000000,1.839173E-07
600.000000,2.003293E-07
610.000000,2.194775E-07
620.000000,2.420099E-07
630.000000,2.687865E-07
640.000000,3.009713E-07
650.000000,3.401754E-07
660.000000,3.886893E-07
670.000000,4.498721E-07
680.000000,5.288412E-07
690.000000,6.337629E-07
700.000000,7.784527E-07
710.000000,9.881090E-07
720.000000,1.313508E-06
730.000000,1.871741E-06
740.000000,2.983465E-06
750.000000,5.509628E-06
760.000000,6.727062E-06
770.000000,4.180152E-06
780.000000,2.904625E-06
790.000000,2.299293E-06
800.000000,1.978831E-06
810.000000,1.805662E-06
820.000000,1.725262E-06
830.000000,1.716761E-06
840.000000,1.778250E-06
850.000000,1.925774E-06
860.000000,2.205104E-06
870.000000,2.735604E-06
880.000000,3.892386E-06
890.000000,7.411659E-06
900.000000,1.087242E-05
910.000000,4.165205E-06
920.000000,2.299849E-06
930.000000,1.528070E-06
940.000000,1.116079E-06
950.000000,8.632278E-07
960.000000,6.939350E-07
970.000000,5.736469E-07
980.000000,4.844034E-07
990.000000,4.159765E-07
1000.000000,3.621264E-07
1010.000000,3.187908E-07
1020.000000,2.836078E-07
1030.000000,2.542117E-07
1040.000000,2.295456E-07
1050.000000,2.086006E-07
1060.000000,1.906427E-07
1070.000000,1.751148E-07
1080.000000,1.615863E-07
1090.000000,1.497194E-07
1100.000000,1.392456E-07
1110.000000,1.299491E-07
1120.000000,1.216547E-07
1130.000000,1.142186E-07
1140.000000,1.075219E-07
1150.000000,1.014655E-07
1160.000000,9.596624E-08
1170.000000,9.095356E-08
1180.000000,8.636748E-08
1190.000000,8.215652E-08
1200.000000,7.827627E-08
1210.000000,7.468817E-08
1220.000000,7.135845E-08
1230.000000,6.825742E-08
1240.000000,6.535870E-08
1250.000000,6.263870E-08
1260.000000,6.007608E-08
1270.000000,5.765117E-08
1280.000000,5.534528E-08
1290.000000,5.313894E-08
1300.000000,5.100216E-08
1310.000000,4.837448E-08
1320.000000,4.715967E-08
1330.000000,4.519182E-08
1340.000000,4.329126E-08
1350.000000,4.141868E-08
1360.000000,3.955550E-08
1370.000000,3.768563E-08
1380.000000,3.579292E-08
1390.000000,3.386030E-08
1400.000000,3.186926E-08
1410.000000,2.979929E-08
1420.000000,2.762734E-08
1430.000000,2.532709E-08
1440.000000,2.286812E-08
1450.000000,2.021473E-08
1460.000000,1.732449E-08
1470.000000,1.414622E-08
1480.000000,1.061724E-08
1490.000000,6.659564E-09
1500.000000,2.175359E-09
1510.000000,2.971656E-09
1520.000000,8.939435E-09
1530.000000,1.596684E-08
1540.000000,2.437883E-08
1550.000000,3.464985E-08
1560.000000,4.750158E-08
1570.000000,6.409105E-08
1580.000000,8.640101E-08
1590.000000,1.181396E-07
1600.000000,1.671361E-07
1610.000000,2.532087E-07
1620.000000,4.444992E-07
1630.000000,1.178232E-06
1640.000000,1.427496E-06
1650.000000,5.689400E-07
1660.000000,3.600716E-07
1670.000000,2.686524E-07
1680.000000,2.171904E-07
1690.000000,1.839564E-07
1700.000000,1.605121E-07
1710.000000,1.431600E-07
1720.000000,1.294187E-07
1730.000000,1.183416E-07
1740.000000,1.091451E-07
1750.000000,1.013413E-07
1760.000000,9.459938E-08
1770.000000,8.868645E-08
1780.000000,8.343264E-08
1790.000000,7.871050E-08
1800.000000,7.442170E-08
1810.000000,7.048835E-08
1820.000000,6.684706E-08
1830.000000,6.344489E-08
1840.000000,6.023633E-08
1850.000000,5.718114E-08
1860.000000,5.424269E-08
1870.000000,5.138665E-08
1880.000000,4.858022E-08
1890.000000,4.579235E-08
1900.000000,4.300084E-08
1910.000000,4.040567E-08
1920.000000,3.693816E-08
1930.000000,3.386207E-08
1940.000000,3.051391E-08
1950.000000,2.681805E-08
1960.000000,2.206747E-08
1970.000000,1.972334E-08
1980.000000,1.440517E-08
1990.000000,8.810597E-09
2000.000000,2.463687E-09


