#X,Acoustic Pressure across Frequency(3)_At Node 747
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.000056
30.000000,0.000037
40.000000,0.000028
50.000000,0.000023
60.000000,0.000019
70.000000,0.000016
80.000000,0.000014
90.000000,0.000013
100.000000,0.000012
110.000000,0.000011
120.000000,0.000010
130.000000,0.000010
140.000000,0.000009
150.000000,0.000009
160.000000,0.000008
170.000000,0.000008
180.000000,0.000008
190.000000,0.000007
200.000000,0.000007
210.000000,0.000007
220.000000,0.000007
230.000000,0.000007
240.000000,0.000007
250.000000,0.000007
260.000000,0.000007
270.000000,0.000007
280.000000,0.000007
290.000000,0.000007
300.000000,0.000007
310.000000,0.000007
320.000000,0.000007
330.000000,0.000007
340.000000,0.000007
350.000000,0.000008
360.000000,0.000008
370.000000,0.000008
380.000000,0.000008
390.000000,0.000009
400.000000,0.000009
410.000000,0.000010
420.000000,0.000010
430.000000,0.000011
440.000000,0.000012
450.000000,0.000013
460.000000,0.000014
470.000000,0.000015
480.000000,0.000017
490.000000,0.000020
500.000000,0.000023
510.000000,0.000027
520.000000,0.000033
530.000000,0.000042
540.000000,0.000058
550.000000,0.000095
560.000000,0.000242
570.000000,0.000470
580.000000,0.000122
590.000000,0.000071
600.000000,0.000051
610.000000,0.000040
620.000000,0.000033
630.000000,0.000028
640.000000,0.000025
650.000000,0.000023
660.000000,0.000021
670.000000,0.000019
680.000000,0.000018
690.000000,0.000017
700.000000,0.000016
710.000000,0.000016
720.000000,0.000015
730.000000,0.000015
740.000000,0.000015
750.000000,0.000014
760.000000,0.000014
770.000000,0.000014
780.000000,0.000014
790.000000,0.000014
800.000000,0.000014
810.000000,0.000014
820.000000,0.000015
830.000000,0.000015
840.000000,0.000015
850.000000,0.000016
860.000000,0.000016
870.000000,0.000016
880.000000,0.000017
890.000000,0.000018
900.000000,0.000019
910.000000,0.000019
920.000000,0.000020
930.000000,0.000022
940.000000,0.000023
950.000000,0.000025
960.000000,0.000026
970.000000,0.000028
980.000000,0.000031
990.000000,0.000033
1000.000000,0.000037
1010.000000,0.000041
1020.000000,0.000045
1030.000000,0.000051
1040.000000,0.000058
1050.000000,0.000066
1060.000000,0.000077
1070.000000,0.000091
1080.000000,0.000111
1090.000000,0.000138
1100.000000,0.000178
1110.000000,0.000243
1120.000000,0.000367
1130.000000,0.000674
1140.000000,0.002764
1150.000000,0.001593
1160.000000,0.000671
1170.000000,0.000448
1180.000000,0.000350
1190.000000,0.000297
1200.000000,0.000265
1210.000000,0.000245
1220.000000,0.000233
1230.000000,0.000226
1240.000000,0.000222
1250.000000,0.000222
1260.000000,0.000223
1270.000000,0.000226
1280.000000,0.000225
1290.000000,0.000227
1300.000000,0.000214
1310.000000,0.000169
1320.000000,0.000028
1330.000000,0.000460
1340.000000,0.003123
1350.000000,0.041902
1360.000000,0.031507
1370.000000,0.013157
1380.000000,0.004350
1390.000000,0.002523
1400.000000,0.001792
1410.000000,0.001419
1420.000000,0.001204
1430.000000,0.001075
1440.000000,0.000997
1450.000000,0.000955
1460.000000,0.000942
1470.000000,0.000954
1480.000000,0.000992
1490.000000,0.001060
1500.000000,0.001167
1510.000000,0.001331
1520.000000,0.001586
1530.000000,0.002009
1540.000000,0.002801
1550.000000,0.004698
1560.000000,0.014458
1570.000000,0.014334
1580.000000,0.004971
1590.000000,0.003168
1600.000000,0.002408
1610.000000,0.002025
1620.000000,0.001827
1630.000000,0.001745
1640.000000,0.001764
1650.000000,0.001903
1660.000000,0.002248
1670.000000,0.001144
1680.000000,0.006533
1690.000000,0.013272
1700.000000,0.002610
1710.000000,0.001363
1720.000000,0.000801
1730.000000,0.000506
1740.000000,0.000316
1750.000000,0.000175
1760.000000,0.000052
1770.000000,0.000075
1780.000000,0.000235
1790.000000,0.000489
1800.000000,0.001074
1810.000000,0.004794
1820.000000,0.003100
1830.000000,0.001355
1840.000000,0.000934
1850.000000,0.000749
1860.000000,0.000649
1870.000000,0.000592
1880.000000,0.000562
1890.000000,0.000550
1900.000000,0.000557
1910.000000,0.000582
1920.000000,0.000633
1930.000000,0.000724
1940.000000,0.000906
1950.000000,0.001217
1960.000000,0.002255
1970.000000,0.091549
1980.000000,0.002095
1990.000000,0.000981
2000.000000,0.000620


