#X,Acoustic Pressure across Frequency(4)_At Node 720,Acoustic Pressure across Frequency(4)_At Node 720
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-243.779611,0.000152
30.000000,-249.631906,0.000095
40.000000,-251.196701,0.000060
50.000000,-249.157718,0.000035
60.000000,-238.550555,0.000017
70.000000,-171.087440,0.000007
80.000000,-109.290160,0.000016
90.000000,-98.666011,0.000027
100.000000,-95.035364,0.000039
110.000000,-93.310706,0.000050
120.000000,-92.344789,0.000060
130.000000,-91.747145,0.000070
140.000000,-91.351553,0.000080
150.000000,-91.076514,0.000090
160.000000,-90.877962,0.000099
170.000000,-90.730286,0.000109
180.000000,-90.617749,0.000118
190.000000,-90.530242,0.000128
200.000000,-90.461033,0.000137
210.000000,-90.405497,0.000147
220.000000,-90.360379,0.000156
230.000000,-90.323333,0.000166
240.000000,-90.292638,0.000176
250.000000,-90.267007,0.000185
260.000000,-90.245466,0.000195
270.000000,-90.227269,0.000206
280.000000,-90.211833,0.000216
290.000000,-90.198705,0.000227
300.000000,-90.187524,0.000237
310.000000,-90.178004,0.000249
320.000000,-90.169915,0.000260
330.000000,-90.163073,0.000271
340.000000,-90.157331,0.000283
350.000000,-90.152568,0.000296
360.000000,-90.148691,0.000308
370.000000,-90.145625,0.000321
380.000000,-90.143312,0.000335
390.000000,-90.141709,0.000348
400.000000,-90.140788,0.000363
410.000000,-90.140531,0.000378
420.000000,-90.140933,0.000393
430.000000,-90.142000,0.000409
440.000000,-90.143750,0.000426
450.000000,-90.146213,0.000444
460.000000,-90.149432,0.000462
470.000000,-90.153465,0.000481
480.000000,-90.158388,0.000502
490.000000,-90.164297,0.000523
500.000000,-90.171310,0.000546
510.000000,-90.179577,0.000570
520.000000,-90.189282,0.000595
530.000000,-90.200654,0.000622
540.000000,-90.213980,0.000651
550.000000,-90.229618,0.000683
560.000000,-90.248022,0.000716
570.000000,-90.269767,0.000752
580.000000,-90.295595,0.000792
590.000000,-90.326470,0.000835
600.000000,-90.363657,0.000883
610.000000,-90.408850,0.000935
620.000000,-90.464344,0.000994
630.000000,-90.533310,0.001060
640.000000,-90.620226,0.001136
650.000000,-90.731565,0.001223
660.000000,-90.876956,0.001324
670.000000,-91.071211,0.001446
680.000000,-91.338055,0.001594
690.000000,-91.717415,0.001780
700.000000,-92.280845,0.002024
710.000000,-93.167564,0.002360
720.000000,-94.680866,0.002861
730.000000,-97.601122,0.003702
740.000000,-104.556741,0.005420
750.000000,-129.568826,0.010115
760.000000,-207.418026,0.009759
770.000000,-235.195215,0.003981
