#X,Acoustic Pressure across Frequency(1)_At Node 1420,Acoustic Pressure across Frequency(1)_At Node 1420
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-239.738564,0.000143
30.000000,-244.565581,0.000085
40.000000,-242.809259,0.000047
50.000000,-227.534510,0.000021
60.000000,-149.623415,0.000012
70.000000,-107.434125,0.000026
80.000000,-98.417206,0.000043
90.000000,-95.048772,0.000059
100.000000,-93.399924,0.000075
110.000000,-92.466815,0.000090
120.000000,-91.888822,0.000105
130.000000,-91.508238,0.000120
140.000000,-91.246697,0.000134
150.000000,-91.061619,0.000150
160.000000,-90.928337,0.000165
170.000000,-90.831900,0.000181
180.000000,-90.763011,0.000198
190.000000,-90.715906,0.000215
200.000000,-90.687224,0.000233
210.000000,-90.675457,0.000252
220.000000,-90.680800,0.000273
230.000000,-90.705407,0.000295
240.000000,-90.754205,0.000320
250.000000,-90.836779,0.000349
260.000000,-90.971683,0.000382
270.000000,-91.197113,0.000424
280.000000,-91.601363,0.000479
290.000000,-92.430632,0.000564
300.000000,-94.636736,0.000730
310.000000,-106.040066,0.001344
320.000000,-232.443949,0.000928
330.000000,-179.418381,0.000060
340.000000,-95.850266,0.000196
350.000000,-91.869614,0.000294
360.000000,-90.872585,0.000364
370.000000,-90.484864,0.000421
380.000000,-90.298740,0.000474
390.000000,-90.197303,0.000524
400.000000,-90.137070,0.000576
410.000000,-90.099009,0.000630
420.000000,-90.073794,0.000687
430.000000,-90.056457,0.000750
440.000000,-90.044175,0.000819
450.000000,-90.035260,0.000897
460.000000,-90.028660,0.000985
470.000000,-90.023696,0.001086
480.000000,-90.019919,0.001206
490.000000,-90.017025,0.001348
500.000000,-90.014807,0.001522
510.000000,-90.013125,0.001740
520.000000,-90.011891,0.002021
530.000000,-90.011062,0.002399
540.000000,-90.010654,0.002937
550.000000,-90.010775,0.003762
560.000000,-90.011781,0.005196
570.000000,-90.014951,0.008316
580.000000,-90.029073,0.020362
590.000000,-269.946277,0.047348
600.000000,-269.990043,0.011043
610.000000,-269.995505,0.006277
620.000000,-269.997503,0.004395
630.000000,-269.998477,0.003387
640.000000,-269.999021,0.002758
650.000000,-269.999350,0.002328
