#X,Acoustic Pressure across Frequency(4)_At Node 589,Acoustic Pressure across Frequency(4)_At Node 589
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-250.693035,1.641787E-04
30.000000,-260.232231,1.148023E-04
40.000000,-266.309510,8.773652E-05
50.000000,-270.864808,7.090419E-05
60.000000,-274.623397,5.950002E-05
70.000000,-277.913198,5.129639E-05
80.000000,-280.903497,4.513134E-05
90.000000,-283.690500,4.034256E-05
100.000000,-286.332978,3.652591E-05
110.000000,-288.868890,3.342125E-05
120.000000,-291.323890,3.085374E-05
130.000000,-293.715961,2.870166E-05
140.000000,-296.058130,2.687776E-05
150.000000,-298.360098,2.531790E-05
160.000000,-300.629275,2.397396E-05
170.000000,-302.871464,2.280915E-05
180.000000,-305.091307,2.179492E-05
190.000000,-307.292601,2.090883E-05
200.000000,-309.478483,2.013301E-05
210.000000,-311.651629,1.945313E-05
220.000000,-313.814318,1.885759E-05
230.000000,-315.968535,1.833697E-05
240.000000,-318.116012,1.788361E-05
250.000000,-320.258289,1.749123E-05
260.000000,-322.396720,1.715477E-05
270.000000,-324.532515,1.687015E-05
280.000000,-326.666736,1.663416E-05
290.000000,-328.800329,1.644437E-05
300.000000,-330.934124,1.629902E-05
310.000000,-333.068836,1.619704E-05
320.000000,-335.205079,1.613798E-05
330.000000,-337.343363,1.612205E-05
340.000000,-339.484098,1.615017E-05
350.000000,-341.627599,1.622398E-05
360.000000,-343.774087,1.634598E-05
370.000000,-345.923695,1.651969E-05
380.000000,-348.076464,1.674981E-05
390.000000,-350.232353,1.704255E-05
400.000000,-352.391245,1.740600E-05
410.000000,-354.552942,1.785071E-05
420.000000,-356.717185,1.839051E-05
430.000000,-358.883651,1.904367E-05
440.000000,-1.051968,1.983466E-05
450.000000,-3.221724,2.079684E-05
460.000000,-5.392479,2.197669E-05
470.000000,-7.563786,2.344077E-05
480.000000,-9.735215,2.528763E-05
490.000000,-11.906398,2.766950E-05
500.000000,-14.077086,3.083415E-05
510.000000,-16.247300,3.521367E-05
520.000000,-18.417640,4.163442E-05
530.000000,-20.590112,5.189927E-05
540.000000,-22.771117,7.083390E-05
