#X,Acoustic Pressure across Frequency_At Node 589,Acoustic Pressure across Frequency_At Node 589
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000136,-241.362027
30.000000,0.000072,-243.595251
40.000000,0.000031,-232.904006
50.000000,0.000014,-152.359666
60.000000,0.000034,-104.779871
70.000000,0.000057,-96.539434
80.000000,0.000079,-93.680768
90.000000,0.000100,-92.342462
100.000000,0.000121,-91.609687
110.000000,0.000141,-91.167185
120.000000,0.000162,-90.881186
130.000000,0.000183,-90.686792
140.000000,0.000204,-90.549404
150.000000,0.000226,-90.449229
160.000000,0.000249,-90.374299
170.000000,0.000273,-90.317055
180.000000,0.000297,-90.272542
190.000000,0.000324,-90.237410
200.000000,0.000351,-90.209339
210.000000,0.000381,-90.186682
220.000000,0.000413,-90.168250
230.000000,0.000447,-90.153174
240.000000,0.000484,-90.140805
250.000000,0.000525,-90.130662
260.000000,0.000570,-90.122382
270.000000,0.000619,-90.115697
280.000000,0.000676,-90.110413
290.000000,0.000739,-90.106399
300.000000,0.000812,-90.103580
310.000000,0.000898,-90.101939
320.000000,0.000998,-90.101523
330.000000,0.001120,-90.102462
340.000000,0.001269,-90.105000
350.000000,0.001459,-90.109573
360.000000,0.001707,-90.116937
370.000000,0.002049,-90.128473
380.000000,0.002551,-90.146915
390.000000,0.003360,-90.178435
400.000000,0.004893,-90.240366
410.000000,0.008921,-90.406749
420.000000,0.048823,-92.072591
430.000000,0.014137,-269.439809
440.000000,0.006182,-269.770676
450.000000,0.003955,-269.862297
460.000000,0.002904,-269.904830
470.000000,0.002292,-269.929161
480.000000,0.001890,-269.944779
490.000000,0.001605,-269.955571
500.000000,0.001392,-269.963419
510.000000,0.001227,-269.969347
520.000000,0.001094,-269.973956
530.000000,0.000985,-269.977626
540.000000,0.000894,-269.980605
550.000000,0.000816,-269.983062
560.000000,0.000748,-269.985118
570.000000,0.000689,-269.986860
580.000000,0.000637,-269.988353
590.000000,0.000591,-269.989647
600.000000,0.000549,-269.990779
610.000000,0.000510,-269.991780
620.000000,0.000476,-269.992673
630.000000,0.000443,-269.993479
640.000000,0.000414,-269.994214
650.000000,0.000386,-269.994892
660.000000,0.000360,-269.995525
670.000000,0.000336,-269.996123
680.000000,0.000313,-269.996696
690.000000,0.000291,-269.997252
700.000000,0.000270,-269.997797
710.000000,0.000250,-269.998335
720.000000,0.000231,-269.998863
730.000000,0.000213,-269.999365
740.000000,0.000195,-269.999789
750.000000,0.000178,-270.000000
760.000000,0.000161,-269.999619
770.000000,0.000145,-269.997506
780.000000,0.000129,-269.989527
790.000000,0.000113,-269.955147
800.000000,0.000097,-269.697014
810.000000,0.000084,-267.535503
820.000000,0.000069,-269.567764
830.000000,0.000054,-269.797042
840.000000,0.000039,-269.845970
850.000000,0.000024,-269.835991
860.000000,0.000009,-269.680244
870.000000,0.000006,-90.337165
880.000000,0.000021,-90.078218
890.000000,0.000037,-90.036942
900.000000,0.000052,-90.021377
910.000000,0.000068,-90.013661
920.000000,0.000084,-90.009251
930.000000,0.000100,-90.006498
940.000000,0.000117,-90.004671
950.000000,0.000134,-90.003403
960.000000,0.000151,-90.002496
970.000000,0.000170,-90.001833
980.000000,0.000189,-90.001320
990.000000,0.000209,-90.000946
1000.000000,0.000229,-90.000660
1010.000000,0.000251,-90.000441
1020.000000,0.000274,-90.000277
1030.000000,0.000299,-90.000157
1040.000000,0.000324,-90.000074
1050.000000,0.000352,-90.000023
1060.000000,0.000382,-90.000001
1070.000000,0.000414,-90.000007
1080.000000,0.000449,-90.000040
1090.000000,0.000487,-90.000100
1100.000000,0.000529,-90.000191
1110.000000,0.000576,-90.000315
1120.000000,0.000629,-90.000478
1130.000000,0.000688,-90.000687
1140.000000,0.000756,-90.000953
1150.000000,0.000834,-90.001288
1160.000000,0.000926,-90.001714
1170.000000,0.001036,-90.002258
