#X,Acoustic Pressure across Frequency(2)_At Node 587,Acoustic Pressure across Frequency(2)_At Node 587
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-249.472288,1.628669E-04
30.000000,-258.302320,1.140170E-04
40.000000,-263.685265,8.732338E-05
50.000000,-267.555777,7.077751E-05
60.000000,-270.636582,5.961161E-05
70.000000,-273.254319,5.161776E-05
80.000000,-275.577439,4.564523E-05
90.000000,-277.701464,4.103875E-05
100.000000,-279.684546,3.739904E-05
110.000000,-281.564094,3.446955E-05
120.000000,-283.365258,3.207836E-05
130.000000,-285.105595,3.010628E-05
140.000000,-286.797741,2.846835E-05
150.000000,-288.451061,2.710271E-05
160.000000,-290.072665,2.596354E-05
170.000000,-291.668085,2.501650E-05
180.000000,-293.241710,2.423573E-05
190.000000,-294.797101,2.360183E-05
200.000000,-296.337192,2.310041E-05
210.000000,-297.864450,2.272123E-05
220.000000,-299.380982,2.245753E-05
230.000000,-300.888603,2.230574E-05
240.000000,-302.388917,2.226528E-05
250.000000,-303.883336,2.233867E-05
260.000000,-305.373129,2.253183E-05
270.000000,-306.859448,2.285460E-05
280.000000,-308.343341,2.332175E-05
290.000000,-309.825773,2.395433E-05
300.000000,-311.307652,2.478201E-05
310.000000,-312.789823,2.584656E-05
320.000000,-314.273110,2.720751E-05
330.000000,-315.758334,2.895157E-05
340.000000,-317.246347,3.120888E-05
350.000000,-318.738128,3.418290E-05
360.000000,-320.234905,3.820906E-05
370.000000,-321.738463,4.388093E-05
380.000000,-323.251881,5.235550E-05
390.000000,-324.781615,6.622675E-05
400.000000,-326.345219,9.275558E-05
410.000000,-328.016918,1.629306E-04
420.000000,-331.191820,8.602777E-04
430.000000,-150.071923,2.406857E-04
440.000000,-151.919517,1.018270E-04
450.000000,-153.531682,6.310574E-05
460.000000,-155.098510,4.495594E-05
470.000000,-156.650782,3.445100E-05
480.000000,-158.197854,2.761664E-05
490.000000,-159.743445,2.282488E-05
500.000000,-161.289255,1.928534E-05
510.000000,-162.836104,1.656798E-05
520.000000,-164.384384,1.441876E-05
530.000000,-165.934261,1.267801E-05
540.000000,-167.485782,1.124030E-05
550.000000,-169.038931,1.003320E-05
560.000000,-170.593673,9.005303E-06
570.000000,-172.149982,8.119070E-06
580.000000,-173.707866,7.346425E-06
590.000000,-175.267393,6.665908E-06
600.000000,-176.828717,6.060783E-06
610.000000,-178.392105,5.517749E-06
620.000000,-179.957973,5.026025E-06
630.000000,-181.526928,4.576699E-06
640.000000,-183.099828,4.162227E-06
650.000000,-184.677850,3.776050E-06
660.000000,-186.262599,3.412271E-06
670.000000,-187.856248,3.065364E-06
680.000000,-189.461753,2.729884E-06
690.000000,-191.083163,2.400131E-06
700.000000,-192.726110,2.069727E-06
710.000000,-194.398587,1.730992E-06
720.000000,-196.112262,1.373980E-06
730.000000,-197.884762,9.848261E-07
740.000000,-199.743986,5.427040E-07
750.000000,-201.734972,1.375202E-08
760.000000,-23.948281,6.623654E-07
770.000000,-26.550173,1.606321E-06
780.000000,-29.949859,3.101623E-06
790.000000,-35.394047,6.005738E-06
800.000000,-49.172444,1.444247E-05
810.000000,-136.016636,3.836098E-05
820.000000,-189.248368,1.456836E-05
830.000000,-199.169697,8.793848E-06
840.000000,-203.800356,6.492885E-06
850.000000,-206.890411,5.240340E-06
860.000000,-209.328123,4.437017E-06
870.000000,-211.429379,3.866815E-06
880.000000,-213.334500,3.433026E-06
890.000000,-215.115340,3.085848E-06
900.000000,-216.812577,2.796948E-06
910.000000,-218.451011,2.548941E-06
920.000000,-220.046659,2.330496E-06
930.000000,-221.610368,2.133847E-06
940.000000,-223.149770,1.953437E-06
950.000000,-224.670410,1.785143E-06
960.000000,-226.176461,1.625893E-06
970.000000,-227.671642,1.474665E-06
980.000000,-229.154811,1.319213E-06
990.000000,-230.633503,1.173536E-06
1000.000000,-232.106045,1.026798E-06
1010.000000,-233.574053,8.784903E-07
1020.000000,-235.038542,7.271035E-07
1030.000000,-236.500307,5.709851E-07
1040.000000,-237.959962,4.083563E-07
1050.000000,-239.417968,2.372629E-07
1060.000000,-240.874298,5.550654E-08
1070.000000,-62.331149,1.394414E-07
1080.000000,-63.786152,3.505498E-07
1090.000000,-65.240662,5.813707E-07
1100.000000,-66.694658,8.362298E-07
1110.000000,-68.148148,1.120487E-06
1120.000000,-69.601103,1.440902E-06
1130.000000,-71.053462,1.806153E-06
1140.000000,-72.505146,2.227606E-06
1150.000000,-73.956039,2.720469E-06
1160.000000,-75.406024,3.305595E-06
1170.000000,-76.854974,4.012397E-06
1180.000000,-78.302768,4.883765E-06
1190.000000,-79.749299,5.984804E-06
1200.000000,-81.194511,7.419376E-06
1210.000000,-82.638420,9.363982E-06
1220.000000,-84.081213,1.214472E-05
1230.000000,-85.523454,1.643831E-05
1240.000000,-86.966765,2.391647E-05
1250.000000,-88.416869,4.013704E-05
1260.000000,-89.912036,1.015133E-04
1270.000000,-270.945692,2.782348E-04
1280.000000,-272.592593,6.391006E-05
1290.000000,-274.042752,3.782409E-05
1300.000000,-275.473766,2.769789E-05
1310.000000,-276.897318,2.234434E-05
1320.000000,-278.316310,1.905423E-05
1330.000000,-279.731881,1.684462E-05
1340.000000,-281.144638,1.527299E-05
1350.000000,-282.554999,1.411091E-05
1360.000000,-283.963304,1.322870E-05
1370.000000,-285.369873,1.254740E-05
1380.000000,-286.775026,1.201640E-05
1390.000000,-288.179088,1.160189E-05
1400.000000,-289.582404,1.128059E-05
1410.000000,-290.985332,1.103619E-05
1420.000000,-292.388247,1.085708E-05
1430.000000,-293.791545,1.073505E-05
1440.000000,-295.195640,1.066438E-05
1450.000000,-296.600954,1.064135E-05
1460.000000,-298.007936,1.066386E-05
1470.000000,-299.417038,1.073128E-05
1480.000000,-300.828742,1.084437E-05
1490.000000,-302.243537,1.100541E-05
1500.000000,-303.661946,1.121835E-05
1510.000000,-305.084518,1.148921E-05
1520.000000,-306.511837,1.182672E-05
1530.000000,-307.944576,1.224332E-05
1540.000000,-309.383479,1.275674E-05
1550.000000,-310.829463,1.339277E-05
1560.000000,-312.283700,1.418979E-05
1570.000000,-313.747817,1.520716E-05
1580.000000,-315.224252,1.654142E-05
1590.000000,-316.717022,1.836017E-05
1600.000000,-318.233532,2.098191E-05
1610.000000,-319.789566,2.509451E-05
1620.000000,-321.426337,3.250881E-05
1630.000000,-323.298527,5.002951E-05
1640.000000,-326.933268,1.448161E-04
1650.000000,-142.748742,1.047135E-04
1660.000000,-145.889523,3.213740E-05
1670.000000,-147.745903,1.632975E-05
1680.000000,-149.408130,9.316951E-06
1690.000000,-151.008967,5.270904E-06
1700.000000,-152.576630,2.708861E-06
1710.000000,-154.140725,7.499420E-07
1720.000000,-335.698395,7.483108E-07
1730.000000,-337.253057,1.969244E-06
1740.000000,-338.807674,3.008702E-06
1750.000000,-340.363116,3.925927E-06
1760.000000,-341.919897,4.760154E-06
1770.000000,-343.478245,5.538799E-06
1780.000000,-345.038215,6.281949E-06
1790.000000,-346.599749,7.005017E-06
