#X,Acoustic Pressure across Frequency(3)_At Node 2415,Acoustic Pressure across Frequency(3)_At Node 2415
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,1.794527E-04,-245.520387
30.000000,1.276938E-04,-255.364203
40.000000,9.841705E-05,-261.397193
50.000000,7.998026E-05,-265.706418
60.000000,6.742266E-05,-269.104670
70.000000,5.837246E-05,-271.965745
80.000000,5.157209E-05,-274.483822
90.000000,4.629788E-05,-276.769337
100.000000,4.210567E-05,-278.889627
110.000000,3.870849E-05,-280.888070
120.000000,3.591298E-05,-282.793897
130.000000,3.358435E-05,-284.627546
140.000000,3.162587E-05,-286.403764
150.000000,2.996645E-05,-288.133487
160.000000,2.855279E-05,-289.825005
170.000000,2.734421E-05,-291.484738
180.000000,2.630923E-05,-293.117740
190.000000,2.542323E-05,-294.728063
200.000000,2.466672E-05,-296.318994
210.000000,2.402425E-05,-297.893237
220.000000,2.348346E-05,-299.453044
230.000000,2.303453E-05,-301.000307
240.000000,2.266963E-05,-302.536646
250.000000,2.238265E-05,-304.063448
260.000000,2.216887E-05,-305.581921
270.000000,2.202486E-05,-307.093116
280.000000,2.194823E-05,-308.597977
290.000000,2.193763E-05,-310.097344
300.000000,2.199267E-05,-311.591969
310.000000,2.211386E-05,-313.082548
320.000000,2.230268E-05,-314.569709
330.000000,2.256158E-05,-316.054046
340.000000,2.289406E-05,-317.536109
350.000000,2.330480E-05,-319.016420
360.000000,2.379981E-05,-320.495475
370.000000,2.438665E-05,-321.973751
380.000000,2.507469E-05,-323.451721
390.000000,2.587555E-05,-324.929840
400.000000,2.680353E-05,-326.408563
410.000000,2.787631E-05,-327.888354
420.000000,2.911587E-05,-329.369690
430.000000,3.054962E-05,-330.853057
440.000000,3.221214E-05,-332.338991
450.000000,3.414747E-05,-333.828059
460.000000,3.641239E-05,-335.320901
470.000000,3.908127E-05,-336.818258
480.000000,4.225319E-05,-338.321009
490.000000,4.606290E-05,-339.830238
500.000000,5.069824E-05,-341.347338
510.000000,5.642870E-05,-342.874176
520.000000,6.365471E-05,-344.413379
530.000000,7.299761E-05,-345.968862
540.000000,8.547516E-05,-347.546827
550.000000,1.028762E-04,-349.157931
560.000000,1.286581E-04,-350.822431
570.000000,1.704788E-04,-352.584739
580.000000,2.493385E-04,-354.565900
590.000000,4.509532E-04,-357.258770
600.000000,1.988248E-03,-7.696391
610.000000,8.680951E-04,-172.779625
620.000000,3.706560E-04,-177.199821
630.000000,2.413292E-04,-179.513340
640.000000,1.825504E-04,-181.433687
650.000000,1.494636E-04,-183.220084
660.000000,1.286667E-04,-184.951542
670.000000,1.147739E-04,-186.661618
680.000000,1.052222E-04,-188.368425
690.000000,9.866000E-05,-190.084181
700.000000,9.433520E-05,-191.819140
710.000000,9.183257E-05,-193.583779
720.000000,9.095478E-05,-195.390534
730.000000,9.167443E-05,-197.255822
740.000000,9.413280E-05,-199.203065
750.000000,9.868542E-05,-201.267957
760.000000,1.060226E-04,-203.508599
770.000000,1.174470E-04,-206.027095
780.000000,1.355510E-04,-209.021389
790.000000,1.661087E-04,-212.931477
800.000000,2.246122E-04,-218.961280
810.000000,3.670095E-04,-231.804901
820.000000,7.637428E-04,-281.894597
830.000000,4.165211E-04,-355.167923
840.000000,2.082659E-04,-13.386642
850.000000,1.319043E-04,-20.667238
860.000000,9.394275E-05,-25.033258
870.000000,7.156905E-05,-28.236433
880.000000,5.695577E-05,-30.862347
890.000000,4.673833E-05,-33.160264
900.000000,3.924048E-05,-35.253846
910.000000,3.353627E-05,-37.211311
920.000000,2.907365E-05,-39.073316
930.000000,2.550373E-05,-40.865597
940.000000,2.259552E-05,-42.605209
950.000000,2.019023E-05,-44.303909
960.000000,1.817532E-05,-45.970062
970.000000,1.646885E-05,-47.609784
980.000000,1.500986E-05,-49.227648
990.000000,1.375222E-05,-50.827187
1000.000000,1.265642E-05,-52.409705
1010.000000,1.170471E-05,-53.981038
1020.000000,1.086568E-05,-55.539595
1030.000000,1.012428E-05,-57.087745
1040.000000,9.466190E-06,-58.626670
1050.000000,8.879632E-06,-60.157347
1060.000000,8.354892E-06,-61.680619
1070.000000,7.883892E-06,-63.197191
1080.000000,7.459865E-06,-64.707696
1090.000000,7.077109E-06,-66.212678
1100.000000,6.730794E-06,-67.712634
1110.000000,6.416798E-06,-69.208005
1120.000000,6.131598E-06,-70.699205
1130.000000,5.872160E-06,-72.186603
1140.000000,5.635869E-06,-73.670556
1150.000000,5.420454E-06,-75.151393
1160.000000,5.223944E-06,-76.629427
1170.000000,5.044622E-06,-78.104957
1180.000000,4.880985E-06,-79.578268
1190.000000,4.731721E-06,-81.049639
1200.000000,4.595680E-06,-82.519338
1210.000000,4.471851E-06,-83.987624
1220.000000,4.359350E-06,-85.454751
1230.000000,4.257401E-06,-86.920966
1240.000000,4.165323E-06,-88.386512
1250.000000,4.082518E-06,-89.851630
1260.000000,4.008429E-06,-91.316576
1270.000000,3.941360E-06,-92.782395
1280.000000,3.885594E-06,-94.246325
1290.000000,3.835406E-06,-95.712000
1300.000000,3.792727E-06,-97.178268
1310.000000,3.757269E-06,-98.645379
1320.000000,3.728869E-06,-100.113539
1330.000000,3.707428E-06,-101.582939
1340.000000,3.692896E-06,-103.053765
1350.000000,3.685281E-06,-104.526196
1360.000000,3.684643E-06,-106.000400
1370.000000,3.691102E-06,-107.476544
1380.000000,3.704837E-06,-108.954781
1390.000000,3.726095E-06,-110.435262
1400.000000,3.755200E-06,-111.918137
1410.000000,3.792559E-06,-113.403532
1420.000000,3.838679E-06,-114.891586
1430.000000,3.894184E-06,-116.382413
1440.000000,3.959837E-06,-117.876142
1450.000000,4.036569E-06,-119.372885
1460.000000,4.125524E-06,-120.872753
1470.000000,4.228112E-06,-122.375862
1480.000000,4.346085E-06,-123.882331
1490.000000,4.481653E-06,-125.392286
1500.000000,4.637644E-06,-126.905869
1510.000000,4.817747E-06,-128.423254
1520.000000,5.026895E-06,-129.944663
1530.000000,5.271893E-06,-131.470399
1540.000000,5.562480E-06,-133.000892
1550.000000,5.913273E-06,-134.536815
1560.000000,6.347560E-06,-136.079263
1570.000000,6.905446E-06,-137.630183
1580.000000,7.663601E-06,-139.193400
1590.000000,8.792096E-06,-140.777565
1600.000000,1.076715E-05,-142.407230
1610.000000,1.566133E-05,-144.190017
1620.000000,7.042041E-05,-148.571941
