#X,Acoustic Pressure across Frequency(5)_At Node 480,Acoustic Pressure across Frequency(5)_At Node 480
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-248.859168,1.614781E-04
30.000000,-257.190278,1.128487E-04
40.000000,-262.100338,8.630333E-05
50.000000,-265.513165,6.984192E-05
60.000000,-268.146132,5.871783E-05
70.000000,-270.323150,5.073634E-05
80.000000,-272.211026,4.475446E-05
90.000000,-273.904149,4.012146E-05
100.000000,-275.459832,3.644072E-05
110.000000,-276.914846,3.345720E-05
120.000000,-278.293854,3.099970E-05
130.000000,-279.614023,2.894912E-05
140.000000,-280.887690,2.722015E-05
150.000000,-282.123966,2.575017E-05
160.000000,-283.329746,2.449220E-05
170.000000,-284.510373,2.341037E-05
180.000000,-285.670064,2.247686E-05
190.000000,-286.812219,2.166982E-05
200.000000,-287.939613,2.097187E-05
210.000000,-289.054567,2.036908E-05
220.000000,-290.159036,1.985019E-05
230.000000,-291.254698,1.940605E-05
240.000000,-292.343009,1.902918E-05
250.000000,-293.425246,1.871350E-05
260.000000,-294.502546,1.845401E-05
270.000000,-295.575924,1.824668E-05
280.000000,-296.646296,1.808825E-05
290.000000,-297.714501,1.797616E-05
300.000000,-298.781294,1.790842E-05
310.000000,-299.847379,1.788357E-05
320.000000,-300.913402,1.790065E-05
330.000000,-301.979958,1.795911E-05
340.000000,-303.047604,1.805885E-05
350.000000,-304.116842,1.820015E-05
360.000000,-305.188157,1.838371E-05
370.000000,-306.261982,1.861063E-05
380.000000,-307.338731,1.888242E-05
390.000000,-308.418783,1.920106E-05
400.000000,-309.502487,1.956900E-05
410.000000,-310.590181,1.998921E-05
420.000000,-311.682160,2.046524E-05
430.000000,-312.778721,2.100131E-05
440.000000,-313.880135,2.160237E-05
450.000000,-314.986663,2.227424E-05
460.000000,-316.098575,2.302372E-05
470.000000,-317.216118,2.385880E-05
480.000000,-318.339565,2.478881E-05
490.000000,-319.469194,2.582474E-05
500.000000,-320.605321,2.697954E-05
510.000000,-321.748297,2.826851E-05
520.000000,-322.898530,2.970985E-05
530.000000,-324.056503,3.132530E-05
540.000000,-325.222803,3.314100E-05
550.000000,-326.398147,3.518857E-05
560.000000,-327.583428,3.750660E-05
570.000000,-328.779759,4.014253E-05
580.000000,-329.988560,4.315530E-05
590.000000,-331.211632,4.661888E-05
600.000000,-332.451299,5.062722E-05
610.000000,-333.710576,5.530131E-05
620.000000,-334.993441,6.079931E-05
630.000000,-336.305205,6.733164E-05
640.000000,-337.653079,7.518393E-05
650.000000,-339.047076,8.475305E-05
660.000000,-340.501457,9.660585E-05
670.000000,-342.037181,1.115790E-04
680.000000,-343.686305,1.309579E-04
690.000000,-345.500341,1.568174E-04
700.000000,-347.567584,1.927258E-04
710.000000,-350.052845,2.453513E-04
720.000000,-353.302441,3.286639E-04
730.000000,-358.183303,4.772043E-04
740.000000,-7.576576,8.010112E-04
750.000000,-36.877846,1.754969E-03
760.000000,-117.661920,1.886231E-03
770.000000,-147.441272,9.755540E-04
780.000000,-156.962098,6.603406E-04
790.000000,-161.938187,5.192258E-04
800.000000,-165.299797,4.452716E-04
810.000000,-167.933064,4.052267E-04
820.000000,-170.203046,3.865641E-04
830.000000,-172.302555,3.849054E-04
840.000000,-174.369639,4.008605E-04
850.000000,-176.557281,4.409972E-04
860.000000,-179.145424,5.253010E-04
870.000000,-182.971240,7.229924E-04
880.000000,-193.233260,1.468815E-03
890.000000,-325.546293,2.653141E-03
900.000000,-352.135373,6.012150E-04
910.000000,-357.271267,2.798230E-04
920.000000,-0.193390,1.513673E-04
930.000000,-2.480480,8.060840E-05
940.000000,-4.542644,3.365063E-05
950.000000,-186.496889,2.301833E-06
960.000000,-188.607548,3.361689E-05
970.000000,-190.839094,6.451613E-05
980.000000,-193.380887,9.898724E-05
990.000000,-196.483406,1.424643E-04
1000.000000,-200.659070,2.049188E-04
1010.000000,-207.192371,3.097030E-04
1020.000000,-220.196978,5.243504E-04
1030.000000,-257.551588,9.996673E-04
1040.000000,-321.709041,8.750203E-04
1050.000000,-347.525719,5.111558E-04
1060.000000,-357.590558,3.518053E-04
1070.000000,-3.104701,2.702230E-04
1080.000000,-6.818270,2.216154E-04
1090.000000,-9.654371,1.896799E-04
1100.000000,-12.003255,1.673104E-04
1110.000000,-14.057608,1.509561E-04
1120.000000,-15.923816,1.386577E-04
1130.000000,-17.665904,1.292533E-04
1140.000000,-19.325314,1.220162E-04
1150.000000,-20.930716,1.164756E-04
1160.000000,-22.503322,1.123215E-04
1170.000000,-24.060043,1.093508E-04
1180.000000,-25.615491,1.074382E-04
1190.000000,-27.183508,1.065191E-04
1200.000000,-28.778462,1.065829E-04
1210.000000,-30.416654,1.076734E-04
1220.000000,-32.118091,1.098976E-04
1230.000000,-33.909053,1.134441E-04
1240.000000,-35.826220,1.186194E-04
1250.000000,-37.923771,1.259135E-04
1260.000000,-40.286623,1.361242E-04
1270.000000,-43.056983,1.506050E-04
1280.000000,-46.493130,1.717990E-04
1290.000000,-51.115811,2.045057E-04
1300.000000,-58.133771,2.591963E-04
1310.000000,-70.936734,3.606119E-04
