#X,Acoustic Pressure across Frequency(3)_At Node 3763,Acoustic Pressure across Frequency(3)_At Node 3763
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-270.000000,0.000175
30.000000,-269.999999,0.000117
40.000000,-269.999998,0.000088
50.000000,-269.999996,0.000071
60.000000,-269.999992,0.000060
70.000000,-269.999987,0.000052
80.000000,-269.999981,0.000045
90.000000,-269.999972,0.000041
100.000000,-269.999961,0.000037
110.000000,-269.999947,0.000034
120.000000,-269.999929,0.000032
130.000000,-269.999907,0.000030
140.000000,-269.999881,0.000028
150.000000,-269.999848,0.000027
160.000000,-269.999809,0.000026
170.000000,-269.999760,0.000025
180.000000,-269.999702,0.000024
190.000000,-269.999629,0.000023
200.000000,-269.999540,0.000022
210.000000,-269.999429,0.000022
220.000000,-269.999287,0.000021
230.000000,-269.999105,0.000021
240.000000,-269.998863,0.000021
250.000000,-269.998533,0.000021
260.000000,-269.998067,0.000021
270.000000,-269.997372,0.000020
280.000000,-269.996264,0.000020
290.000000,-269.994323,0.000020
300.000000,-269.990407,0.000020
310.000000,-269.980402,0.000020
320.000000,-269.938999,0.000020
330.000000,-268.779502,0.000016
340.000000,-269.812245,0.000026
350.000000,-269.977207,0.000025
360.000000,-270.091367,0.000027
370.000000,-270.095640,0.000022
380.000000,-270.011066,0.000024
390.000000,-270.004179,0.000025
400.000000,-270.002453,0.000026
410.000000,-270.001825,0.000027
420.000000,-270.001546,0.000028
430.000000,-270.001406,0.000029
440.000000,-270.001331,0.000031
450.000000,-270.001288,0.000032
460.000000,-270.001265,0.000034
470.000000,-270.001254,0.000036
480.000000,-270.001251,0.000038
490.000000,-270.001254,0.000041
500.000000,-270.001262,0.000044
510.000000,-270.001274,0.000047
520.000000,-270.001290,0.000051
530.000000,-270.001311,0.000055
540.000000,-270.001336,0.000060
550.000000,-270.001365,0.000066
560.000000,-270.001398,0.000072
570.000000,-270.001438,0.000080
580.000000,-270.001483,0.000090
590.000000,-270.001536,0.000101
600.000000,-270.001598,0.000115
610.000000,-270.001670,0.000132
620.000000,-270.001755,0.000153
630.000000,-270.001858,0.000179
640.000000,-270.001984,0.000213
650.000000,-270.002140,0.000257
660.000000,-270.002341,0.000318
670.000000,-270.002609,0.000403
680.000000,-270.002983,0.000529
690.000000,-270.003549,0.000728
700.000000,-270.005472,0.001080
710.000000,-270.006461,0.001827
720.000000,-270.025919,0.004279
730.000000,-89.873479,0.052532
740.000000,-89.990950,0.004677
750.000000,-89.995709,0.002815
760.000000,-89.997388,0.002233
770.000000,-89.998252,0.002013
780.000000,-89.998783,0.001972
790.000000,-89.999148,0.002064
800.000000,-89.999422,0.002300
810.000000,-89.999645,0.002750
820.000000,-89.999849,0.003606
830.000000,-90.000080,0.005500
840.000000,-90.000532,0.011996
850.000000,-269.995618,0.084388
860.000000,-269.999574,0.010235
870.000000,-269.999894,0.005947
880.000000,-270.000070,0.004603
890.000000,-270.000221,0.004180
900.000000,-270.000396,0.004374
910.000000,-270.000688,0.005553
